index,报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
10,2015,,40.07亿,294.18亿,302.00亿,42.32亿,39.70亿,,294.18亿,294.18亿,302.00亿,248.16亿,9.24亿,18.55亿,20.47亿,False,2.81亿,False,False,2.76亿,False,1127.27万,48.35亿,46.39亿,False,False,40.65亿,3.96亿,4011.45万,5424.44万,2245.29万,44.07亿,4.00亿,40.07亿,False,42.32亿,-2.25亿,39.70亿,,0.66,0.66,5218.90万,5454.02万,40.59亿,42.87亿,-2.28亿
11,2014,,29.36亿,223.83亿,239.01亿,31.95亿,27.78亿,,223.83亿,223.83亿,239.01亿,189.60亿,7.86亿,18.27亿,19.08亿,False,3.03亿,False,False,1.17亿,False,False,42.10亿,41.01亿,False,False,26.92亿,4.21亿,625.62万,4561.61万,238.72万,30.67亿,1.31亿,29.36亿,False,31.95亿,-2.58亿,27.78亿,,0.50,0.50,1129.32万,798.28万,29.48亿,32.03亿,-2.55亿
12,2013,,25.45亿,188.24亿,198.20亿,26.69亿,30.86亿,,188.24亿,188.24亿,198.20亿,161.13亿,6.69亿,10.66亿,17.31亿,False,1.61亿,False,False,8028.38万,False,34.73万,39.95亿,40.19亿,False,False,29.99亿,2.47亿,545.11万,6.01亿,5.04亿,26.46亿,1.01亿,25.45亿,False,26.69亿,-1.24亿,30.86亿,,0.41,0.41,43.75万,111.16万,25.45亿,26.70亿,-1.25亿
13,2012,,10.65亿,129.64亿,146.51亿,11.34亿,11.31亿,,129.64亿,129.64亿,146.51亿,118.91亿,3.62亿,8.26亿,13.64亿,False,1.99亿,False,False,1048.36万,False,-3.97万,26.44亿,26.35亿,False,False,9.57亿,1.61亿,False,1.18亿,66.85万,10.00亿,-6478.62万,10.65亿,False,11.34亿,-6896.12万,11.31亿,,0.18,0.18,121.10万,False,10.66亿,11.34亿,-6847.68万
14,2011,,41.67亿,109.84亿,124.50亿,42.72亿,36.16亿,,109.84亿,109.80亿,124.50亿,103.42亿,1.70亿,6.13亿,12.59亿,False,5738.85万,False,False,243.73万,False,-44.55万,46.51亿,46.36亿,False,False,31.84亿,10.46亿,False,1.73亿,44.29万,40.57亿,-1.10亿,41.67亿,False,42.72亿,-1.04亿,36.16亿,,0.69,0.69,-114.51万,False,41.66亿,42.71亿,-1.05亿
15,2010,,55.19亿,87.42亿,94.81亿,42.94亿,False,,87.42亿,87.42亿,94.81亿,79.14亿,4524.43万,4.46亿,8.87亿,False,1.36亿,False,False,5293.84万,False,False,57.79亿,56.88亿,False,False,50.40亿,5.50亿,False,6929.23万,256.48万,55.21亿,167.54万,55.19亿,False,42.94亿,12.25亿,False,,0.92,0.92,False,False,55.19亿,42.94亿,12.25亿
16,2009,,32.49亿,70.57亿,77.66亿,20.30亿,False,,70.57亿,70.57亿,77.66亿,65.37亿,3481.76万,1.48亿,8.41亿,False,1.67亿,False,False,3841.53万,False,False,43.90亿,43.89亿,False,False,36.80亿,3315.36万,False,4.75亿,1266.98万,32.38亿,-1109.91万,32.49亿,False,20.30亿,12.19亿,False,,0.54,False,False,False,32.49亿,20.30亿,12.19亿
17,2008,,28.92亿,69.38亿,73.88亿,15.97亿,False,,69.38亿,69.38亿,73.88亿,64.34亿,2068.66万,1.79亿,6.54亿,False,6827.59万,False,False,3167.49万,False,False,33.26亿,33.20亿,False,False,28.76亿,9257.67万,False,3094.15万,27.41万,29.38亿,4597.66万,28.92亿,False,15.97亿,12.95亿,False,,0.46,0.46,False,False,False,False,False
18,2007,,49.00亿,424.07亿,382.49亿,49.00亿,False,,424.07亿,424.07亿,382.49亿,325.85亿,26.08亿,14.29亿,16.23亿,False,-7012.94万,False,False,7415.61万,False,False,8.40亿,8.38亿,False,False,49.98亿,6007.54万,False,1955.17万,691.88万,50.38亿,1.38亿,49.00亿,False,49.00亿,False,False,,False,False,False,False,False,False,False
19,2006,,27.33亿,297.43亿,270.51亿,27.33亿,False,,297.43亿,297.43亿,270.51亿,229.85亿,17.50亿,10.17亿,13.73亿,False,-1.24亿,False,False,5086.28万,False,False,3.68亿,3.72亿,False,False,30.60亿,517.46万,False,3826.68万,199.18万,30.27亿,2.94亿,27.33亿,False,27.33亿,False,False,,False,False,False,False,False,False,False
20,2005,,27.41亿,207.81亿,186.54亿,27.41亿,False,,207.81亿,207.81亿,186.54亿,162.69亿,10.82亿,6.02亿,6.77亿,False,-7168.44万,False,False,9501.08万,False,False,9.31亿,2.31亿,False,False,30.59亿,1301.47万,False,2530.45万,2390.05万,30.46亿,3.06亿,27.41亿,False,27.41亿,False,False,,False,False,False,False,False,False,False
