index,报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
0,2025,,-114.82亿,965.42亿,1135.10亿,-87.84亿,-98.63亿,,965.42亿,956.62亿,1135.10亿,969.35亿,21.91亿,58.91亿,41.60亿,16.39亿,-2.73亿,9.74亿,4.09亿,27.47亿,1.04亿,2.65亿,32.67亿,24.85亿,3293.73万,12.17亿,-121.86亿,1.71亿,False,4500.93万,False,-120.60亿,-5.78亿,-114.82亿,-114.82亿,-87.84亿,-26.98亿,-98.63亿,,-0.85,-0.85,5419.42万,2852.54万,-114.28亿,-87.55亿,-26.72亿
1,2024,,-4.94亿,1077.84亿,1183.57亿,8.24亿,-43.51亿,,1077.84亿,1067.98亿,1183.57亿,1006.00亿,28.90亿,54.17亿,43.97亿,18.12亿,1.67亿,5.23亿,5.69亿,19.01亿,10.32亿,-4.05亿,73.19亿,29.98亿,1.14亿,27.26亿,-8.20亿,1.79亿,False,8644.89万,False,-7.27亿,-2.33亿,-4.94亿,-4.94亿,8.24亿,-13.18亿,-43.51亿,,0.08,0.08,-8092.21万,-8281.42万,-5.75亿,7.41亿,-13.16亿
2,2023,,37.40亿,1297.06亿,1366.30亿,44.29亿,35.73亿,,1297.06亿,1287.57亿,1366.30亿,1209.74亿,29.42亿,50.48亿,43.01亿,17.34亿,-3.07亿,4.41亿,7.73亿,13.59亿,4.56亿,-4113.06万,86.60亿,83.49亿,5300.57万,15.35亿,32.83亿,3.37亿,False,9510.60万,False,35.25亿,-2.15亿,37.40亿,37.40亿,44.29亿,-6.89亿,35.73亿,,0.42,0.42,1.21亿,1.18亿,38.61亿,45.47亿,-6.86亿
3,2022,,79.90亿,1102.72亿,1178.86亿,80.64亿,74.96亿,,1102.72亿,1096.00亿,1178.86亿,1026.54亿,22.35亿,39.23亿,37.96亿,17.07亿,-1.80亿,3.28亿,4.81亿,30.23亿,6.28亿,-3.19亿,143.17亿,141.50亿,465.91万,10.58亿,74.47亿,8387.29万,False,7692.97万,False,74.54亿,-5.36亿,79.90亿,79.90亿,80.64亿,-7405.46万,74.96亿,,0.78,0.77,-4222.73万,-4027.46万,79.47亿,80.23亿,-7600.73万
4,2021,,73.91亿,756.76亿,813.55亿,73.35亿,59.77亿,,756.76亿,751.10亿,813.55亿,691.64亿,18.24亿,43.40亿,39.34亿,9.89亿,1.72亿,4.49亿,2.87亿,6.89亿,1.43亿,-2230.73万,118.14亿,114.04亿,3097.62万,10.01亿,71.45亿,1.16亿,False,2465.50万,False,72.37亿,-1.54亿,73.91亿,73.91亿,73.35亿,5608.24万,59.77亿,,0.72,0.71,-3.03亿,-3.04亿,70.88亿,70.30亿,5786.92万
5,2020,,60.51亿,631.57亿,689.25亿,59.66亿,48.07亿,,631.57亿,627.17亿,689.25亿,586.59亿,13.64亿,36.41亿,33.56亿,9.76亿,3484.25万,4.24亿,4.19亿,7.15亿,5511.02万,2.93亿,99.11亿,95.71亿,-4759.67万,12.50亿,56.38亿,1.09亿,False,5182.89万,False,56.95亿,-3.56亿,60.51亿,60.51亿,59.66亿,8524.15万,48.07亿,,0.58,0.58,1.28亿,1.28亿,61.79亿,60.94亿,8524.15万
6,2019,,67.11亿,597.04亿,660.61亿,66.18亿,38.41亿,,597.04亿,592.34亿,660.61亿,551.48亿,13.56亿,45.53亿,32.44亿,10.02亿,2629.49万,4.99亿,4.50亿,5.55亿,5383.11万,9535.41万,96.26亿,93.99亿,912.04万,23.08亿,56.82亿,6.61亿,False,4923.42万,False,62.94亿,-4.17亿,67.11亿,67.11亿,66.18亿,9360.81万,38.41亿,,0.65,0.64,970.56万,970.56万,67.21亿,66.27亿,9360.81万
7,2018,,109.46亿,723.80亿,706.60亿,109.03亿,98.03亿,,723.80亿,715.15亿,706.60亿,582.41亿,23.11亿,50.73亿,40.56亿,8.38亿,-1.51亿,4.38亿,5.44亿,1.68亿,725.72万,-2385.66万,90.03亿,87.53亿,-202.44万,9.48亿,116.45亿,3.18亿,False,9599.53万,False,118.67亿,9.21亿,109.46亿,109.46亿,109.03亿,4367.89万,98.03亿,,1.07,1.06,-7484.00万,-7484.00万,108.71亿,108.28亿,4367.89万
8,2017,,108.22亿,715.68亿,684.39亿,107.86亿,102.89亿,,715.68亿,711.37亿,684.39亿,547.78亿,25.48亿,52.00亿,35.12亿,4.96亿,3.16亿,6.25亿,3.95亿,15.77亿,False,8938.68万,83.28亿,82.41亿,-4286.73万,3.03亿,118.07亿,2.87亿,False,1.17亿,False,119.76亿,11.54亿,108.22亿,108.22亿,107.86亿,3601.65万,102.89亿,,1.18,1.15,1.93亿,1.87亿,110.15亿,109.74亿,4150.07万
9,2016,,62.96亿,494.18亿,484.86亿,62.88亿,61.04亿,,494.18亿,494.18亿,484.86亿,395.58亿,15.19亿,33.70亿,27.49亿,False,3.06亿,False,False,9.83亿,False,5222.00万,58.48亿,57.35亿,2096.32万,False,68.53亿,2.74亿,False,7644.17万,False,70.51亿,7.54亿,62.96亿,62.96亿,62.88亿,815.97万,61.04亿,,0.98,0.97,-1894.96万,-1951.96万,62.77亿,62.69亿,872.96万
