index,报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
0,2025,,98.65亿,2228.24亿,2161.77亿,98.65亿,60.59亿,,2228.24亿,2228.24亿,2161.77亿,1826.22亿,84.83亿,112.73亿,47.47亿,104.32亿,-19.70亿,7.36亿,10.94亿,5.76亿,1325.50万,1.67亿,5.74亿,6.64亿,1.04亿,40.42亿,115.34亿,3.37亿,False,1.13亿,False,117.58亿,18.93亿,98.65亿,98.65亿,98.65亿,False,60.59亿,,1.16,1.16,19.01亿,19.01亿,117.66亿,117.66亿,False
1,2024,,126.60亿,2021.94亿,1929.63亿,126.60亿,97.35亿,,2021.94亿,2021.94亿,1929.63亿,1627.52亿,74.10亿,78.32亿,47.87亿,93.04亿,9929.87万,8.92亿,11.81亿,7.56亿,2236.27万,4249.28万,8.81亿,7.97亿,483.08万,37.04亿,138.63亿,4.35亿,False,7266.60万,False,142.26亿,15.66亿,126.60亿,126.60亿,126.60亿,23.52万,97.35亿,,1.49,1.48,-13.11亿,-13.11亿,113.49亿,113.48亿,23.52万
2,2023,,70.23亿,1732.12亿,1682.58亿,70.22亿,48.34亿,,1732.12亿,1732.12亿,1682.58亿,1417.72亿,59.86亿,72.86亿,47.35亿,80.54亿,-1.26亿,9.47亿,11.95亿,4.88亿,6246.74万,-2603.64万,7.61亿,7.44亿,9.96万,15.12亿,72.01亿,7.44亿,False,1.21亿,False,78.24亿,8.01亿,70.23亿,70.23亿,70.22亿,125.30万,48.34亿,,0.82,0.82,-2.22亿,-2.22亿,68.01亿,67.99亿,125.30万
3,2022,,82.53亿,1373.40亿,1309.50亿,82.66亿,44.77亿,,1373.40亿,1373.40亿,1309.50亿,1107.39亿,51.21亿,58.76亿,48.93亿,64.45亿,-24.88亿,7.16亿,11.91亿,3.37亿,2578.86万,5033.75万,6.71亿,7.21亿,485.86万,8.50亿,79.67亿,8.86亿,False,4639.63万,False,88.07亿,5.54亿,82.53亿,82.53亿,82.66亿,-1323.42万,44.77亿,,0.91,0.91,4.82亿,4.82亿,87.35亿,87.48亿,-1323.42万
4,2021,,67.25亿,1364.05亿,1324.71亿,67.26亿,42.03亿,,1364.05亿,1364.05亿,1324.71亿,1143.67亿,42.34亿,51.92亿,40.43亿,44.90亿,-4.48亿,4.72亿,7.85亿,4.71亿,1.22亿,3.06亿,11.09亿,10.17亿,-2768.98万,10.47亿,63.69亿,11.61亿,False,4746.04万,False,74.82亿,7.57亿,67.25亿,67.25亿,67.26亿,-107.94万,42.03亿,,0.73,0.73,3.35亿,3.35亿,70.61亿,70.62亿,-107.94万
5,2020,,53.62亿,1033.08亿,995.55亿,53.62亿,38.36亿,,1033.08亿,1033.08亿,995.55亿,855.31亿,31.92亿,41.03亿,25.53亿,30.67亿,3.97亿,2.63亿,6.66亿,6.76亿,3528.69万,1.65亿,9.56亿,9.12亿,-919.92万,8.87亿,57.52亿,4.94亿,False,1819.17万,False,62.27亿,8.65亿,53.62亿,53.62亿,53.62亿,False,38.36亿,,0.59,0.58,-3.42亿,-3.42亿,50.20亿,50.20亿,False
6,2019,,45.31亿,962.11亿,919.62亿,44.97亿,39.87亿,,962.11亿,951.08亿,919.62亿,796.84亿,31.69亿,38.97亿,19.55亿,27.16亿,-3.51亿,1.74亿,3.50亿,5.04亿,4934.87万,-7330.20万,1550.51万,3.04亿,4320.70万,5.43亿,47.77亿,3.42亿,False,1841.15万,False,51.01亿,5.70亿,45.31亿,45.31亿,44.97亿,3385.80万,39.87亿,,0.49,False,2150.68万,2150.68万,45.52亿,45.18亿,3385.80万
7,2018,,52.48亿,992.30亿,933.11亿,52.07亿,38.89亿,,992.30亿,978.00亿,933.11亿,814.81亿,36.27亿,45.75亿,16.76亿,17.43亿,-4.94亿,4.62亿,11.58亿,1.37亿,1.82亿,-1.40亿,2.19亿,False,5797.65万,1.76亿,62.32亿,2.53亿,False,784.53万,False,64.77亿,12.29亿,52.48亿,52.48亿,52.07亿,4032.52万,38.89亿,,0.57,False,-2.65亿,-2.65亿,49.82亿,49.42亿,4032.52万
8,2017,,50.43亿,1011.69亿,957.77亿,50.27亿,42.98亿,,1011.69亿,1004.92亿,957.77亿,819.67亿,39.06亿,44.06亿,15.98亿,33.65亿,1.39亿,1.90亿,False,3.17亿,False,1.75亿,1.24亿,False,-380.81万,1.66亿,58.54亿,3.91亿,False,1187.50万,False,62.33亿,11.90亿,50.43亿,50.43亿,50.27亿,1608.85万,42.98亿,,0.55,0.0000,455.88万,455.88万,50.48亿,50.32亿,1608.85万
9,2016,,105.54亿,986.16亿,863.70亿,105.51亿,103.54亿,,986.16亿,984.44亿,863.70亿,743.60亿,38.33亿,31.75亿,45.75亿,False,-385.86万,False,False,4.13亿,False,False,3034.78万,False,-1577.44万,False,122.61亿,2.48亿,False,2521.93万,False,124.83亿,19.29亿,105.54亿,False,105.51亿,279.58万,103.54亿,,1.16,False,1.46亿,1.46亿,107.00亿,106.98亿,279.58万
10,2015,,80.60亿,760.33亿,668.51亿,80.59亿,76.52亿,,760.33亿,759.55亿,668.51亿,568.64亿,28.86亿,28.42亿,40.31亿,False,1.39亿,False,False,8185.11万,False,-21.44万,9809.67万,783.58万,False,False,92.80亿,4.67亿,201.96万,5919.11万,4723.57万,96.89亿,16.28亿,80.60亿,False,80.59亿,103.23万,76.52亿,,0.88,False,-5038.14万,-5038.14万,80.10亿,80.09亿,103.23万
11,2014,,80.41亿,625.99亿,533.83亿,80.42亿,77.17亿,,625.99亿,625.91亿,533.83亿,452.52亿,22.82亿,20.85亿,38.22亿,False,-1.29亿,False,False,7212.17万,False,-405.57万,3183.85万,2000.68万,False,False,92.44亿,4.41亿,147.55万,4417.94万,2388.21万,96.40亿,15.99亿,80.41亿,False,80.42亿,-33.91万,77.17亿,,0.88,False,-9078.62万,-9078.62万,79.50亿,79.51亿,-33.91万
12,2013,,82.32亿,567.84亿,471.68亿,82.24亿,79.87亿,,567.84亿,567.84亿,471.68亿,405.38亿,20.57亿,18.95亿,27.47亿,False,-8384.99万,False,False,1421.60万,False,-738.12万,5917.63万,1134.20万,False,False,96.68亿,2.79亿,245.83万,2715.30万,1428.27万,99.20亿,16.88亿,82.32亿,False,82.24亿,848.33万,79.87亿,,2.70,False,-57.61万,-57.61万,82.32亿,82.23亿,848.33万
13,2012,,57.22亿,431.60亿,365.26亿,56.92亿,55.19亿,,431.60亿,431.60亿,365.26亿,315.62亿,15.95亿,16.56亿,17.44亿,False,-1.05亿,False,False,7536.89万,False,1047.36万,1932.29万,221.59万,False,False,66.63亿,2.21亿,False,4293.62万,2712.68万,68.41亿,11.19亿,57.22亿,False,56.92亿,2962.24万,55.19亿,,1.87,False,9.94万,False,57.22亿,56.93亿,2962.24万
14,2011,,35.11亿,300.89亿,261.05亿,34.26亿,33.12亿,,300.89亿,300.89亿,261.05亿,225.94亿,10.52亿,11.93亿,12.84亿,False,-2293.47万,False,False,533.80万,False,313.12万,2435.73万,1195.45万,False,False,40.12亿,1.26亿,False,750.99万,252.20万,41.31亿,6.20亿,35.11亿,False,34.26亿,8445.78万,33.12亿,,1.22,False,-276.32万,False,35.08亿,34.23亿,8445.78万
15,2010,,28.27亿,229.86亿,200.73亿,27.01亿,26.33亿,,229.86亿,229.86亿,200.73亿,172.98亿,8.11亿,10.70亿,8.74亿,False,-781.97万,False,False,2709.15万,False,-195.35万,5627.16万,4205.03万,False,False,29.68亿,8249.27万,False,904.19万,416.46万,30.41亿,2.14亿,28.27亿,False,27.01亿,1.26亿,26.33亿,,0.99,False,-177.52万,False,28.25亿,26.99亿,1.26亿
