index,报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
0,2025,,337.61亿,8039.65亿,7808.29亿,326.19亿,294.46亿,,8039.65亿,8039.65亿,7808.29亿,6613.05亿,135.81亿,261.85亿,202.00亿,579.78亿,-6.49亿,25.52亿,24.37亿,18.23亿,4.07亿,3.64亿,28.57亿,10.07亿,2779.60万,138.00亿,401.85亿,11.32亿,False,15.64亿,False,397.53亿,59.92亿,337.61亿,337.61亿,326.19亿,11.42亿,294.46亿,,3.58,3.58,17.93亿,18.11亿,355.54亿,344.30亿,11.24亿
1,2024,,415.88亿,7771.02亿,7433.65亿,402.54亿,369.83亿,,7771.02亿,7771.02亿,7433.65亿,6260.47亿,147.52亿,240.85亿,186.45亿,531.95亿,12.16亿,20.94亿,24.84亿,38.72亿,15.53亿,5.32亿,22.91亿,14.69亿,-1.27亿,140.52亿,504.86亿,12.52亿,False,20.57亿,False,496.81亿,80.93亿,415.88亿,415.88亿,402.54亿,13.34亿,369.83亿,,4.61,4.61,8.43亿,8.37亿,424.31亿,410.91亿,13.40亿
2,2023,,313.44亿,6023.15亿,5714.49亿,300.41亿,284.62亿,,6023.15亿,6023.15亿,5714.49亿,4903.99亿,103.50亿,153.71亿,134.62亿,395.75亿,-14.75亿,18.28亿,27.96亿,21.88亿,15.80亿,2.58亿,16.35亿,12.77亿,9036.40万,52.53亿,381.03亿,7.11亿,False,15.46亿,False,372.69亿,59.25亿,313.44亿,313.44亿,300.41亿,13.03亿,284.62亿,,10.32,10.32,1.84亿,1.75亿,315.28亿,302.16亿,13.12亿
3,2022,,177.13亿,4240.61亿,4035.63亿,166.22亿,156.38亿,,4240.61亿,4240.61亿,4035.63亿,3518.16亿,72.67亿,150.61亿,100.07亿,186.54亿,-16.18亿,13.16亿,18.30亿,13.86亿,9.90亿,1.26亿,-7.92亿,-6.86亿,-1083.60万,17.21亿,215.42亿,5.27亿,False,9.89亿,False,210.80亿,33.67亿,177.13亿,177.13亿,166.22亿,10.91亿,156.38亿,,5.71,5.71,5.46亿,5.52亿,182.59亿,171.75亿,10.84亿
4,2021,,39.67亿,2161.42亿,2138.48亿,30.45亿,12.55亿,,2161.42亿,2161.42亿,2138.48亿,1879.98亿,30.35亿,60.82亿,57.10亿,79.91亿,17.87亿,19.08亿,6.32亿,8.57亿,3.88亿,4735.60万,-5713.40万,-1.45亿,7706.70万,22.70亿,46.32亿,3.38亿,False,4.52亿,False,45.18亿,5.51亿,39.67亿,39.67亿,30.45亿,9.22亿,12.55亿,,1.06,1.06,4.28亿,4.32亿,43.95亿,34.77亿,9.18亿
5,2020,,60.14亿,1565.98亿,1508.69亿,42.34亿,29.54亿,,1565.98亿,1565.98亿,1508.69亿,1262.51亿,21.54亿,50.56亿,43.21亿,74.65亿,37.63亿,31.24亿,2.15亿,9.07亿,9.52亿,-5126.70万,-2.73亿,-1.87亿,-1426.40万,16.95亿,70.86亿,2.82亿,False,4.85亿,False,68.83亿,8.69亿,60.14亿,60.14亿,42.34亿,17.80亿,29.54亿,,1.47,1.47,-5.09亿,-5.09亿,55.05亿,37.25亿,17.80亿
6,2019,,21.19亿,1277.39亿,1262.51亿,16.14亿,2.31亿,,1277.39亿,1277.39亿,1262.51亿,1069.24亿,15.61亿,43.46亿,41.41亿,56.29亿,30.14亿,34.87亿,3.54亿,1.39亿,4.97亿,974.90万,-8.09亿,-4.23亿,-9975.40万,17.24亿,23.12亿,2.26亿,False,1.07亿,False,24.31亿,3.12亿,21.19亿,21.19亿,16.14亿,5.04亿,2.31亿,,0.50,0.50,2.46亿,2.44亿,23.65亿,18.59亿,5.06亿
7,2018,,35.56亿,1300.55亿,1280.04亿,27.80亿,5.86亿,,1300.55亿,1300.55亿,1280.04亿,1087.25亿,21.46亿,47.29亿,37.60亿,49.89亿,26.35亿,31.19亿,1.87亿,6.86亿,3.32亿,-547.00万,-1.13亿,-2.25亿,-1852.60万,23.28亿,42.42亿,2.30亿,False,8605.00万,False,43.86亿,8.29亿,35.56亿,35.56亿,27.80亿,7.76亿,5.86亿,,0.93,0.93,-15.65亿,-15.61亿,19.91亿,12.19亿,7.72亿
8,2017,,49.17亿,1059.15亿,1013.73亿,40.66亿,29.87亿,,1059.15亿,1059.15亿,1013.73亿,857.75亿,13.29亿,49.25亿,30.47亿,37.39亿,23.14亿,23.43亿,9578.30万,2.43亿,False,-1.18亿,-2.06亿,-2.25亿,-5515.00万,12.49亿,54.11亿,2.79亿,False,6894.00万,False,56.21亿,7.04亿,49.17亿,49.17亿,40.66亿,8.50亿,29.87亿,,1.40,1.40,3.13亿,3.10亿,52.30亿,43.77亿,8.53亿
9,2016,,54.80亿,1034.70亿,967.40亿,50.52亿,46.13亿,,1034.70亿,1034.70亿,967.40亿,824.01亿,15.12亿,41.96亿,68.43亿,False,12.22亿,False,False,5.66亿,False,-1820.70万,-7.26亿,-6.00亿,-1.37亿,False,58.50亿,8.44亿,False,1.25亿,False,65.68亿,10.88亿,54.80亿,54.80亿,50.52亿,4.28亿,46.13亿,,1.88,1.88,1.73亿,1.31亿,56.53亿,51.83亿,4.70亿
