index,编号,股东名称,持股数量,持股比例,股本性质,截至日期,公告日期,股东说明,股东总数,平均持股数
565,8,毛德和,26922300.0,1.14,"流通A股,限售流通股",2013-06-30,2013-08-26,,35096.0,67076.0
566,9,王念强,19049740.0,0.81,"流通A股,限售流通股",2013-06-30,2013-08-26,,35096.0,67076.0
567,10,刘卫平,12355380.0,0.52,流通A股,2013-06-30,2013-08-26,,35096.0,67076.0
568,1,王传福,570642580.0,24.24,限售流通股,2013-03-31,2013-04-26,,31461.0,74826.0
569,2,HKSCC NOMINEES LIMITED,566896351.0,24.08,流通H股,2013-03-31,2013-04-26,,31461.0,74826.0
570,3,吕向阳,239228620.0,10.16,限售流通股,2013-03-31,2013-04-26,,31461.0,74826.0
571,4,MIDAMERICAN ENERGY HOLDINGS COMPANY,225000000.0,9.56,流通H股,2013-03-31,2013-04-26,,31461.0,74826.0
572,5,广州融捷投资管理集团有限公司,162581860.0,6.91,限售流通股,2013-03-31,2013-04-26,,31461.0,74826.0
573,6,夏佐全,124977060.0,5.31,"流通A股,限售流通股",2013-03-31,2013-04-26,,31461.0,74826.0
574,7,杨龙忠,70295740.0,2.99,限售流通股,2013-03-31,2013-04-26,,31461.0,74826.0
575,8,毛德和,26922300.0,1.14,"流通A股,限售流通股",2013-03-31,2013-04-26,,31461.0,74826.0
576,9,王念强,19049740.0,0.81,"流通A股,限售流通股",2013-03-31,2013-04-26,,31461.0,74826.0
577,10,刘卫平,12355380.0,0.52,流通A股,2013-03-31,2013-04-26,,31461.0,74826.0
578,1,王传福,570642580.0,24.24,限售流通股,2012-12-31,2013-03-25,,35110.0,67049.0
579,2,HKSCC NOMINEES LIMITED,566860851.0,24.08,流通H股,2012-12-31,2013-03-25,,35110.0,67049.0
580,3,吕向阳,239228620.0,10.16,限售流通股,2012-12-31,2013-03-25,,35110.0,67049.0
581,4,MIDAMERICAN ENERGY HOLDINGS COMPANY,225000000.0,9.56,流通H股,2012-12-31,2013-03-25,,35110.0,67049.0
582,5,广州融捷投资管理集团有限公司,162581860.0,6.91,限售流通股,2012-12-31,2013-03-25,,35110.0,67049.0
583,6,夏佐全,124977060.0,5.31,"流通A股,限售流通股",2012-12-31,2013-03-25,,35110.0,67049.0
584,7,杨龙忠,70295740.0,2.99,限售流通股,2012-12-31,2013-03-25,,35110.0,67049.0
585,8,毛德和,26922300.0,1.14,"流通A股,限售流通股",2012-12-31,2013-03-25,,35110.0,67049.0
586,9,王念强,19049740.0,0.81,"流通A股,限售流通股",2012-12-31,2013-03-25,,35110.0,67049.0
587,10,兴业银行股份有限公司-兴全全球视野股票型证券投资基金,14934346.0,0.63,流通A股,2012-12-31,2013-03-25,,35110.0,67049.0
588,1,王传福,570642580.0,24.24,限售流通股,2012-06-30,2012-08-28,,34980.0,67298.0
589,2,HKSCC NOMINEES LIMITED,566748451.0,24.07,流通H股,2012-06-30,2012-08-28,,34980.0,67298.0
590,3,吕向阳,239228620.0,10.16,限售流通股,2012-06-30,2012-08-28,,34980.0,67298.0
591,4,MIDAMERICAN ENERGY HOLDINGS COMPANY,225000000.0,9.56,流通H股,2012-06-30,2012-08-28,,34980.0,67298.0
592,5,广州融捷投资管理集团有限公司,162581860.0,6.91,限售流通股,2012-06-30,2012-08-28,,34980.0,67298.0
593,6,夏佐全,124977060.0,5.31,"流通A股,限售流通股",2012-06-30,2012-08-28,,34980.0,67298.0
594,7,杨龙忠,78725740.0,3.34,"流通A股,限售流通股",2012-06-30,2012-08-28,,34980.0,67298.0
595,8,毛德和,27582300.0,1.17,"流通A股,限售流通股",2012-06-30,2012-08-28,,34980.0,67298.0
596,9,王念强,21649740.0,0.92,"流通A股,限售流通股",2012-06-30,2012-08-28,,34980.0,67298.0
597,10,百家丽亚太有限公司,17426040.0,0.74,流通A股,2012-06-30,2012-08-28,,34980.0,67298.0
598,1,王传福,570642580.0,24.24,限售流通股,2011-12-31,2012-03-26,,34061.0,69114.0
599,2,HKSCC NOMINEES LIMITED,566814602.0,24.08,流通H股,2011-12-31,2012-03-26,,34061.0,69114.0
600,3,吕向阳,239228620.0,10.16,限售流通股,2011-12-31,2012-03-26,,34061.0,69114.0
601,4,MIDAMERICAN ENERGY HOLDINGS COMPANY,225000000.0,9.56,流通H股,2011-12-31,2012-03-26,,34061.0,69114.0
602,5,广州融捷投资管理集团有限公司,162581860.0,6.91,限售流通股,2011-12-31,2012-03-26,,34061.0,69114.0
603,6,夏佐全,124977060.0,5.31,限售流通股,2011-12-31,2012-03-26,,34061.0,69114.0
604,7,杨龙忠,78725740.0,3.34,限售流通股,2011-12-31,2012-03-26,,34061.0,69114.0
605,8,毛德和,27582300.0,1.17,限售流通股,2011-12-31,2012-03-26,,34061.0,69114.0
606,9,王念强,21649740.0,0.92,限售流通股,2011-12-31,2012-03-26,,34061.0,69114.0
607,10,百家丽亚太有限公司,17426040.0,0.74,限售流通股,2011-12-31,2012-03-26,,34061.0,69114.0
608,1,王传福,570642580.0,24.24,限售流通股,2011-06-30,2011-08-23,,34287.0,68659.0
609,2,HKSCC NOMINEES LIMITED,566674103.0,24.07,流通H股,2011-06-30,2011-08-23,,34287.0,68659.0
610,3,吕向阳,239228620.0,10.16,限售流通股,2011-06-30,2011-08-23,,34287.0,68659.0
611,4,MIDAMERICAN ENERGY HOLDINGS COMPANY,225000000.0,9.56,流通H股,2011-06-30,2011-08-23,,34287.0,68659.0
612,5,广州融捷投资管理集团有限公司,162581860.0,6.91,限售流通股,2011-06-30,2011-08-23,,34287.0,68659.0
613,6,夏佐全,124977060.0,5.31,限售流通股,2011-06-30,2011-08-23,,34287.0,68659.0
614,7,杨龙忠,78725740.0,3.34,限售流通股,2011-06-30,2011-08-23,,34287.0,68659.0
615,8,毛德和,27582300.0,1.17,限售流通股,2011-06-30,2011-08-23,,34287.0,68659.0
616,9,王念强,21649740.0,0.92,限售流通股,2011-06-30,2011-08-23,,34287.0,68659.0
617,10,百家丽亚太有限公司,17426040.0,0.74,限售流通股,2011-06-30,2011-08-23,,34287.0,68659.0
618,1,王传福,570642580.0,24.24,限售流通股,2011-06-29,2011-06-29,,63265.0,37211.0
619,2,HKSCC NOMINEES LIMITED,566675103.0,24.07,流通H股,2011-06-29,2011-06-29,,63265.0,37211.0
620,3,吕向阳,239228620.0,10.16,限售流通股,2011-06-29,2011-06-29,,63265.0,37211.0
621,4,中美能源,225000000.0,9.56,流通H股,2011-06-29,2011-06-29,,63265.0,37211.0
622,5,广州融捷,162581860.0,6.91,限售流通股,2011-06-29,2011-06-29,,63265.0,37211.0
623,6,夏佐全,124977060.0,5.31,限售流通股,2011-06-29,2011-06-29,,63265.0,37211.0
624,7,杨龙忠,78725740.0,3.34,限售流通股,2011-06-29,2011-06-29,,63265.0,37211.0
625,8,毛德和,27582300.0,1.17,限售流通股,2011-06-29,2011-06-29,,63265.0,37211.0
626,9,王念强,21649740.0,0.92,限售流通股,2011-06-29,2011-06-29,,63265.0,37211.0
627,10,百家丽亚太有限公司,17426040.0,0.74,限售流通股,2011-06-29,2011-06-29,,63265.0,37211.0
628,1,王传福,570642580.0,25.08,限售流通股,2011-06-21,2011-05-05,,,
629,2,HKSCC NOMINEES LIMITED,565089103.0,24.84,流通H股,2011-06-21,2011-05-05,,,
630,3,吕向阳,239228620.0,10.52,限售流通股,2011-06-21,2011-05-05,,,
631,4,中美能源,225000000.0,9.89,流通H股,2011-06-21,2011-05-05,,,
632,5,广州融捷,162581860.0,7.15,限售流通股,2011-06-21,2011-05-05,,,
633,6,夏佐全,124977060.0,5.49,限售流通股,2011-06-21,2011-05-05,,,
634,7,杨龙忠,78725740.0,3.46,限售流通股,2011-06-21,2011-05-05,,,
635,8,毛德和,27582300.0,1.21,限售流通股,2011-06-21,2011-05-05,,,
636,9,王念强,21649740.0,0.95,限售流通股,2011-06-21,2011-05-05,,,
637,10,百家丽亚太有限公司,17426040.0,0.76,限售流通股,2011-06-21,2011-05-05,,,
638,1,王传福,150169100.0,27.83,内资股,2002-07-31,2006-07-17,,,
639,2,吕向阳,62954900.0,11.67,内资股,2002-07-31,2006-07-17,,,
640,3,广州融捷投资管理集团有限公司,44800700.0,8.3,内资股,2002-07-31,2006-07-17,,,
641,4,夏佐全,32888700.0,6.1,内资股,2002-07-31,2006-07-17,,,
