index,名次,股东名称,股东性质,股份类型,持股数,占总流通股本持股比例,增减,变动比率
0,1,HKSCC NOMINEES LIMITED,其它,H股,1227164245,25.324213020584,-97463,-0.0079415
1,2,融捷投资控股集团有限公司,投资公司,A股,155149602,3.201724290058,不变,
2,3,王传福,个人,A股,128405963,2.649832712593,不变,
3,4,香港中央结算有限公司,其它,A股,128002614,2.641509054175,2584990,2.06110586
4,5,吕向阳,个人,A股,59807155,1.234202462748,不变,
5,6,夏佐全,个人,A股,20658902,0.426324705231,不变,
6,7,王念强,个人,A股,18299740,0.377640169904,不变,
7,8,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,证券投资基金,A股,16058154,0.331381976186,1272719,8.60792395
8,9,中央汇金资产管理有限责任公司,其它,A股,11976633,0.247154206617,不变,
9,10,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金,证券投资基金,A股,11489439,0.23710029192,1134300,10.9539814
