报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,减：营业外支出,其中：非流动资产处置损失,四、利润总额,净利润差额(合计平衡项目),减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2019-06-30,,23.46亿,202.64亿,177.26亿,21.02亿,18.19亿,,202.64亿,202.64亿,177.26亿,142.27亿,1.18亿,8.04亿,10.62亿,14.13亿,-4.28亿,1.20亿,5.33亿,4.22亿,1.09亿,False,-4589.44万,-620.33万,30.57万,3.20亿,28.13亿,1000.50万,1758.88万,False,28.05亿,False,4.58亿,23.46亿,23.46亿,21.02亿,2.44亿,18.19亿,,0.97,0.97,2.36亿,2.36亿,25.82亿,23.38亿,2.44亿
2019-03-31,,11.17亿,99.82亿,87.66亿,10.47亿,9.16亿,,99.82亿,99.82亿,87.66亿,71.16亿,8663.92万,4.01亿,5.25亿,7.49亿,-1.62亿,5866.29万,2.55亿,3620.59万,1456.25万,False,-3466.97万,209.78万,30.95万,1.40亿,13.21亿,654.87万,525.65万,False,13.22亿,False,2.06亿,11.17亿,11.17亿,10.47亿,6958.90万,9.16亿,,0.48,0.48,1.61亿,1.61亿,12.78亿,12.09亿,6958.90万
2018-12-31,,37.36亿,296.11亿,257.29亿,33.87亿,31.28亿,,296.11亿,296.11亿,257.29亿,199.02亿,1.71亿,13.79亿,15.91亿,19.91亿,-2.80亿,2.04亿,5.66亿,9.75亿,False,-3.14亿,1.84亿,-426.40万,-9153.90万,5.08亿,41.68亿,6230.33万,2596.63万,False,42.05亿,False,4.69亿,37.36亿,37.36亿,33.87亿,3.49亿,31.28亿,,1.64,1.64,-5.85亿,-5.85亿,31.51亿,28.02亿,3.49亿
2018-09-30,,26.42亿,191.36亿,165.34亿,23.79亿,19.85亿,,191.36亿,191.36亿,165.34亿,131.50亿,1.01亿,8.47亿,9.84亿,11.48亿,-1.51亿,2.35亿,3.69亿,4.55亿,False,False,6942.74万,958.32万,-2726.14万,4.28亿,30.72亿,1598.36万,428.56万,False,30.83亿,False,4.41亿,26.42亿,26.42亿,23.79亿,2.64亿,19.85亿,,1.17,1.17,-2.09亿,-2.09亿,24.34亿,21.70亿,2.64亿
2018-06-30,,10.70亿,93.60亿,84.20亿,9.11亿,6.97亿,,93.60亿,93.60亿,84.20亿,64.32亿,3536.90万,4.49亿,6.02亿,7.18亿,-2297.93万,1.18亿,2.07亿,2.07亿,False,False,5983.89万,2000.94万,-244.50万,2.19亿,12.16亿,815.97万,327.78万,False,12.21亿,False,1.51亿,10.70亿,10.70亿,9.11亿,1.59亿,6.97亿,,0.47,0.47,-1.76亿,-1.76亿,8.94亿,7.35亿,1.59亿
2018-03-31,,4.69亿,37.12亿,33.54亿,4.13亿,2.69亿,,37.12亿,37.12亿,33.54亿,24.96亿,1479.22万,1.48亿,2.91亿,2.74亿,276.52万,5320.17万,1.07亿,1.05亿,2291.49万,False,2797.29万,1204.36万,-32.82万,1.54亿,5.40亿,344.77万,232.85万,False,5.41亿,False,7174.37万,4.69亿,4.69亿,4.13亿,5591.73万,2.69亿,,0.21,0.21,317.93万,317.93万,4.72亿,4.17亿,5591.73万
2017-12-31,,41.94亿,199.97亿,168.75亿,38.78亿,23.76亿,,199.97亿,199.97亿,168.75亿,127.40亿,9590.05万,7.96亿,13.25亿,16.32亿,4216.97万,9882.49万,1.02亿,2.45亿,False,False,13.44亿,-4997.68万,-7831.15万,4.44亿,48.32亿,1865.55万,257.58万,False,48.48亿,False,6.54亿,41.94亿,41.94亿,38.78亿,3.16亿,23.76亿,,2.01,0.0000,2.47亿,2.47亿,44.41亿,41.25亿,3.16亿
2017-09-30,,28.31亿,119.71亿,104.03亿,25.71亿,False,,119.71亿,119.71亿,104.03亿,76.98亿,4433.77万,5.04亿,9.05亿,10.79亿,5769.78万,8587.85万,3361.62万,1.15亿,False,False,13.44亿,-1947.80万,-233.79万,3.83亿,32.93亿,1354.98万,454.03万,False,33.02亿,False,4.71亿,28.31亿,28.31亿,25.71亿,2.61亿,False,,1.33,1.33,3.44亿,3.44亿,31.75亿,29.15亿,2.61亿
2017-06-30,,19.75亿,62.95亿,55.30亿,18.11亿,5.56亿,,62.95亿,62.95亿,55.30亿,39.35亿,2402.55万,2.70亿,12.04亿,False,4813.43万,False,False,4917.72万,False,False,12.46亿,-1317.53万,-227.97万,2.72亿,22.81亿,697.51万,54.14万,False,22.87亿,False,3.12亿,19.75亿,19.75亿,18.11亿,1.64亿,5.56亿,,0.95,False,3.12亿,3.12亿,22.87亿,21.23亿,1.64亿
2017-03-31,,1649.52万,14.54亿,15.52亿,-1168.79万,-1.29亿,,14.54亿,14.54亿,15.52亿,9.05亿,441.10万,7463.32万,5.38亿,False,2923.72万,False,False,False,False,False,8517.22万,-1297.83万,-32.21万,False,-1273.85万,4314.08万,3.20万,False,3037.04万,False,1387.52万,1649.52万,1649.52万,-1168.79万,3599.01万,-1.29亿,,-0.02,False,8.14万,8.14万,2438.36万,-1160.66万,3599.01万
2016-12-31,,29.18亿,148.79亿,115.85亿,28.52亿,27.86亿,,148.79亿,148.79亿,115.85亿,83.77亿,1.09亿,6.32亿,21.52亿,False,8044.38万,False,False,2.34亿,False,False,7608.03万,2166.98万,-1.58亿,False,32.12亿,1.89亿,88.15万,False,34.00亿,False,4.82亿,29.18亿,29.18亿,28.52亿,6661.54万,27.86亿,,1.87,False,88.81万,88.81万,29.19亿,28.53亿,6661.54万
2015-12-31,,9.51亿,57.03亿,46.58亿,9.31亿,8.80亿,,57.03亿,57.03亿,46.58亿,34.99亿,3962.98万,3.31亿,6.21亿,False,1.09亿,False,False,5864.17万,False,False,145.54万,-965.85万,-59.01万,False,10.46亿,7119.04万,1675.28万,False,11.00亿,False,1.49亿,9.51亿,9.51亿,9.31亿,1993.47万,8.80亿,,0.78,False,49.49万,49.49万,9.51亿,9.31亿,1993.47万
2014-12-31,,5556.38万,8.67亿,8.67亿,5442.58万,1309.77万,,8.67亿,8.67亿,8.67亿,6.44亿,1.03万,4329.42万,1.52亿,False,2457.37万,False,False,259.11万,False,False,1611.76万,1302.41万,False,False,1638.32万,4621.62万,16.93万,10.25万,6243.01万,False,686.63万,5556.38万,False,5442.58万,113.80万,1309.77万,,False,False,18.40万,18.40万,5574.77万,5460.97万,113.80万
