报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2022-12-31,,177.13亿,4240.61亿,4035.63亿,166.22亿,156.38亿,,4240.61亿,4240.61亿,4035.63亿,3518.16亿,72.67亿,150.61亿,100.07亿,186.54亿,-16.18亿,13.16亿,18.30亿,13.86亿,9.90亿,1.26亿,-7.92亿,-6.86亿,-1083.60万,17.21亿,215.42亿,5.27亿,False,9.89亿,False,210.80亿,33.67亿,177.13亿,177.13亿,166.22亿,10.91亿,156.38亿,,5.71,5.71,5.46亿,5.52亿,182.59亿,171.75亿,10.84亿
2022-09-30,,99.88亿,2676.88亿,2563.52亿,93.11亿,83.65亿,,2676.88亿,2676.88亿,2563.52亿,2251.47亿,44.62亿,93.56亿,64.10亿,108.70亿,-13.40亿,10.32亿,12.67亿,8.99亿,5.49亿,-4756.40万,-3.32亿,-3.74亿,-2156.60万,11.51亿,120.85亿,2.90亿,False,2.56亿,False,121.19亿,21.31亿,99.88亿,99.88亿,93.11亿,6.77亿,83.65亿,,3.20,3.20,-2.16亿,-2.15亿,97.73亿,90.97亿,6.76亿
2022-06-30,,39.33亿,1506.07亿,1462.25亿,35.95亿,30.29亿,,1506.07亿,1506.07亿,1462.25亿,1302.65亿,23.80亿,47.23亿,36.71亿,54.24亿,-8.98亿,6.53亿,8.44亿,4.32亿,2.28亿,-1604.10万,-3.70亿,-4.05亿,-2404.70万,6.50亿,46.22亿,2.12亿,False,1.92亿,False,46.41亿,7.08亿,39.33亿,39.33亿,35.95亿,3.38亿,30.29亿,,1.24,1.24,-2775.40万,-2431.00万,39.05亿,35.71亿,3.34亿
2022-03-31,,9.12亿,668.25亿,658.77亿,8.08亿,5.14亿,,668.25亿,668.25亿,658.77亿,585.38亿,11.10亿,19.78亿,17.02亿,23.61亿,-8100.10万,3.37亿,3.66亿,2.33亿,3671.50万,1.12亿,-2.01亿,-2.26亿,-401.10万,2.05亿,10.61亿,5731.00万,False,6407.10万,False,10.54亿,1.43亿,9.12亿,9.12亿,8.08亿,1.03亿,5.14亿,,0.28,0.28,-5614.50万,-5195.00万,8.55亿,7.56亿,9890.70万
2021-12-31,,39.67亿,2161.42亿,2138.48亿,30.45亿,12.55亿,,2161.42亿,2161.42亿,2138.48亿,1879.98亿,30.35亿,60.82亿,57.10亿,79.91亿,17.87亿,19.08亿,6.32亿,8.57亿,3.88亿,4735.60万,-5713.40万,-1.45亿,7706.70万,22.70亿,46.32亿,3.38亿,False,4.52亿,False,45.18亿,5.51亿,39.67亿,39.67亿,30.45亿,9.22亿,12.55亿,,1.06,1.06,4.28亿,4.32亿,43.95亿,34.77亿,9.18亿
2021-09-30,,32.97亿,1451.92亿,1431.17亿,24.43亿,8.86亿,,1451.92亿,1451.92亿,1431.17亿,1263.54亿,17.69亿,42.59亿,37.84亿,52.34亿,13.72亿,15.43亿,3.96亿,2.40亿,1.06亿,5719.60万,-2829.10万,-5150.10万,2.57亿,15.07亿,38.69亿,2.89亿,False,2.31亿,False,39.26亿,6.30亿,32.97亿,32.97亿,24.43亿,8.53亿,8.86亿,,0.85,0.85,-2.65亿,-2.63亿,30.32亿,21.80亿,8.52亿
2021-06-30,,18.11亿,908.85亿,896.09亿,11.74亿,3.69亿,,908.85亿,908.85亿,896.09亿,792.85亿,10.42亿,26.52亿,24.07亿,29.96亿,9.56亿,10.20亿,2.57亿,2.14亿,5825.40万,2836.00万,-4844.70万,-7835.80万,-406.20万,9.64亿,22.16亿,1.45亿,False,1.57亿,False,22.04亿,3.93亿,18.11亿,18.11亿,11.74亿,6.37亿,3.69亿,,0.41,0.41,-1.82亿,-1.82亿,16.28亿,9.92亿,6.36亿
2021-03-31,,5.11亿,409.92亿,406.40亿,2.37亿,-8165.10万,,409.92亿,409.92亿,406.40亿,358.29亿,4.45亿,12.47亿,11.63亿,12.17亿,5.95亿,5.46亿,1.21亿,1.31亿,1217.60万,-884.10万,-1.37亿,-1.28亿,-187.00万,4.42亿,6.46亿,5850.30万,False,4880.60万,False,6.56亿,1.45亿,5.11亿,5.11亿,2.37亿,2.74亿,-8165.10万,,0.08,0.08,-3.14亿,-3.14亿,1.97亿,-7654.70万,2.74亿
2020-12-31,,60.14亿,1565.98亿,1508.69亿,42.34亿,29.54亿,,1565.98亿,1565.98亿,1508.69亿,1262.51亿,21.54亿,50.56亿,43.21亿,74.65亿,37.63亿,31.24亿,2.15亿,9.07亿,9.52亿,-5126.70万,-2.73亿,-1.87亿,-1426.40万,16.95亿,70.86亿,2.82亿,False,4.85亿,False,68.83亿,8.69亿,60.14亿,60.14亿,42.34亿,17.80亿,29.54亿,,1.47,1.47,-5.09亿,-5.09亿,55.05亿,37.25亿,17.80亿
2020-09-30,,49.02亿,1050.23亿,1000.51亿,34.14亿,24.93亿,,1050.23亿,1050.23亿,1000.51亿,832.32亿,13.76亿,35.28亿,31.00亿,48.92亿,30.58亿,24.49亿,1.57亿,5.93亿,2.73亿,1696.00万,-2.01亿,-1.07亿,-903.00万,10.22亿,58.00亿,1.78亿,False,3.00亿,False,56.78亿,7.76亿,49.02亿,49.02亿,34.14亿,14.88亿,24.93亿,,1.18,1.18,-1.95亿,-1.96亿,47.07亿,32.18亿,14.90亿
2020-06-30,,23.83亿,605.03亿,581.96亿,16.62亿,9.16亿,,605.03亿,605.03亿,581.96亿,486.47亿,6.76亿,20.05亿,20.20亿,25.25亿,16.64亿,17.32亿,1.15亿,4.71亿,1.88亿,4247.40万,-1.28亿,-9520.70万,-705.70万,7.33亿,29.48亿,1.04亿,False,1.24亿,False,29.28亿,5.45亿,23.83亿,23.83亿,16.62亿,7.21亿,9.16亿,,0.56,0.56,-1.92亿,-1.89亿,21.92亿,14.73亿,7.19亿
2020-03-31,,3.22亿,196.79亿,198.07亿,1.13亿,-4.72亿,,196.79亿,196.79亿,198.07亿,162.04亿,2.45亿,6.84亿,9.42亿,7.57亿,9.55亿,9.02亿,8102.20万,4351.40万,-2327.20万,4803.20万,-9453.70万,252.30万,546.20万,5.44亿,3.75亿,4714.70万,False,3972.00万,False,3.82亿,5996.70万,3.22亿,3.22亿,1.13亿,2.09亿,-4.72亿,,0.02,0.02,-7914.20万,-7707.30万,2.43亿,3556.30万,2.07亿
2019-12-31,,21.19亿,1277.39亿,1262.51亿,16.14亿,2.31亿,,1277.39亿,1277.39亿,1262.51亿,1069.24亿,15.61亿,43.46亿,41.41亿,56.29亿,30.14亿,34.87亿,3.54亿,1.39亿,4.97亿,974.90万,-8.09亿,-4.23亿,-9975.40万,17.24亿,23.12亿,2.26亿,False,1.07亿,False,24.31亿,3.12亿,21.19亿,21.19亿,16.14亿,5.04亿,2.31亿,,0.50,0.50,2.46亿,2.44亿,23.65亿,18.59亿,5.06亿
2019-09-30,,18.95亿,938.22亿,925.67亿,15.74亿,5.87亿,,938.22亿,938.22亿,925.67亿,787.75亿,11.50亿,33.46亿,31.60亿,38.39亿,19.48亿,25.00亿,2.93亿,1.57亿,1.92亿,2.70万,-3.80亿,-1.14亿,-5967.40万,12.41亿,20.56亿,1.58亿,False,4652.70万,False,21.68亿,2.73亿,18.95亿,18.95亿,15.74亿,3.21亿,5.87亿,,0.51,0.51,2.78亿,2.79亿,21.73亿,18.53亿,3.20亿
2019-06-30,,16.48亿,621.84亿,610.00亿,14.55亿,7.40亿,,621.84亿,621.84亿,610.00亿,515.23亿,7.69亿,23.01亿,20.71亿,24.95亿,14.53亿,16.01亿,1.47亿,1.81亿,2.08亿,479.40万,-2.73亿,-9233.20万,-2603.80万,8.99亿,17.89亿,1.12亿,False,2718.30万,False,18.74亿,2.25亿,16.48亿,16.48亿,14.55亿,1.94亿,7.40亿,,0.49,0.49,2.39亿,2.39亿,18.88亿,16.93亿,1.94亿
2019-03-31,,8.88亿,303.04亿,295.17亿,7.50亿,4.12亿,,303.04亿,303.04亿,295.17亿,245.32亿,4.05亿,10.63亿,10.44亿,12.93亿,9.01亿,7.92亿,7559.30万,1.43亿,1.34亿,55.70万,-1.94亿,-937.00万,-1904.60万,4.40亿,10.15亿,5592.00万,False,1069.40万,False,10.60亿,1.71亿,8.88亿,8.88亿,7.50亿,1.39亿,4.12亿,,0.25,0.25,6.55亿,6.54亿,15.43亿,14.04亿,1.39亿
2018-12-31,,35.56亿,1300.55亿,1280.04亿,27.80亿,5.86亿,,1300.55亿,1300.55亿,1280.04亿,1087.25亿,21.46亿,47.29亿,37.60亿,49.89亿,26.35亿,31.19亿,1.87亿,6.86亿,3.32亿,-547.00万,-1.13亿,-2.25亿,-1852.60万,23.28亿,42.42亿,2.30亿,False,8605.00万,False,43.86亿,8.29亿,35.56亿,35.56亿,27.80亿,7.76亿,5.86亿,,0.93,0.93,-15.65亿,-15.61亿,19.91亿,12.19亿,7.72亿
