报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2015-12-31,,31.38亿,800.09亿,780.62亿,28.23亿,12.07亿,,800.09亿,800.09亿,780.62亿,665.14亿,12.67亿,28.68亿,54.15亿,False,14.46亿,False,False,5.52亿,False,1820.70万,12.10亿,-2.43亿,False,False,31.76亿,7.03亿,False,8421.40万,3605.10万,37.95亿,6.57亿,31.38亿,False,28.23亿,3.15亿,12.07亿,,1.12,1.12,9.64亿,9.73亿,41.02亿,37.96亿,3.06亿
2015-09-30,,21.83亿,484.94亿,474.83亿,19.61亿,4.88亿,,484.94亿,484.94亿,474.83亿,398.90亿,8.84亿,17.38亿,37.42亿,False,10.36亿,False,False,1.93亿,False,False,12.62亿,-1.78亿,False,False,22.72亿,5.32亿,False,5834.60万,1433.50万,27.46亿,5.63亿,21.83亿,False,19.61亿,2.21亿,4.88亿,,0.79,False,-1809.30万,-1084.40万,21.64亿,19.51亿,2.14亿
2015-06-30,,6.24亿,315.82亿,310.31亿,4.67亿,1.52亿,,315.82亿,315.82亿,310.31亿,260.76亿,6.61亿,12.01亿,23.03亿,False,6.29亿,False,False,1.62亿,False,False,-8933.90万,-9080.50万,False,False,4.62亿,3.89亿,False,2079.80万,376.30万,8.31亿,2.06亿,6.24亿,False,4.67亿,1.58亿,1.52亿,,0.19,False,599.70万,711.20万,6.30亿,4.74亿,1.56亿
2015-03-31,,1.53亿,152.83亿,151.49亿,1.21亿,4038.70万,,152.83亿,152.83亿,151.49亿,126.60亿,3.35亿,6.11亿,11.05亿,False,4.03亿,False,False,3566.40万,False,False,-2701.60万,-2701.60万,False,False,1.07亿,1.07亿,1987.30万,932.90万,False,2.04亿,5070.30万,1.53亿,False,1.21亿,3234.50万,4038.70万,,0.05,False,1149.40万,1142.50万,1.65亿,1.32亿,3241.40万
2014-12-31,,7.40亿,581.96亿,584.43亿,4.34亿,-6.77亿,,581.96亿,581.96亿,584.43亿,491.44亿,9.57亿,22.29亿,44.30亿,False,13.89亿,False,False,2.94亿,False,False,6836.60万,-1.22亿,False,False,-1.79亿,11.14亿,2.20亿,6125.20万,False,8.74亿,1.34亿,7.40亿,False,4.34亿,3.06亿,-6.77亿,,0.18,False,210.70万,407.00万,7.42亿,4.38亿,3.04亿
2014-09-30,,6.18亿,404.09亿,406.40亿,3.89亿,-3.90亿,,404.09亿,404.09亿,406.40亿,342.02亿,6.57亿,15.91亿,29.65亿,False,10.35亿,False,False,1.89亿,False,False,1.90亿,-937.80万,False,False,-4154.50万,7.74亿,2.30亿,4989.80万,False,6.83亿,6425.00万,6.18亿,False,3.89亿,2.29亿,-3.90亿,,0.16,False,2410.70万,1602.30万,6.42亿,4.05亿,2.38亿
2014-06-30,,5.62亿,267.16亿,263.75亿,3.61亿,9346.60万,,267.16亿,267.16亿,263.75亿,222.54亿,4.64亿,9.86亿,19.27亿,False,6.37亿,False,False,1.08亿,False,False,-718.50万,-1144.60万,False,False,3.33亿,3.63亿,False,4710.30万,1638.40万,6.49亿,8734.90万,5.62亿,False,3.61亿,2.01亿,9346.60万,,0.15,0.0000,3896.80万,4726.50万,6.01亿,4.08亿,1.93亿
2014-03-31,,8751.40万,117.24亿,117.12亿,1196.60万,-9349.30万,,117.24亿,117.24亿,117.12亿,97.30亿,2.19亿,4.73亿,8.99亿,False,3.19亿,False,False,7311.00万,False,False,-859.90万,-859.90万,False,False,346.80万,1.28亿,False,1303.60万,858.00万,1.18亿,3079.90万,8751.40万,False,1196.60万,7554.80万,-9349.30万,,0.0100,0.0000,713.60万,418.20万,9465.00万,1614.80万,7850.20万
2013-12-31,,7.76亿,528.63亿,527.08亿,5.53亿,-5693.00万,,528.63亿,528.63亿,527.08亿,447.46亿,12.04亿,20.12亿,33.15亿,False,11.60亿,False,False,2.72亿,False,False,-4840.80万,-4840.80万,False,False,1.07亿,7.76亿,1266.10万,5026.00万,1144.80万,8.32亿,5621.50万,7.76亿,False,5.53亿,2.23亿,-5693.00万,,0.23,False,-6379.60万,-4027.90万,7.12亿,5.13亿,1.99亿
2013-09-30,,6.24亿,387.04亿,383.83亿,4.65亿,8813.00万,,387.04亿,387.04亿,383.83亿,326.61亿,8.64亿,14.07亿,24.61亿,False,8.43亿,False,False,1.47亿,False,False,-5391.30万,-5391.30万,False,False,2.67亿,4.73亿,False,2828.80万,483.10万,7.13亿,8872.50万,6.24亿,False,4.65亿,1.59亿,8813.00万,,0.20,0.0000,-6789.40万,False,5.56亿,4.21亿,1.35亿
2013-06-30,,5.36亿,260.41亿,257.34亿,4.27亿,1.32亿,,260.41亿,260.41亿,257.34亿,218.99亿,6.33亿,9.91亿,15.83亿,False,5.32亿,False,False,9525.60万,False,False,-3493.40万,-3493.40万,False,False,2.72亿,3.68亿,False,2189.70万,214.80万,6.18亿,8213.40万,5.36亿,False,4.27亿,1.09亿,1.32亿,,0.18,False,-4914.10万,False,4.87亿,3.96亿,9140.20万
2013-03-31,,1.56亿,128.84亿,127.52亿,1.12亿,4786.50万,,128.84亿,128.84亿,127.52亿,108.30亿,3.57亿,4.62亿,8.06亿,False,2.44亿,False,False,5236.50万,False,False,7.90万,7.90万,False,False,1.32亿,6757.10万,False,1524.40万,123.10万,1.84亿,2797.40万,1.56亿,False,1.12亿,4362.20万,4786.50万,,0.05,0.0000,2950.40万,False,1.86亿,1.33亿,5264.50万
2012-12-31,,2.13亿,468.54亿,471.47亿,8137.70万,-4.84亿,,468.54亿,468.54亿,471.47亿,401.53亿,11.09亿,15.12亿,31.85亿,False,8.64亿,False,False,3.24亿,False,False,-1118.90万,-2450.30万,False,False,-3.04亿,6.62亿,False,6693.50万,1395.10万,2.91亿,7783.50万,2.13亿,False,8137.70万,1.32亿,-4.84亿,,0.03,0.0000,-737.50万,False,2.06亿,7246.70万,1.33亿
2012-09-30,,1.39亿,331.09亿,332.44亿,2088.10万,-3.83亿,,331.09亿,331.09亿,332.44亿,282.42亿,8.00亿,10.90亿,22.85亿,False,5.50亿,False,False,2.77亿,False,False,-1094.10万,-2425.40万,False,False,-1.46亿,4.58亿,False,4845.40万,956.10万,2.64亿,1.25亿,1.39亿,False,2088.10万,1.18亿,-3.83亿,,0.0089,0.0000,-77.00万,False,1.38亿,1567.40万,1.23亿
2012-06-30,,1.04亿,225.82亿,226.55亿,1626.90万,-2.08亿,,225.82亿,225.82亿,226.55亿,190.47亿,5.84亿,7.92亿,15.89亿,False,4.01亿,False,False,2.42亿,False,False,71.00万,-1260.40万,False,False,-7189.80万,2.58亿,False,2639.50万,1390.50万,1.59亿,5519.00万,1.04亿,False,1626.90万,8788.50万,-2.08亿,,0.0100,0.0000,-4119.60万,False,6295.80万,-1451.30万,7747.10万
2012-03-31,,5360.60万,117.34亿,117.02亿,2704.00万,-6986.50万,,117.34亿,117.34亿,117.02亿,96.92亿,3.44亿,4.23亿,8.56亿,False,1.83亿,False,False,2.05亿,False,False,843.60万,-487.70万,False,False,4059.10万,9983.40万,False,696.60万,260.50万,1.33亿,7985.30万,5360.60万,False,2704.00万,2656.60万,-6986.50万,,0.0100,False,1272.40万,False,6633.00万,3116.70万,3516.30万
2011-12-31,,15.95亿,488.82亿,479.35亿,13.85亿,6.29亿,,488.82亿,488.27亿,479.35亿,404.39亿,9.70亿,18.00亿,34.56亿,False,-2.85亿,False,False,4.85亿,False,False,5.04亿,120.70万,False,False,14.10亿,3.67亿,False,5025.70万,941.40万,17.27亿,1.32亿,15.95亿,False,13.85亿,2.10亿,6.29亿,,0.60,False,-1.11亿,False,14.84亿,13.19亿,1.65亿
2011-09-30,,5.12亿,343.34亿,339.17亿,3.53亿,2.15亿,,343.34亿,343.34亿,339.17亿,288.92亿,5.74亿,12.24亿,24.91亿,False,5.65亿,False,False,1.71亿,False,False,1385.20万,1385.20万,False,False,4.30亿,2.72亿,False,7552.10万,2488.70万,6.27亿,1.15亿,5.12亿,False,3.53亿,1.59亿,2.15亿,,0.15,0.15,-8988.70万,False,4.22亿,2.92亿,1.30亿
2011-06-30,,3.95亿,225.45亿,222.13亿,2.75亿,1.71亿,,225.45亿,225.45亿,222.13亿,189.92亿,3.52亿,8.47亿,16.07亿,False,3.61亿,False,False,5434.00万,False,False,-357.70万,-357.70万,False,False,3.28亿,2.01亿,False,3902.00万,1637.60万,4.90亿,9539.30万,3.95亿,False,2.75亿,1.19亿,1.71亿,,0.12,False,-781.60万,False,3.87亿,2.71亿,1.16亿
2011-03-31,,3.24亿,117.10亿,113.73亿,2.67亿,2.40亿,,117.10亿,117.10亿,113.73亿,97.17亿,1.78亿,4.89亿,8.56亿,False,1.18亿,False,False,1460.40万,False,False,765.20万,765.20万,False,False,3.45亿,4973.80万,False,1704.50万,482.50万,3.78亿,5394.50万,3.24亿,False,2.67亿,5735.80万,2.40亿,,0.12,0.12,-1926.00万,False,3.05亿,2.52亿,5237.30万
2010-12-31,,29.19亿,484.48亿,457.07亿,25.23亿,20.70亿,,484.48亿,484.48亿,457.07亿,391.74亿,6.60亿,21.76亿,33.06亿,False,3.70亿,False,False,2070.00万,False,False,2577.10万,2555.40万,False,False,27.68亿,5.49亿,False,1.74亿,4105.10万,31.42亿,2.24亿,29.19亿,False,25.23亿,3.95亿,20.70亿,,1.11,False,783.30万,False,29.26亿,25.29亿,3.98亿
2010-09-30,,27.18亿,358.91亿,331.34亿,24.33亿,False,,358.91亿,358.91亿,331.34亿,284.39亿,4.97亿,14.89亿,24.20亿,False,2.76亿,False,False,1214.10万,False,False,1831.50万,1809.80万,False,False,27.75亿,2.48亿,False,8829.50万,2897.70万,29.35亿,2.17亿,27.18亿,False,24.33亿,2.85亿,False,,1.07,1.07,1001.70万,False,27.28亿,24.39亿,2.89亿
2010-06-30,,25.88亿,252.65亿,226.43亿,24.21亿,21.76亿,,252.65亿,252.65亿,226.43亿,194.91亿,4.02亿,10.15亿,15.55亿,False,1.67亿,False,False,1337.20万,False,False,1063.00万,1055.20万,False,False,26.32亿,2.04亿,False,6275.10万,2491.00万,27.74亿,1.86亿,25.88亿,False,24.21亿,1.67亿,21.76亿,,1.06,1.06,884.30万,False,25.97亿,24.28亿,1.69亿
2010-03-31,,17.90亿,132.47亿,114.40亿,17.04亿,14.89亿,,132.47亿,132.47亿,114.40亿,98.71亿,2.42亿,5.03亿,7.98亿,False,4626.10万,False,False,-1936.70万,False,False,495.70万,495.70万,False,False,18.12亿,1.48亿,False,2644.70万,1355.70万,19.34亿,1.43亿,17.90亿,False,17.04亿,8627.10万,14.89亿,,0.75,False,904.00万,False,17.99亿,17.10亿,8903.00万
2009-12-31,,40.78亿,411.14亿,369.64亿,37.94亿,33.35亿,,411.14亿,411.14亿,369.64亿,314.80亿,6.74亿,14.88亿,27.74亿,False,2.69亿,False,False,2.79亿,False,90.60万,1723.60万,1636.80万,False,False,41.69亿,4.75亿,False,1.37亿,9206.20万,45.06亿,4.28亿,40.78亿,False,37.94亿,2.85亿,33.35亿,,1.77,False,3512.70万,False,41.14亿,38.17亿,2.97亿
2008-12-31,,12.76亿,277.27亿,267.67亿,10.21亿,6.19亿,,277.27亿,277.27亿,267.67亿,220.32亿,3.00亿,9.34亿,26.27亿,False,6.97亿,False,False,1.76亿,False,False,2975.90万,1596.30万,False,False,9.90亿,4.43亿,False,6937.40万,2813.20万,13.64亿,8832.30万,12.76亿,False,10.21亿,2.54亿,6.19亿,,0.50,False,-1.12亿,False,11.64亿,9.49亿,2.15亿
