报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2020-12-31,,16.28亿,88.70亿,-51.91亿,-18.53亿,157.23亿,,,251.83亿,6.47亿,6.11亿,264.41亿,91.78亿,46.09亿,22.51亿,15.33亿,175.70亿,88.70亿,,False,False,282.76万,False,875.00万,1157.76万,11.83亿,2000.00万,False,40.00亿,52.03亿,-51.91亿,,False,False,False,False,False,False,18.24亿,False,2958.90万,18.53亿,-18.53亿,-1.97亿,16.28亿,140.94亿,157.23亿,,,66.60亿,1.40亿,2.99亿,1.73亿,1096.28万,206.74万,False,2.05亿,447.15万,-3789.50万,-1573.19万,-14.48亿,-327.07万,28.27亿,5428.63万,88.70亿,,,157.23亿,140.94亿,16.28亿
2020-09-30,,12.54亿,59.90亿,-27.99亿,-18.49亿,153.48亿,,,185.45亿,5.74亿,3.66亿,194.86亿,70.72亿,34.34亿,17.00亿,12.89亿,134.95亿,59.90亿,,False,False,167.16万,False,False,167.16万,8.81亿,2000.00万,False,19.00亿,28.01亿,-27.99亿,,False,False,False,False,False,False,18.24亿,False,2538.90万,18.49亿,-18.49亿,-8847.32万,12.54亿,140.94亿,153.48亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2020-06-30,,19.12亿,42.09亿,-4.83亿,-18.49亿,160.06亿,,,123.22亿,4.51亿,2.53亿,130.26亿,44.40亿,26.19亿,9.51亿,8.07亿,88.17亿,42.09亿,,False,False,97.07万,False,False,97.07万,4.64亿,2000.00万,False,False,4.84亿,-4.83亿,,False,False,False,False,False,False,18.24亿,False,2538.90万,18.49亿,-18.49亿,3461.77万,19.12亿,140.94亿,160.06亿,,,34.54亿,9875.36万,1.31亿,7851.95万,397.61万,66.29万,False,-70.79万,51.59万,-7647.83万,-903.12万,-14.81亿,-3.36亿,23.15亿,2970.53万,42.09亿,,,160.06亿,140.94亿,19.12亿
2020-03-31,,12.45亿,14.20亿,-1.88亿,False,153.39亿,,,56.26亿,1.18亿,1.40亿,58.84亿,17.52亿,18.43亿,4.80亿,3.89亿,44.65亿,14.20亿,,False,False,49.31万,False,False,49.31万,1.79亿,1000.00万,False,False,1.89亿,-1.88亿,,False,False,False,False,False,False,False,False,False,False,False,1314.35万,12.45亿,140.94亿,153.39亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2019-12-31,,27.26亿,47.22亿,-7.78亿,-12.42亿,140.94亿,,,184.57亿,3.82亿,4.45亿,192.84亿,67.85亿,38.76亿,20.26亿,18.75亿,145.63亿,47.22亿,,False,False,389.52万,False,False,389.52万,7.77亿,500.00万,False,False,7.82亿,-7.78亿,,False,False,False,False,False,False,12.16亿,21.29万,2566.72万,12.42亿,-12.42亿,2365.15万,27.26亿,113.68亿,140.94亿,,,46.85亿,1.65亿,2.54亿,1.40亿,1104.01万,149.37万,False,-673.42万,False,-3703.41万,-1212.28万,-7.07亿,-3.12亿,5.54亿,-1395.77万,47.22亿,,,140.94亿,113.68亿,27.26亿
2019-09-30,,15.59亿,32.84亿,-5.42亿,-12.25亿,129.27亿,,,131.28亿,2.39亿,3.01亿,136.67亿,45.61亿,28.75亿,15.82亿,13.65亿,103.83亿,32.84亿,,False,False,265.29万,False,False,265.29万,5.45亿,False,False,False,5.45亿,-5.42亿,,False,False,False,False,False,False,12.16亿,21.29万,933.30万,12.25亿,-12.25亿,4244.43万,15.59亿,113.68亿,129.27亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2019-06-30,,5.49亿,20.99亿,-3.10亿,-12.25亿,119.18亿,,,85.61亿,1.43亿,2.31亿,89.35亿,27.39亿,21.78亿,10.84亿,8.35亿,68.36亿,20.99亿,,False,False,119.72万,False,False,119.72万,3.11亿,False,False,False,3.11亿,-3.10亿,,False,False,False,False,False,False,12.16亿,False,933.30万,12.25亿,-12.25亿,-1449.62万,5.49亿,113.68亿,119.18亿,,,23.70亿,3504.32万,1.23亿,6596.06万,517.01万,2.38万,False,4527.20万,False,-7244.39万,-473.75万,-2.47亿,-3.59亿,1.22亿,1584.59万,20.99亿,,,119.18亿,113.68亿,5.49亿
2019-03-31,,2.00亿,4.67亿,-1.46亿,-933.30万,115.68亿,,,41.14亿,5821.99万,6688.43万,42.39亿,12.69亿,15.23亿,5.92亿,3.88亿,37.73亿,4.67亿,,False,False,74.69万,False,False,74.69万,1.46亿,False,False,False,1.46亿,-1.46亿,,False,False,False,False,False,False,False,False,933.30万,933.30万,-933.30万,-1.12亿,2.00亿,113.68亿,115.68亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2018-12-31,,64.18亿,40.35亿,-6.93亿,28.92亿,113.68亿,,,149.95亿,4.22亿,2.23亿,156.41亿,55.29亿,29.85亿,14.37亿,16.55亿,116.06亿,40.35亿,,False,False,330.24万,False,9500.61万,9830.85万,6.78亿,False,False,1.13亿,7.91亿,-6.93亿,,57.96亿,False,False,False,57.96亿,18.66亿,9.49亿,9.32万,8867.03万,29.04亿,28.92亿,1.84亿,64.18亿,49.50亿,113.68亿,,,37.26亿,5093.56万,2.23亿,1.08亿,673.89万,301.54万,-1.13亿,-9179.29万,1.13亿,-1.38亿,-853.32万,-2.24亿,-2.48亿,6.50亿,-2272.90万,40.35亿,,,113.68亿,49.50亿,64.18亿
2018-09-30,,8.80亿,24.52亿,-4.60亿,-13.15亿,58.30亿,,,108.65亿,3.07亿,1.32亿,113.04亿,40.81亿,23.30亿,12.22亿,12.19亿,88.53亿,24.52亿,,False,False,125.86万,False,9500.61万,9626.47万,4.43亿,False,False,1.13亿,5.56亿,-4.60亿,,False,False,False,False,False,3.18亿,9.33亿,9.32万,6330.05万,13.15亿,-13.15亿,2.03亿,8.80亿,49.50亿,58.30亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2018-06-30,,-7290.08万,15.05亿,-3.17亿,-13.00亿,48.77亿,,,69.30亿,2.06亿,1.12亿,72.49亿,25.05亿,17.18亿,7.90亿,7.31亿,57.44亿,15.05亿,,False,False,66.56万,False,9500.61万,9567.17万,3.00亿,False,False,1.13亿,4.12亿,-3.17亿,,False,False,False,False,False,3.18亿,9.18亿,9.32万,6330.05万,13.00亿,-13.00亿,3888.42万,-7290.08万,49.50亿,48.77亿,,,18.76亿,3212.27万,1.11亿,4862.35万,275.13万,84.38万,-1.13亿,-373.93万,1.13亿,-1.37亿,-479.58万,-2.65亿,-2.96亿,1.62亿,-2202.21万,15.05亿,,,48.77亿,49.50亿,-7290.08万
2018-03-31,,7736.48万,4.33亿,-1.98亿,-867.14万,50.27亿,,,33.25亿,8753.04万,6271.62万,34.75亿,11.21亿,11.67亿,3.57亿,3.98亿,30.42亿,4.33亿,,False,False,39.93万,False,9500.61万,9540.54万,1.81亿,False,False,1.13亿,2.94亿,-1.98亿,,False,False,False,False,False,False,867.14万,False,False,867.14万,-867.14万,-1.48亿,7736.48万,49.50亿,50.27亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2017-12-31,,7.05亿,33.00亿,1308.39万,-24.53亿,49.50亿,,,125.30亿,2.40亿,1.89亿,129.59亿,47.24亿,24.19亿,11.63亿,13.52亿,96.58亿,33.00亿,,27.12亿,1129.94万,1097.61万,134.42万,False,27.35亿,4.67亿,21.61亿,False,9500.61万,27.22亿,1308.39万,,False,False,3.39亿,False,3.39亿,20.23亿,6.14亿,251.56万,1.54亿,27.91亿,-24.53亿,-1.56亿,7.05亿,42.45亿,49.50亿,,,26.01亿,3178.07万,2.14亿,8989.45万,1352.65万,-370.71万,1.11亿,2.54亿,-923.87万,-8663.81万,-4169.75万,-6.26亿,-5.17亿,13.08亿,-3927.55万,33.00亿,,,49.50亿,42.45亿,7.05亿
2017-09-30,,-2.79亿,22.44亿,2069.50万,-24.25亿,39.66亿,,,92.08亿,2.36亿,9370.64万,95.38亿,33.81亿,19.34亿,8.98亿,10.80亿,72.94亿,22.44亿,,25.70亿,789.17万,897.13万,134.42万,False,25.88亿,3.35亿,21.56亿,False,7641.63万,25.68亿,2069.50万,,False,False,3.39亿,False,3.39亿,20.23亿,5.98亿,96.69万,1.43亿,27.64亿,-24.25亿,-1.19亿,-2.79亿,42.45亿,39.66亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2017-06-30,,-1.23亿,13.65亿,9874.63万,-15.30亿,False,,,False,False,False,False,False,False,False,False,False,13.65亿,,False,False,False,False,False,False,False,False,False,False,False,9874.63万,,False,False,False,False,False,False,False,False,False,False,-15.30亿,False,-1.23亿,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2016-12-31,,24.40亿,30.40亿,10.60亿,-17.93亿,42.45亿,,,109.75亿,2.77亿,1.64亿,114.16亿,38.17亿,24.24亿,9.44亿,11.92亿,83.76亿,30.40亿,,170.47亿,1.24亿,3832.89万,False,False,172.10亿,4.14亿,150.90亿,6.47亿,False,161.50亿,10.60亿,,7.44亿,False,27.95亿,26.31亿,61.70亿,12.54亿,65.49亿,3126.30万,1.60亿,79.63亿,-17.93亿,1.33亿,24.40亿,18.05亿,42.45亿,,,16.12亿,1.01亿,2.02亿,8296.22万,1601.66万,511.54万,464.03万,2044.36万,-1.14亿,-8546.21万,-787.99万,-2.09亿,2.16亿,10.92亿,False,30.40亿,,,False,False,False
2015-12-31,,1.92亿,20.24亿,20.07亿,-38.80亿,18.05亿,,,93.96亿,2.54亿,1.23亿,97.73亿,34.72亿,23.95亿,6.49亿,12.34亿,77.49亿,20.24亿,,140.02亿,3.33亿,554.41万,False,False,143.41亿,5.95亿,116.34亿,1.04亿,False,123.33亿,20.07亿,,False,False,2.95亿,9690.79万,3.92亿,5993.68万,34.25亿,False,7.87亿,42.72亿,-38.80亿,4116.56万,1.92亿,16.13亿,18.05亿,,,9.41亿,3.56亿,1.93亿,1.22亿,1764.18万,371.28万,False,-4913.06万,-2.38亿,-1972.72万,-2524.62万,-1.78亿,1.21亿,4.93亿,False,20.24亿,,,False,False,False
2014-12-31,,-6.66亿,17.41亿,-2.45亿,-21.51亿,16.13亿,,,86.96亿,3.52亿,9020.88万,91.38亿,33.14亿,22.82亿,6.58亿,11.42亿,73.97亿,17.41亿,,72.33亿,2.69亿,520.81万,False,False,75.07亿,5.88亿,70.91亿,7225.31万,False,77.52亿,-2.45亿,,403.01万,False,False,2041.74万,2444.75万,13.17亿,4545.25万,False,8.13亿,21.75亿,-21.51亿,-1153.88万,-6.66亿,22.79亿,16.13亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
