日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-10-31,300750,296.0,245.98,301.5,229.6,8671834,223424318002.0,28.54,-2.35,-5.91,22.23
2024-11-29,300750,246.53,261.24,288.2,244.0,7409354,196449697305.0,17.97,6.2,15.26,18.99
2024-12-31,300750,258.64,266.0,281.5,255.0,4772798,127230347997.0,10.14,1.82,4.76,12.23
2025-01-27,300750,266.25,257.0,268.76,241.08,3681293,93780250726.0,10.41,-3.38,-9.0,9.43
2025-02-28,300750,260.0,264.3,276.88,247.08,4714033,124578990652.0,11.6,2.84,7.3,12.08
2025-03-31,300750,265.0,252.94,279.3,251.49,4656842,121334302580.0,10.52,-4.3,-11.36,11.93
2025-04-30,300750,252.94,231.5,254.5,209.11,5296649,119987626585.0,17.94,-8.48,-21.44,13.57
2025-05-30,300750,233.91,250.0,279.99,231.2,4799259,123308831131.0,21.08,7.99,18.5,12.3
2025-06-30,300750,252.0,252.22,257.45,238.03,3442438,85642146476.0,7.77,0.89,2.22,8.1
2025-07-31,300750,252.5,264.62,292.2,249.19,5296162,144708943716.0,17.05,4.92,12.4,12.46
2025-08-29,300750,264.8,306.18,316.66,257.72,5866076,163452031408.0,22.27,15.71,41.56,13.8
2025-09-30,300750,306.5,402.0,408.88,299.03,9848383,340468352275.0,35.88,31.3,95.82,23.14
