名次,股东名称,股份类型,持股数,占总股本持股比例,增减,变动比率
1,中电海康集团有限公司,流通A股,3416996509,37.28,不变,
2,龚虹嘉,流通A股,962504814,10.5,不变,
3,杭州威讯股权投资合伙企业(有限合伙),流通A股,450795176,4.92,不变,
4,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,流通A股,280000000,3.06,-58000000,-17.15976331
5,中电科投资控股有限公司,流通A股,248366268,2.71,不变,
6,杭州璞康股权投资合伙企业(有限合伙),流通A股,182510174,1.99,不变,
7,中国电子科技集团公司第五十二研究所,流通A股,180775044,1.97,不变,
8,胡扬忠,"流通A股,限售流通A股",155996477,1.7,不变,
9,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪,流通A股,127550920,1.39,新进,
10,中央汇金资产管理有限责任公司,流通A股,64700691,0.71,不变,
