报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,减：营业外支出,四、利润总额,净利润差额(合计平衡项目),减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2020-12-31,,66.60亿,210.26亿,140.41亿,66.58亿,65.40亿,,210.26亿,210.26亿,140.41亿,73.66亿,2.18亿,36.12亿,8.97亿,18.69亿,-6142.08万,False,3.86亿,1.10亿,2968.52万,False,-447.15万,-447.15万,-206.74万,4.76亿,74.55亿,5367.32万,7039.30万,74.38亿,False,7.79亿,66.60亿,66.60亿,66.58亿,192.72万,65.40亿,,5.48,5.48,-1.21亿,-1.21亿,65.38亿,65.36亿,192.72万
2020-09-30,,53.64亿,160.64亿,104.13亿,53.63亿,52.65亿,,160.64亿,160.64亿,104.13亿,53.27亿,1.56亿,28.28亿,6.96亿,13.51亿,-8217.16万,False,2.41亿,9486.06万,4261.89万,False,-121.05万,-121.05万,-104.09万,3.56亿,60.05亿,4733.01万,3475.99万,60.17亿,False,6.53亿,53.64亿,53.64亿,53.63亿,112.74万,52.65亿,,4.41,4.41,-5024.65万,-5024.65万,53.14亿,53.13亿,112.74万
2020-06-30,,34.54亿,105.64亿,69.30亿,34.54亿,33.66亿,,105.64亿,105.64亿,69.30亿,35.96亿,9298.59万,19.15亿,4.74亿,9.03亿,-1.50亿,False,1.37亿,6359.11万,3516.25万,False,-51.59万,-51.59万,-66.29万,2.75亿,39.09亿,3554.28万,1689.81万,39.27亿,False,4.73亿,34.54亿,34.54亿,34.54亿,29.15万,33.66亿,,2.84,2.84,1181.49万,1181.49万,34.66亿,34.65亿,29.15万
2020-03-31,,13.14亿,47.41亿,34.14亿,13.13亿,12.53亿,,47.41亿,47.41亿,34.14亿,16.82亿,4911.48万,9.50亿,2.72亿,4.82亿,-4763.90万,False,7025.92万,1710.29万,1045.80万,False,-10.41万,-10.41万,1.31万,1.44亿,14.71亿,2169.00万,1214.35万,14.81亿,False,1.67亿,13.14亿,13.14亿,13.13亿,49.59万,12.53亿,,1.08,1.08,703.36万,703.36万,13.21亿,13.20亿,49.59万
2019-12-31,,46.85亿,165.56亿,115.61亿,46.81亿,46.15亿,,165.56亿,165.56亿,115.61亿,57.55亿,2.12亿,36.06亿,7.65亿,14.66亿,-4.08亿,False,3.31亿,1.57亿,867.20万,False,False,False,-149.37万,3.85亿,53.79亿,3928.36万,4982.23万,53.68亿,False,6.83亿,46.85亿,46.85亿,46.81亿,417.00万,46.15亿,,3.85,3.85,-1932.88万,-1932.88万,46.65亿,46.61亿,417.00万
2019-09-30,,36.74亿,123.79亿,84.42亿,36.71亿,36.23亿,,123.79亿,123.79亿,84.42亿,43.07亿,1.55亿,26.09亿,5.89亿,10.84亿,-3.51亿,False,2.40亿,4159.26万,819.06万,False,False,False,-55.51万,2.71亿,42.08亿,2013.35万,1146.78万,42.17亿,False,5.43亿,36.74亿,36.74亿,36.71亿,247.02万,36.23亿,,3.02,3.02,206.56万,206.56万,36.76亿,36.73亿,247.02万
2019-06-30,,23.70亿,82.06亿,56.77亿,23.69亿,23.29亿,,82.06亿,82.06亿,56.77亿,28.53亿,1.08亿,17.06亿,4.12亿,7.05亿,-1.42亿,False,1.50亿,2085.76万,1418.57万,False,False,False,-2.38万,2.04亿,27.32亿,1169.34万,1009.56万,27.34亿,False,3.64亿,23.70亿,23.70亿,23.69亿,86.96万,23.29亿,,1.95,1.95,-406.04万,-406.04万,23.66亿,23.65亿,86.96万
2019-03-31,,10.06亿,39.06亿,28.33亿,10.06亿,9.98亿,,39.06亿,39.06亿,28.33亿,13.36亿,5876.33万,8.01亿,1.60亿,3.44亿,1.24亿,False,6981.25万,955.06万,-65.30万,False,False,False,14.11万,9118.19万,11.64亿,634.99万,761.12万,11.63亿,False,1.57亿,10.06亿,10.06亿,10.06亿,25.34万,9.98亿,,0.83,0.83,-118.23万,-118.23万,10.05亿,10.05亿,25.34万
2018-12-31,,37.26亿,137.53亿,98.69亿,37.19亿,36.91亿,,137.53亿,137.53亿,98.69亿,45.97亿,1.92亿,32.02亿,7.15亿,12.67亿,-1.56亿,4250.31万,9068.85万,5093.56万,False,1.13亿,-1.13亿,False,-301.54万,3.97亿,42.78亿,2658.98万,6642.05万,42.38亿,False,5.13亿,37.26亿,37.26亿,37.19亿,650.57万,36.91亿,,3.34,3.34,1104.20万,1104.20万,37.37亿,37.30亿,650.57万
2018-09-30,,29.02亿,102.80亿,72.55亿,28.97亿,28.45亿,,102.80亿,102.80亿,72.55亿,34.03亿,1.46亿,23.42亿,5.34亿,9.69亿,-1.81亿,3654.33万,4232.13万,4157.12万,False,1.13亿,-1.13亿,False,-114.33万,3.00亿,33.24亿,2013.26万,1866.85万,33.25亿,False,4.23亿,29.02亿,29.02亿,28.97亿,540.65万,28.45亿,,2.65,2.65,572.65万,572.65万,29.08亿,29.02亿,540.65万
2018-06-30,,18.76亿,68.08亿,48.40亿,18.72亿,18.42亿,,68.08亿,68.08亿,48.40亿,22.03亿,1.04亿,15.21亿,3.55亿,6.40亿,-1385.45万,2399.50万,2469.39万,3212.27万,False,1.13亿,-1.13亿,False,-84.38万,2.16亿,21.83亿,403.41万,1288.34万,21.74亿,False,2.99亿,18.76亿,18.76亿,18.72亿,407.19万,18.42亿,,1.71,1.71,-324.39万,-324.39万,18.73亿,18.68亿,407.19万
2018-03-31,,8.09亿,32.36亿,23.97亿,8.07亿,7.78亿,,32.36亿,32.36亿,23.97亿,10.23亿,4962.92万,6.76亿,1.86亿,2.80亿,1.72亿,1239.38万,1195.42万,1072.15万,False,1.13亿,-1.13亿,False,-56.16万,1.17亿,9.56亿,279.54万,491.56万,9.54亿,False,1.45亿,8.09亿,8.09亿,8.07亿,198.91万,7.78亿,,0.74,0.74,-2788.92万,-2788.92万,7.81亿,7.79亿,198.91万
2017-12-31,,26.01亿,111.74亿,85.23亿,25.89亿,25.80亿,,111.74亿,111.74亿,85.23亿,36.84亿,1.48亿,27.27亿,6.47亿,10.18亿,2.67亿,8099.18万,3106.25万,3178.07万,False,-1.11亿,923.87万,False,370.71万,3.28亿,28.80亿,6987.40万,1809.24万,29.31亿,False,3.30亿,26.01亿,26.01亿,25.89亿,1203.63万,25.80亿,,2.37,2.37,-5122.90万,-5122.90万,25.50亿,25.38亿,1203.63万
2017-09-30,,20.05亿,83.45亿,62.73亿,19.94亿,False,,83.45亿,83.45亿,62.73亿,27.15亿,1.12亿,19.58亿,4.98亿,7.54亿,2.06亿,6938.08万,2041.03万,3008.09万,False,-9633.18万,893.61万,False,511.54万,2.69亿,22.59亿,3473.85万,1021.12万,22.83亿,False,2.78亿,20.05亿,20.05亿,19.94亿,1113.43万,False,,1.82,1.82,-3554.23万,-3554.23万,19.70亿,19.58亿,1113.43万
2017-06-30,,12.14亿,54.75亿,False,12.06亿,12.24亿,,54.75亿,54.75亿,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.06亿,False,False,14.13亿,False,False,12.14亿,False,12.06亿,False,12.24亿,,False,False,False,False,False,False,False
2016-12-31,,16.12亿,90.32亿,75.88亿,16.00亿,17.81亿,,90.32亿,90.32亿,75.88亿,31.95亿,1.31亿,24.01亿,17.83亿,False,-2362.48万,False,False,1.01亿,False,-464.03万,1.14亿,False,-418.42万,False,15.49亿,3.28亿,2491.92万,18.52亿,False,2.39亿,16.12亿,16.12亿,16.00亿,1172.76万,17.81亿,,1.61,1.61,3039.08万,3039.08万,16.43亿,16.31亿,1172.76万
2015-12-31,,9.41亿,80.13亿,72.86亿,9.10亿,13.40亿,,80.13亿,80.13亿,72.86亿,30.28亿,7909.25万,21.76亿,17.57亿,False,-1.10亿,False,False,3.56亿,False,False,2.38亿,False,-330.28万,False,9.61亿,2.38亿,1.10亿,10.90亿,False,1.49亿,9.41亿,9.41亿,9.10亿,3062.49万,13.40亿,,0.98,0.98,-3536.59万,-3536.59万,9.05亿,8.75亿,3062.49万
2014-12-31,,13.95亿,78.36亿,68.56亿,13.60亿,13.30亿,,78.36亿,78.36亿,68.56亿,28.66亿,7578.40万,20.85亿,16.86亿,False,9736.73万,False,False,4581.52万,False,-95.77万,2.28亿,False,False,False,12.08亿,2.62亿,1321.07万,14.56亿,-100.00,6127.74万,13.95亿,False,13.60亿,3511.98万,13.30亿,,1.47,1.47,-620.99万,-620.99万,13.89亿,13.53亿,3511.98万
