编号,股东名称,持股数量,持股比例,股本性质,截至日期,公告日期,股东说明,股东总数,平均持股数
1,中电海康集团有限公司,3416996509.0,,流通A股,2025-09-30,2025-10-18,,387222.0,23671.0
2,龚虹嘉,962504814.0,,流通A股,2025-09-30,2025-10-18,,387222.0,23671.0
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,,流通A股,2025-09-30,2025-10-18,,387222.0,23671.0
4,上海高毅资产管理合伙企业(有限合伙)－高毅邻山1号远望基金,280000000.0,3.06,流通A股,2025-09-30,2025-10-18,,387222.0,23671.0
5,中电科投资控股有限公司,248366268.0,,流通A股,2025-09-30,2025-10-18,,387222.0,23671.0
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,,流通A股,2025-09-30,2025-10-18,,387222.0,23671.0
7,中国电子科技集团公司第五十二研究所,180775044.0,,流通A股,2025-09-30,2025-10-18,,387222.0,23671.0
8,胡扬忠,155996477.0,,"流通A股,限售流通股",2025-09-30,2025-10-18,,387222.0,23671.0
9,中国人寿保险股份有限公司－传统－普通保险产品－005L－CT001沪,127550920.0,1.39,流通A股,2025-09-30,2025-10-18,,387222.0,23671.0
10,中央汇金资产管理有限责任公司,64700691.0,,流通A股,2025-09-30,2025-10-18,,387222.0,23671.0
1,中电海康集团有限公司,3416996509.0,37.01,流通A股,2025-06-30,2025-08-02,,413933.0,22305.0
2,龚虹嘉,962504814.0,10.42,流通A股,2025-06-30,2025-08-02,,413933.0,22305.0
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.88,流通A股,2025-06-30,2025-08-02,,413933.0,22305.0
4,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,338000000.0,3.66,流通A股,2025-06-30,2025-08-02,,413933.0,22305.0
5,中电科投资控股有限公司,248366268.0,2.69,流通A股,2025-06-30,2025-08-02,,413933.0,22305.0
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.98,流通A股,2025-06-30,2025-08-02,,413933.0,22305.0
7,中国电子科技集团公司第五十二研究所,180775044.0,1.96,流通A股,2025-06-30,2025-08-02,,413933.0,22305.0
8,胡扬忠,155996477.0,1.69,"流通A股,限售流通股",2025-06-30,2025-08-02,,413933.0,22305.0
9,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,65941856.0,0.71,流通A股,2025-06-30,2025-08-02,,413933.0,22305.0
10,中央汇金资产管理有限责任公司,64700691.0,0.7,流通A股,2025-06-30,2025-08-02,,413933.0,22305.0
1,中电海康集团有限公司,3416994909.0,37.01,流通A股,2025-03-31,2025-04-19,,340254.0,27135.0
2,龚虹嘉,962504814.0,10.42,流通A股,2025-03-31,2025-04-19,,340254.0,27135.0
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.88,流通A股,2025-03-31,2025-04-19,,340254.0,27135.0
4,上海高毅资产管理合伙企业(有限合伙)－高毅邻山1号远望基金,350000000.0,3.79,流通A股,2025-03-31,2025-04-19,,340254.0,27135.0
5,中电科投资控股有限公司,248366168.0,2.69,流通A股,2025-03-31,2025-04-19,,340254.0,27135.0
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.98,流通A股,2025-03-31,2025-04-19,,340254.0,27135.0
7,中国电子科技集团公司第五十二研究所,180775044.0,1.96,流通A股,2025-03-31,2025-04-19,,340254.0,27135.0
8,胡扬忠,155996477.0,1.69,"流通A股,限售流通股",2025-03-31,2025-04-19,,340254.0,27135.0
9,中央汇金资产管理有限责任公司,64700691.0,0.7,流通A股,2025-03-31,2025-04-19,,340254.0,27135.0
10,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,60460156.0,0.65,流通A股,2025-03-31,2025-04-19,,340254.0,27135.0
1,中电海康集团有限公司,3410150909.0,36.93,流通A股,2024-12-31,2025-04-19,,401004.0,23027.0
2,龚虹嘉,962504814.0,10.42,流通A股,2024-12-31,2025-04-19,,401004.0,23027.0
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.88,流通A股,2024-12-31,2025-04-19,,401004.0,23027.0
4,上海高毅资产管理合伙企业(有限合伙)－高毅邻山1号远望基金,385950050.0,4.18,流通A股,2024-12-31,2025-04-19,,401004.0,23027.0
5,中电科投资控股有限公司,245484168.0,2.66,流通A股,2024-12-31,2025-04-19,,401004.0,23027.0
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.98,流通A股,2024-12-31,2025-04-19,,401004.0,23027.0
7,中国电子科技集团公司第五十二研究所,180775044.0,1.96,流通A股,2024-12-31,2025-04-19,,401004.0,23027.0
8,胡扬忠,155996477.0,1.69,"流通A股,限售流通股",2024-12-31,2025-04-19,,401004.0,23027.0
9,中央汇金资产管理有限责任公司,64700691.0,0.7,流通A股,2024-12-31,2025-04-19,,401004.0,23027.0
10,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,63851856.0,0.69,流通A股,2024-12-31,2025-04-19,,401004.0,23027.0
1,中电海康集团有限公司,3410150909.0,36.93,流通A股,2024-12-19,2024-12-21,,,
2,龚虹嘉,962504814.0,10.42,流通A股,2024-12-19,2024-12-21,,,
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.88,流通A股,2024-12-19,2024-12-21,,,
4,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,391850000.0,4.24,流通A股,2024-12-19,2024-12-21,,,
5,中电科投资控股有限公司,245484168.0,2.66,流通A股,2024-12-19,2024-12-21,,,
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.98,流通A股,2024-12-19,2024-12-21,,,
7,中国电子科技集团公司第五十二研究所,180775044.0,1.96,流通A股,2024-12-19,2024-12-21,,,
8,胡扬忠,155996477.0,1.69,"流通A股,限售流通股",2024-12-19,2024-12-21,,,
9,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,64877856.0,0.7,流通A股,2024-12-19,2024-12-21,,,
10,中央汇金资产管理有限责任公司,64700691.0,0.7,流通A股,2024-12-19,2024-12-21,,,
1,中电海康集团有限公司,3410150909.0,36.93,流通A股,2024-12-09,2024-12-14,,,
2,龚虹嘉,962504814.0,10.42,流通A股,2024-12-09,2024-12-14,,,
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.88,流通A股,2024-12-09,2024-12-14,,,
