编号,股东名称,持股数量,持股比例,股本性质,截至日期,公告日期,股东说明,股东总数,平均持股数
4,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,393900000.0,4.27,流通A股,2024-12-09,2024-12-14,,,
5,中电科投资控股有限公司,245161568.0,2.66,流通A股,2024-12-09,2024-12-14,,,
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.98,流通A股,2024-12-09,2024-12-14,,,
7,中国电子科技集团公司第五十二研究所,180775044.0,1.96,流通A股,2024-12-09,2024-12-14,,,
8,胡扬忠,155996477.0,1.69,"流通A股,限售流通股",2024-12-09,2024-12-14,,,
9,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,66113856.0,0.72,流通A股,2024-12-09,2024-12-14,,,
10,中央汇金资产管理有限责任公司,64700691.0,0.7,流通A股,2024-12-09,2024-12-14,,,
1,中电海康集团有限公司,3410150909.0,36.93,流通A股,2024-09-30,2024-10-26,,384154.0,24037.0
2,龚虹嘉,962504814.0,10.42,流通A股,2024-09-30,2024-10-26,,384154.0,24037.0
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.88,流通A股,2024-09-30,2024-10-26,,384154.0,24037.0
4,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,412000000.0,4.46,流通A股,2024-09-30,2024-10-26,,384154.0,24037.0
5,中电科投资控股有限公司,245161568.0,2.66,流通A股,2024-09-30,2024-10-26,,384154.0,24037.0
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.98,流通A股,2024-09-30,2024-10-26,,384154.0,24037.0
7,中国电子科技集团公司第五十二研究所,180775044.0,1.96,流通A股,2024-09-30,2024-10-26,,384154.0,24037.0
8,胡扬忠,155996477.0,1.69,"流通A股,限售流通股",2024-09-30,2024-10-26,,384154.0,24037.0
9,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,71844856.0,0.78,流通A股,2024-09-30,2024-10-26,,384154.0,24037.0
10,中央汇金资产管理有限责任公司,64700691.0,0.7,流通A股,2024-09-30,2024-10-26,,384154.0,24037.0
1,中电海康集团有限公司,3410150909.0,36.55,流通A股,2024-06-30,2024-08-17,,337099.0,27678.0
2,龚虹嘉,962504814.0,10.32,流通A股,2024-06-30,2024-08-17,,337099.0,27678.0
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.83,流通A股,2024-06-30,2024-08-17,,337099.0,27678.0
4,上海高毅资产管理合伙企业(有限合伙)－高毅邻山1号远望基金,412000000.0,4.42,流通A股,2024-06-30,2024-08-17,,337099.0,27678.0
5,中电科投资控股有限公司,245161568.0,2.63,流通A股,2024-06-30,2024-08-17,,337099.0,27678.0
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.96,流通A股,2024-06-30,2024-08-17,,337099.0,27678.0
7,中国电子科技集团公司第五十二研究所,180775044.0,1.94,流通A股,2024-06-30,2024-08-17,,337099.0,27678.0
8,胡扬忠,155636477.0,1.67,"流通A股,限售流通股",2024-06-30,2024-08-17,,337099.0,27678.0
9,香港中央结算有限公司,72520937.0,0.78,流通A股,2024-06-30,2024-08-17,,337099.0,27678.0
10,中央汇金资产管理有限责任公司,64700691.0,0.69,流通A股,2024-06-30,2024-08-17,,337099.0,27678.0
1,中电海康集团有限公司,3410150909.0,36.55,流通A股,2024-03-31,2024-04-20,,356222.0,26192.0
2,龚虹嘉,962504814.0,10.32,流通A股,2024-03-31,2024-04-20,,356222.0,26192.0
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.83,流通A股,2024-03-31,2024-04-20,,356222.0,26192.0
4,上海高毅资产管理合伙企业(有限合伙)－高毅邻山1号远望基金,411000000.0,4.4,流通A股,2024-03-31,2024-04-20,,356222.0,26192.0
5,中电科投资控股有限公司,245161568.0,2.63,流通A股,2024-03-31,2024-04-20,,356222.0,26192.0
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.96,流通A股,2024-03-31,2024-04-20,,356222.0,26192.0
7,中国电子科技集团公司第五十二研究所,180775044.0,1.94,流通A股,2024-03-31,2024-04-20,,356222.0,26192.0
8,胡扬忠,155636477.0,1.67,"流通A股,限售流通股",2024-03-31,2024-04-20,,356222.0,26192.0
9,香港中央结算有限公司,73196717.0,0.78,流通A股,2024-03-31,2024-04-20,,356222.0,26192.0
10,中央汇金资产管理有限责任公司,64700691.0,0.69,流通A股,2024-03-31,2024-04-20,,356222.0,26192.0
1,中电海康集团有限公司,3403879509.0,36.48,流通A股,2023-12-31,2024-04-20,,324840.0,28724.0
2,龚虹嘉,962504814.0,10.32,流通A股,2023-12-31,2024-04-20,,324840.0,28724.0
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.83,流通A股,2023-12-31,2024-04-20,,324840.0,28724.0
4,上海高毅资产管理合伙企业(有限合伙)－高毅邻山1号远望基金,427000000.0,4.58,流通A股,2023-12-31,2024-04-20,,324840.0,28724.0
5,中电科投资控股有限公司,232307903.0,2.49,流通A股,2023-12-31,2024-04-20,,324840.0,28724.0
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.96,流通A股,2023-12-31,2024-04-20,,324840.0,28724.0
7,中国电子科技集团公司第五十二研究所,180775044.0,1.94,流通A股,2023-12-31,2024-04-20,,324840.0,28724.0
8,胡扬忠,155636477.0,1.67,"流通A股,限售流通股",2023-12-31,2024-04-20,,324840.0,28724.0
9,中央汇金资产管理有限责任公司,64700691.0,0.69,流通A股,2023-12-31,2024-04-20,,324840.0,28724.0
10,香港中央结算有限公司,53720436.0,0.58,流通A股,2023-12-31,2024-04-20,,324840.0,28724.0
1,中电海康集团有限公司,3403879509.0,36.48,流通A股,2023-09-30,2023-10-21,,354629.0,26311.0
2,龚虹嘉,962504814.0,10.32,流通A股,2023-09-30,2023-10-21,,354629.0,26311.0
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.83,流通A股,2023-09-30,2023-10-21,,354629.0,26311.0
4,上海高毅资产管理合伙企业(有限合伙)－高毅邻山1号远望基金,435000000.0,4.66,流通A股,2023-09-30,2023-10-21,,354629.0,26311.0
5,中电科投资控股有限公司,232307903.0,2.49,流通A股,2023-09-30,2023-10-21,,354629.0,26311.0
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.96,流通A股,2023-09-30,2023-10-21,,354629.0,26311.0
7,中国电子科技集团公司第五十二研究所,180775044.0,1.94,流通A股,2023-09-30,2023-10-21,,354629.0,26311.0
8,胡扬忠,155636477.0,1.67,"流通A股,限售流通股",2023-09-30,2023-10-21,,354629.0,26311.0
9,中央汇金资产管理有限责任公司,64700691.0,0.69,流通A股,2023-09-30,2023-10-21,,354629.0,26311.0
10,香港中央结算有限公司,47002201.0,0.5,流通A股,2023-09-30,2023-10-21,,354629.0,26311.0
1,中电海康集团有限公司,3403879509.0,36.35,流通A股,2023-06-30,2023-08-19,,382245.0,24498.0
2,龚虹嘉,962504814.0,10.28,流通A股,2023-06-30,2023-08-19,,382245.0,24498.0
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.81,流通A股,2023-06-30,2023-08-19,,382245.0,24498.0
4,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,432000000.0,4.61,流通A股,2023-06-30,2023-08-19,,382245.0,24498.0
5,中电科投资控股有限公司,232307903.0,2.48,流通A股,2023-06-30,2023-08-19,,382245.0,24498.0
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.95,流通A股,2023-06-30,2023-08-19,,382245.0,24498.0
7,中国电子科技集团公司第五十二研究所,180775044.0,1.93,流通A股,2023-06-30,2023-08-19,,382245.0,24498.0
8,胡扬忠,155636477.0,1.66,"流通A股,限售流通股",2023-06-30,2023-08-19,,382245.0,24498.0
9,中央汇金资产管理有限责任公司,64700691.0,0.69,流通A股,2023-06-30,2023-08-19,,382245.0,24498.0
10,香港中央结算有限公司,52015208.0,0.56,流通A股,2023-06-30,2023-08-19,,382245.0,24498.0
1,中电海康集团有限公司,3403879509.0,36.35,流通A股,2023-03-31,2023-04-15,,329519.0,28418.0
2,龚虹嘉,962504814.0,10.28,流通A股,2023-03-31,2023-04-15,,329519.0,28418.0
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.81,流通A股,2023-03-31,2023-04-15,,329519.0,28418.0
4,上海高毅资产管理合伙企业(有限合伙)－高毅邻山1号远望基金,432000000.0,4.61,流通A股,2023-03-31,2023-04-15,,329519.0,28418.0
5,中电科投资控股有限公司,232307903.0,2.48,流通A股,2023-03-31,2023-04-15,,329519.0,28418.0
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.95,流通A股,2023-03-31,2023-04-15,,329519.0,28418.0
7,中国电子科技集团公司第五十二研究所,180775044.0,1.93,流通A股,2023-03-31,2023-04-15,,329519.0,28418.0
8,胡扬忠,155246477.0,1.66,"流通A股,限售流通股",2023-03-31,2023-04-15,,329519.0,28418.0
9,中央汇金资产管理有限责任公司,64700691.0,0.69,流通A股,2023-03-31,2023-04-15,,329519.0,28418.0
10,香港中央结算有限公司,47971720.0,0.51,流通A股,2023-03-31,2023-04-15,,329519.0,28418.0
1,中电海康集团有限公司,3403879509.0,36.09,流通A股,2022-12-31,2023-04-15,,408327.0,23098.0
2,龚虹嘉,962504814.0,10.21,流通A股,2022-12-31,2023-04-15,,408327.0,23098.0
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.78,流通A股,2022-12-31,2023-04-15,,408327.0,23098.0
4,上海高毅资产管理合伙企业(有限合伙)－高毅邻山1号远望基金,432000000.0,4.58,流通A股,2022-12-31,2023-04-15,,408327.0,23098.0
5,中电科投资控股有限公司,232307903.0,2.46,流通A股,2022-12-31,2023-04-15,,408327.0,23098.0
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.94,流通A股,2022-12-31,2023-04-15,,408327.0,23098.0
7,中国电子科技集团公司第五十二研究所,180775044.0,1.92,流通A股,2022-12-31,2023-04-15,,408327.0,23098.0
8,胡扬忠,155246477.0,1.65,"流通A股,限售流通股",2022-12-31,2023-04-15,,408327.0,23098.0
9,中央汇金资产管理有限责任公司,64700691.0,0.69,流通A股,2022-12-31,2023-04-15,,408327.0,23098.0
10,香港中央结算有限公司,51463834.0,0.55,流通A股,2022-12-31,2023-04-15,,408327.0,23098.0
1,中电海康集团有限公司,3403879509.0,36.08,流通A股,2022-09-30,2022-10-29,,537996.0,17536.0
2,龚虹嘉,962504814.0,10.2,流通A股,2022-09-30,2022-10-29,,537996.0,17536.0
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.78,流通A股,2022-09-30,2022-10-29,,537996.0,17536.0
4,上海高毅资产管理合伙企业(有限合伙)－高毅邻山1号远望基金,432000000.0,4.58,流通A股,2022-09-30,2022-10-29,,537996.0,17536.0
5,中电科投资控股有限公司,232307903.0,2.46,流通A股,2022-09-30,2022-10-29,,537996.0,17536.0
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.93,流通A股,2022-09-30,2022-10-29,,537996.0,17536.0
7,中国电子科技集团公司第五十二研究所,180775044.0,1.92,流通A股,2022-09-30,2022-10-29,,537996.0,17536.0
8,胡扬忠,155246477.0,1.65,"流通A股,限售流通股",2022-09-30,2022-10-29,,537996.0,17536.0
9,中央汇金资产管理有限责任公司,64700691.0,0.69,流通A股,2022-09-30,2022-10-29,,537996.0,17536.0
10,香港中央结算有限公司,45793041.0,0.49,流通A股,2022-09-30,2022-10-29,,537996.0,17536.0
1,中电海康集团有限公司,3403879509.0,36.08,流通A股,2022-09-27,2022-09-30,,,
2,龚虹嘉,962504814.0,10.2,流通A股,2022-09-27,2022-09-30,,,
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.78,流通A股,2022-09-27,2022-09-30,,,
4,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,432000000.0,4.58,流通A股,2022-09-27,2022-09-30,,,
5,中电科投资控股有限公司,232307903.0,2.46,流通A股,2022-09-27,2022-09-30,,,
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.93,流通A股,2022-09-27,2022-09-30,,,
7,中国电子科技集团公司第五十二研究所,180775044.0,1.92,流通A股,2022-09-27,2022-09-30,,,
8,胡扬忠,155246477.0,1.65,"流通A股,限售流通股",2022-09-27,2022-09-30,,,
9,中央汇金资产管理有限责任公司,64700691.0,0.69,流通A股,2022-09-27,2022-09-30,,,
10,香港中央结算有限公司,44817383.0,0.48,流通A股,2022-09-27,2022-09-30,,,
1,中电海康集团有限公司,3403879509.0,36.08,流通A股,2022-09-15,2022-09-20,,,
2,龚虹嘉,962504814.0,10.2,流通A股,2022-09-15,2022-09-20,,,
3,杭州威讯股权投资合伙企业(有限合伙),450795176.0,4.78,流通A股,2022-09-15,2022-09-20,,,
4,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,430000000.0,4.56,流通A股,2022-09-15,2022-09-20,,,
5,中电科投资控股有限公司,232307903.0,2.46,流通A股,2022-09-15,2022-09-20,,,
6,杭州璞康股权投资合伙企业(有限合伙),182510174.0,1.93,流通A股,2022-09-15,2022-09-20,,,
7,中国电子科技集团公司第五十二研究所,180775044.0,1.92,流通A股,2022-09-15,2022-09-20,,,
8,胡扬忠,155246477.0,1.65,"流通A股,限售流通股",2022-09-15,2022-09-20,,,
9,中央汇金资产管理有限责任公司,64700691.0,0.69,流通A股,2022-09-15,2022-09-20,,,
10,香港中央结算有限公司,45530420.0,0.48,流通A股,2022-09-15,2022-09-20,,,
1,中电海康集团有限公司,3403879509.0,36.08,流通A股,2022-06-30,2022-08-13,,428282.0,22028.0
2,龚虹嘉,962504814.0,10.2,流通A股,2022-06-30,2022-08-13,,428282.0,22028.0
3,新疆威讯投资管理有限合伙企业,450795176.0,4.78,流通A股,2022-06-30,2022-08-13,,428282.0,22028.0
4,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,398000000.0,4.22,流通A股,2022-06-30,2022-08-13,,428282.0,22028.0
5,中电科投资控股有限公司,232307903.0,2.46,流通A股,2022-06-30,2022-08-13,,428282.0,22028.0
6,新疆普康投资有限合伙企业,182510174.0,1.93,流通A股,2022-06-30,2022-08-13,,428282.0,22028.0
7,中国电子科技集团公司第五十二研究所,180775044.0,1.92,流通A股,2022-06-30,2022-08-13,,428282.0,22028.0
8,胡扬忠,155246477.0,1.65,"流通A股,限售流通股",2022-06-30,2022-08-13,,428282.0,22028.0
9,中央汇金资产管理有限责任公司,64700691.0,0.69,流通A股,2022-06-30,2022-08-13,,428282.0,22028.0
10,申万宏源证券有限公司,46786112.0,0.5,流通A股,2022-06-30,2022-08-13,,428282.0,22028.0
1,中电海康集团有限公司,3403879509.0,36.08,流通A股,2022-03-31,2022-04-16,,308098.0,30621.0
2,龚虹嘉,962504814.0,10.2,流通A股,2022-03-31,2022-04-16,,308098.0,30621.0
3,新疆威讯投资管理有限合伙企业,450795176.0,4.78,流通A股,2022-03-31,2022-04-16,,308098.0,30621.0
4,中电科投资控股有限公司,232307903.0,2.46,流通A股,2022-03-31,2022-04-16,,308098.0,30621.0
5,上海高毅资产管理合伙企业(有限合伙)－高毅邻山1号远望基金,210000000.0,2.23,流通A股,2022-03-31,2022-04-16,,308098.0,30621.0
6,新疆普康投资有限合伙企业,182510174.0,1.93,流通A股,2022-03-31,2022-04-16,,308098.0,30621.0
7,中国电子科技集团公司第五十二研究所,180775044.0,1.92,流通A股,2022-03-31,2022-04-16,,308098.0,30621.0
8,胡扬忠,155246477.0,1.65,"流通A股,限售流通股",2022-03-31,2022-04-16,,308098.0,30621.0
9,中国银行股份有限公司－易方达蓝筹精选混合型证券投资基金,126000000.0,1.34,流通A股,2022-03-31,2022-04-16,,308098.0,30621.0
10,中信证券股份有限公司,88559824.0,0.94,流通A股,2022-03-31,2022-04-16,,308098.0,30621.0
1,中电海康集团有限公司,3403879509.0,36.46,流通A股,2021-12-31,2022-04-16,,276009.0,33825.0
2,龚虹嘉,962504814.0,10.31,流通A股,2021-12-31,2022-04-16,,276009.0,33825.0
3,新疆威讯投资管理有限合伙企业,450795176.0,4.83,流通A股,2021-12-31,2022-04-16,,276009.0,33825.0
4,中电科投资控股有限公司,232307903.0,2.49,流通A股,2021-12-31,2022-04-16,,276009.0,33825.0
5,上海高毅资产管理合伙企业(有限合伙)－高毅邻山1号远望基金,203800000.0,2.18,流通A股,2021-12-31,2022-04-16,,276009.0,33825.0
6,新疆普康投资有限合伙企业,182510174.0,1.95,流通A股,2021-12-31,2022-04-16,,276009.0,33825.0
7,中国电子科技集团公司第五十二研究所,180775044.0,1.94,流通A股,2021-12-31,2022-04-16,,276009.0,33825.0
8,胡扬忠,155246477.0,1.66,"流通A股,限售流通股",2021-12-31,2022-04-16,,276009.0,33825.0
9,中国银行股份有限公司－易方达蓝筹精选混合型证券投资基金,127000036.0,1.36,流通A股,2021-12-31,2022-04-16,,276009.0,33825.0
10,中信证券股份有限公司,90242182.0,0.97,流通A股,2021-12-31,2022-04-16,,276009.0,33825.0
1,中电海康集团有限公司,3403879509.0,36.46,流通A股,2021-12-24,2021-12-28,,,
2,龚虹嘉,962504814.0,10.31,流通A股,2021-12-24,2021-12-28,,,
3,新疆威讯投资管理有限合伙企业,450795176.0,4.83,流通A股,2021-12-24,2021-12-28,,,
4,中电科投资控股有限公司,232307903.0,2.49,流通A股,2021-12-24,2021-12-28,,,
5,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,215000000.0,2.3,流通A股,2021-12-24,2021-12-28,,,
6,新疆普康投资有限合伙企业,182510174.0,1.95,流通A股,2021-12-24,2021-12-28,,,
7,中国电子科技集团公司第五十二研究所,180775044.0,1.94,流通A股,2021-12-24,2021-12-28,,,
8,胡扬忠,155246477.0,1.66,"流通A股,限售流通股",2021-12-24,2021-12-28,,,
9,中国银行股份有限公司-易方达蓝筹精选混合型证券投资基金,124000000.0,1.33,流通A股,2021-12-24,2021-12-28,,,
10,申万宏源证券有限公司,90640562.0,0.97,流通A股,2021-12-24,2021-12-28,,,
11,香港中央结算有限公司,76827419.0,0.82,流通A股,2021-12-24,2021-12-28,,,
1,中电海康集团有限公司,3632897256.0,38.91,流通A股,2021-09-30,2021-10-23,,265403.0,35179.0
2,龚虹嘉,962504814.0,10.31,流通A股,2021-09-30,2021-10-23,,265403.0,35179.0
3,新疆威讯投资管理有限合伙企业,450795176.0,4.83,流通A股,2021-09-30,2021-10-23,,265403.0,35179.0
4,上海高毅资产管理合伙企业(有限合伙)－高毅邻山1号远望基金,215000000.0,2.3,流通A股,2021-09-30,2021-10-23,,265403.0,35179.0
5,新疆普康投资有限合伙企业,182510174.0,1.95,流通A股,2021-09-30,2021-10-23,,265403.0,35179.0
6,中国电子科技集团公司第五十二研究所,180775044.0,1.94,流通A股,2021-09-30,2021-10-23,,265403.0,35179.0
7,胡扬忠,155246477.0,1.66,"流通A股,限售流通股",2021-09-30,2021-10-23,,265403.0,35179.0
8,中国银行股份有限公司－易方达蓝筹精选混合型证券投资基金,124000000.0,1.33,流通A股,2021-09-30,2021-10-23,,265403.0,35179.0
9,申万宏源证券有限公司,90640562.0,0.97,流通A股,2021-09-30,2021-10-23,,265403.0,35179.0
10,香港中央结算有限公司,76827419.0,0.82,流通A股,2021-09-30,2021-10-23,,265403.0,35179.0
1,中电海康集团有限公司,3632897256.0,38.91,流通A股,2021-06-30,2021-07-24,,219924.0,42454.0
2,龚虹嘉,962504814.0,10.31,限售流通股,2021-06-30,2021-07-24,,219924.0,42454.0
3,新疆威讯投资管理有限合伙企业,450795176.0,4.83,流通A股,2021-06-30,2021-07-24,,219924.0,42454.0
4,上海高毅资产管理合伙企业(有限合伙)－高毅邻山1号远望基金,215000000.0,2.3,流通A股,2021-06-30,2021-07-24,,219924.0,42454.0
5,新疆普康投资有限合伙企业,182510174.0,1.95,流通A股,2021-06-30,2021-07-24,,219924.0,42454.0
6,中国电子科技集团公司第五十二研究所,180775044.0,1.94,流通A股,2021-06-30,2021-07-24,,219924.0,42454.0
7,胡扬忠,155246477.0,1.66,"流通A股,限售流通股",2021-06-30,2021-07-24,,219924.0,42454.0
8,香港中央结算有限公司,100546982.0,1.08,流通A股,2021-06-30,2021-07-24,,219924.0,42454.0
9,中国银行股份有限公司－易方达蓝筹精选混合型证券投资基金,90000160.0,0.96,流通A股,2021-06-30,2021-07-24,,219924.0,42454.0
10,郭敏芳,66936698.0,0.72,流通A股,2021-06-30,2021-07-24,,219924.0,42454.0
1,中电海康集团有限公司,3632897256.0,38.88,流通A股,2021-03-31,2021-04-17,,234089.0,39916.0
2,龚虹嘉,962504814.0,10.3,限售流通股,2021-03-31,2021-04-17,,234089.0,39916.0
3,新疆威讯投资管理有限合伙企业,450795176.0,4.82,流通A股,2021-03-31,2021-04-17,,234089.0,39916.0
4,上海高毅资产管理合伙企业(有限合伙)－高毅邻山1号远望基金,215000000.0,2.3,流通A股,2021-03-31,2021-04-17,,234089.0,39916.0
5,新疆普康投资有限合伙企业,182510174.0,1.95,流通A股,2021-03-31,2021-04-17,,234089.0,39916.0
6,中国电子科技集团公司第五十二研究所,180775044.0,1.93,流通A股,2021-03-31,2021-04-17,,234089.0,39916.0
7,胡扬忠,155246477.0,1.66,"流通A股,限售流通股",2021-03-31,2021-04-17,,234089.0,39916.0
8,香港中央结算有限公司,123501524.0,1.32,流通A股,2021-03-31,2021-04-17,,234089.0,39916.0
