报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2025-09-30,,152.10亿,408.45亿,-1275.71亿,1016.63亿,1174.66亿,,,6124.36亿,133.58亿,159.53亿,6417.47亿,4391.08亿,975.04亿,413.90亿,229.00亿,6009.02亿,408.45亿,,16.09亿,3.07亿,18.12亿,7276.10万,192.08亿,230.08亿,1149.33亿,22.85亿,1.83亿,331.78亿,1505.79亿,-1275.71亿,,402.22亿,1.47亿,890.09亿,199.97亿,False,1702.28亿,366.83亿,134.33亿,4.38亿,84.49亿,685.65亿,1016.63亿,2.73亿,152.10亿,1022.57亿,1174.66亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2025-06-30,,74.60亿,318.33亿,-744.96亿,496.58亿,1097.17亿,,,4025.82亿,87.18亿,114.35亿,4227.35亿,2797.59亿,644.26亿,314.94亿,152.21亿,3909.01亿,318.33亿,,4099.70万,3.07亿,13.72亿,6696.10万,176.62亿,194.50亿,805.25亿,13.32亿,1.83亿,119.06亿,939.45亿,-744.96亿,,402.22亿,1.47亿,242.95亿,99.99亿,False,915.16亿,237.62亿,4.74亿,2.50亿,76.23亿,418.58亿,496.58亿,4.65亿,74.60亿,1022.57亿,1097.17亿,,,160.39亿,12.54亿,354.86亿,22.32亿,9.54亿,4.73亿,False,-3.73亿,5.89亿,-14.24亿,-22.08亿,-4.21亿,-259.87亿,149.95亿,-100.55亿,1.76亿,318.33亿,,,1097.17亿,1022.57亿,74.60亿
2025-03-31,,139.62亿,85.81亿,-327.40亿,380.00亿,1162.19亿,,,1869.94亿,50.23亿,68.14亿,1988.31亿,1352.18亿,332.65亿,135.60亿,82.06亿,1902.50亿,85.81亿,,3465.00万,3.00亿,3.24亿,200.00万,100.90亿,107.51亿,372.76亿,6.92亿,2.84亿,52.38亿,434.90亿,-327.40亿,,402.22亿,1.47亿,41.76亿,False,False,443.98亿,32.54亿,1.77亿,False,29.66亿,63.97亿,380.00亿,1.21亿,139.62亿,1022.57亿,1162.19亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2024-12-31,,-62.55亿,1334.54亿,-1290.82亿,-102.68亿,1022.57亿,,,7743.47亿,120.74亿,283.96亿,8148.18亿,4898.66亿,1170.68亿,526.97亿,217.33亿,6813.64亿,1334.54亿,,1.29亿,4.69亿,10.68亿,777.60万,137.13亿,154.00亿,973.60亿,36.66亿,1.25亿,433.31亿,1444.82亿,-1290.82亿,,9800.00万,False,376.64亿,29.60亿,1.06亿,557.22亿,501.04亿,100.51亿,4.15亿,58.34亿,659.89亿,-102.68亿,-3.59亿,-62.55亿,1085.12亿,1022.57亿,,,415.88亿,38.72亿,595.65亿,55.14亿,18.27亿,17.59亿,False,-5.32亿,19.08亿,-22.99亿,-19.75亿,-12.04亿,-312.48亿,-148.41亿,675.60亿,4.07亿,1334.54亿,,,1022.57亿,1085.12亿,-62.55亿
2024-09-30,,-427.02亿,562.73亿,-866.51亿,-119.61亿,658.10亿,,,5015.73亿,92.10亿,132.11亿,5239.94亿,3392.94亿,835.19亿,308.82亿,140.26亿,4677.21亿,562.73亿,,1650.00万,8.38亿,5.30亿,1888.20万,77.63亿,91.66亿,695.18亿,29.81亿,False,233.18亿,958.17亿,-866.51亿,,9800.00万,9800.00万,268.34亿,29.60亿,False,298.92亿,295.37亿,99.94亿,4.15亿,23.23亿,418.53亿,-119.61亿,-3.63亿,-427.02亿,1085.12亿,658.10亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2024-06-30,,-542.85亿,141.78亿,-558.74亿,-123.58亿,542.27亿,,,2970.84亿,67.97亿,71.32亿,3110.14亿,2174.91亿,504.67亿,193.25亿,95.52亿,2968.35亿,141.78亿,,1650.00万,3.51亿,3.11亿,249.70万,4.70亿,11.65亿,472.26亿,17.53亿,False,80.60亿,570.39亿,-558.74亿,,9800.00万,9800.00万,132.61亿,False,False,133.59亿,236.88亿,3.34亿,False,16.96亿,257.17亿,-123.58亿,-2.31亿,-542.85亿,1085.12亿,542.27亿,,,141.13亿,15.31亿,283.20亿,25.84亿,7.80亿,4.47亿,False,-3.48亿,8.37亿,-12.09亿,-2.76亿,-5.21亿,-266.63亿,-158.99亿,94.15亿,2.77亿,141.78亿,,,542.27亿,1085.12亿,-542.85亿
2024-03-31,,-223.33亿,102.28亿,-272.70亿,-51.84亿,861.79亿,,,1241.57亿,36.06亿,35.19亿,1312.82亿,854.17亿,234.77亿,79.27亿,42.33亿,1210.54亿,102.28亿,,False,1.14亿,3698.70万,False,4.40亿,5.91亿,260.94亿,16.06亿,False,1.60亿,278.61亿,-272.70亿,,False,False,127.03亿,False,False,127.03亿,171.36亿,2.32亿,False,5.19亿,178.87亿,-51.84亿,-1.08亿,-223.33亿,1085.12亿,861.79亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2023-12-31,,573.29亿,1697.25亿,-1256.64亿,128.17亿,1085.12亿,,,5727.05亿,151.65亿,239.48亿,6118.18亿,3134.33亿,842.88亿,295.28亿,148.44亿,4420.93亿,1697.25亿,,False,1.92亿,4.71亿,7384.00万,222.46亿,231.05亿,1220.94亿,20.85亿,140.78亿,105.13亿,1487.69亿,-1256.64亿,,9800.00万,False,453.04亿,False,2823.30万,454.30亿,272.31亿,41.02亿,1.27亿,12.81亿,326.13亿,128.17亿,4.51亿,573.29亿,511.82亿,1085.12亿,,,313.44亿,21.88亿,391.08亿,41.74亿,2.70亿,10.54亿,False,-2.58亿,5.30亿,-16.35亿,-21.75亿,7.75亿,-76.02亿,-126.41亿,1127.37亿,2.76亿,1697.25亿,,,1085.12亿,511.82亿,573.29亿
2023-09-30,,40.84亿,978.60亿,-944.03亿,2.56亿,552.66亿,,,3964.56亿,98.90亿,165.93亿,4229.39亿,2221.80亿,614.43亿,214.25亿,200.30亿,3250.78亿,978.60亿,,False,1.90亿,3.83亿,1.75亿,210.76亿,218.25亿,1009.67亿,14.66亿,False,137.95亿,1162.28亿,-944.03亿,,False,False,224.14亿,False,2823.30万,224.42亿,167.01亿,45.73亿,1.27亿,9.12亿,221.86亿,2.56亿,3.71亿,40.84亿,511.82亿,552.66亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2023-06-30,,280.46亿,819.71亿,-585.36亿,40.50亿,792.28亿,,,2513.14亿,77.98亿,110.38亿,2701.51亿,1250.43亿,373.57亿,140.55亿,117.24亿,1881.79亿,819.71亿,,False,1.54亿,2.42亿,1.47亿,184.67亿,190.10亿,659.37亿,9.60亿,False,106.49亿,775.46亿,-585.36亿,,False,False,171.14亿,False,2823.30万,171.42亿,116.68亿,8.53亿,False,5.71亿,130.92亿,40.50亿,5.61亿,280.46亿,511.82亿,792.28亿,,,114.40亿,9.05亿,163.21亿,17.12亿,9273.30万,4.42亿,False,-8689.60万,3.42亿,-5.91亿,-15.20亿,4.72亿,-90.12亿,3.57亿,599.17亿,5.71亿,819.71亿,,,792.28亿,511.82亿,280.46亿
