报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其中：应收利息,其他应收款,存货,一年内到期的非流动资产,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,在建工程合计,其中：在建工程,工程物资,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,以公允价值计量且其变动计入当期损益的金融负债,衍生金融负债,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,长期应付款合计,其中：长期应付款,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2015-09-30,,326.19亿,1066.59亿,740.40亿,289.76亿,,,49.05亿,False,223.62亿,62.40亿,161.22亿,2.05亿,10.50亿,False,10.50亿,162.34亿,3.86亿,25.99亿,49.05亿,477.41亿,,3500.00万,18.78亿,False,False,False,297.99亿,297.99亿,110.72亿,73.81亿,36.92亿,90.09亿,6591.40万,False,10.31亿,8.90亿,589.18亿,1066.59亿,,205.11亿,False,False,259.19亿,128.05亿,131.15亿,22.76亿,False,17.82亿,4.61亿,22.91亿,1.22亿,1000.00万,21.59亿,59.92亿,1.41亿,598.06亿,,82.53亿,44.83亿,False,False,2.27亿,12.71亿,142.34亿,740.40亿,,24.76亿,102.99亿,False,-1.64亿,20.78亿,125.88亿,289.76亿,36.43亿,326.19亿,1066.59亿
2015-06-30,,294.25亿,952.58亿,658.34亿,258.39亿,,,38.77亿,False,186.83亿,38.36亿,148.47亿,1.86亿,4.23亿,False,4.23亿,132.51亿,5.25亿,23.36亿,38.77亿,392.80亿,,3500.00万,18.84亿,False,False,False,296.65亿,296.65亿,104.09亿,72.93亿,31.17亿,86.91亿,6591.40万,False,10.84亿,9.98亿,559.78亿,952.58亿,,150.08亿,False,False,261.22亿,145.57亿,115.65亿,21.17亿,False,17.28亿,5.06亿,17.89亿,1.93亿,1000.00万,15.85亿,37.38亿,2.00亿,516.17亿,,71.31亿,59.79亿,False,False,False,11.06亿,142.17亿,658.34亿,,24.76亿,102.98亿,False,-1.47亿,21.08亿,111.03亿,258.39亿,35.85亿,294.25亿,952.58亿
2015-03-31,,290.59亿,922.26亿,631.66亿,254.98亿,,,50.55亿,False,197.00亿,58.91亿,138.09亿,1.92亿,7.33亿,False,7.33亿,108.36亿,2.36亿,18.52亿,50.55亿,386.04亿,,3500.00万,14.47亿,False,False,False,295.99亿,295.99亿,92.12亿,65.89亿,26.23亿,83.99亿,6591.40万,False,10.16亿,9.39亿,536.21亿,922.26亿,,109.97亿,False,False,259.95亿,153.57亿,106.38亿,32.25亿,False,15.98亿,5.04亿,19.57亿,2.56亿,1000.00万,16.91亿,68.26亿,1.39亿,516.91亿,,73.76亿,29.92亿,False,False,False,11.07亿,114.75亿,631.66亿,,24.76亿,102.97亿,False,-1.42亿,21.08亿,107.59亿,254.98亿,35.61亿,290.59亿,922.26亿
2014-12-31,,288.94亿,940.09亿,651.14亿,253.66亿,,,44.53亿,False,231.04亿,93.52亿,137.52亿,3.39亿,5.63亿,False,5.63亿,99.78亿,3.08亿,19.88亿,44.53亿,407.33亿,,3500.00万,14.14亿,False,False,False,300.15亿,300.15亿,87.35亿,63.65亿,23.71亿,86.11亿,6591.40万,False,9.65亿,8.74亿,532.76亿,940.09亿,,126.76亿,False,False,259.37亿,146.13亿,113.23亿,36.47亿,False,14.71亿,4.28亿,18.09亿,1.76亿,1000.00万,16.24亿,64.96亿,1.49亿,530.22亿,,79.88亿,29.91亿,False,False,False,11.13亿,120.92亿,651.14亿,,24.76亿,102.96亿,False,-1.54亿,21.08亿,106.39亿,253.66亿,35.29亿,288.94亿,940.09亿
2014-09-30,,286.95亿,893.06亿,606.11亿,253.33亿,,,60.70亿,False,192.81亿,64.99亿,127.82亿,2.90亿,7.56亿,False,7.56亿,98.88亿,1.23亿,19.96亿,60.70亿,384.03亿,,3500.00万,14.92亿,False,False,False,287.19亿,287.19亿,82.18亿,63.47亿,18.71亿,78.32亿,6591.40万,False,9.39亿,8.56亿,509.03亿,893.06亿,,133.68亿,False,False,223.64亿,131.72亿,91.92亿,25.42亿,False,14.08亿,2.51亿,16.11亿,1.06亿,1000.00万,14.95亿,63.47亿,1.52亿,484.67亿,,81.53亿,29.90亿,41.40万,41.40万,False,10.00亿,121.44亿,606.11亿,,24.76亿,102.63亿,False,-1.42亿,19.65亿,107.71亿,253.33亿,33.62亿,286.95亿,893.06亿
2014-06-30,,286.53亿,866.79亿,580.26亿,253.36亿,,,87.98亿,False,162.94亿,42.34亿,120.60亿,3.99亿,4.27亿,False,4.27亿,91.15亿,1.23亿,19.92亿,87.98亿,371.48亿,,3500.00万,13.62亿,False,False,False,282.61亿,282.61亿,77.35亿,64.58亿,12.77亿,79.35亿,6591.40万,False,9.24亿,8.44亿,495.31亿,866.79亿,,130.12亿,False,False,214.55亿,121.02亿,93.53亿,15.80亿,False,13.40亿,3.01亿,15.89亿,1.92亿,1.56亿,12.41亿,57.00亿,1.51亿,455.35亿,,84.52亿,29.90亿,142.70万,142.70万,False,10.49亿,124.92亿,580.26亿,,24.76亿,102.62亿,False,False,19.65亿,107.44亿,253.36亿,33.17亿,286.53亿,866.79亿
2014-03-31,,249.51亿,772.26亿,522.75亿,217.26亿,,,49.79亿,False,134.80亿,45.95亿,88.86亿,4.56亿,4.75亿,False,4.75亿,83.63亿,1.10亿,6.11亿,49.79亿,284.74亿,,409.90万,13.71亿,False,False,False,282.77亿,282.77亿,73.50亿,56.75亿,16.75亿,78.81亿,6591.40万,False,8.89亿,7.98亿,487.52亿,772.26亿,,113.69亿,False,False,198.96亿,123.40亿,75.57亿,18.60亿,False,12.77亿,-11.38亿,14.58亿,2.62亿,1000.00万,11.86亿,28.73亿,1.54亿,380.92亿,,43.29亿,59.69亿,27.54亿,27.54亿,False,11.31亿,141.83亿,522.75亿,,23.54亿,70.45亿,False,False,19.65亿,105.20亿,217.26亿,32.25亿,249.51亿,772.26亿
2013-12-31,,248.56亿,780.15亿,531.58亿,217.10亿,,,53.79亿,False,132.75亿,55.88亿,76.87亿,3.26亿,3.76亿,False,3.76亿,82.21亿,1.10亿,21.77亿,53.79亿,298.65亿,,948.70万,10.84亿,False,False,False,281.39亿,281.39亿,74.72亿,60.08亿,14.64亿,74.54亿,6591.40万,False,9.00亿,7.87亿,481.50亿,780.15亿,,124.02亿,False,False,222.93亿,130.34亿,92.59亿,12.72亿,False,12.85亿,4.00亿,14.19亿,1.66亿,1000.00万,12.43亿,37.71亿,2.03亿,433.44亿,,26.85亿,59.67亿,False,False,False,11.62亿,98.14亿,531.58亿,,23.54亿,70.38亿,False,-1.58亿,19.65亿,105.11亿,217.10亿,31.47亿,248.56亿,780.15亿
2013-09-30,,247.00亿,756.11亿,509.11亿,216.18亿,,,64.85亿,False,112.06亿,37.75亿,74.32亿,4.18亿,7.40亿,False,7.40亿,88.65亿,9234.00万,5.61亿,64.85亿,283.68亿,,296.50万,10.33亿,False,False,False,270.01亿,270.01亿,83.33亿,69.25亿,14.08亿,65.53亿,6591.40万,False,8.15亿,9.14亿,472.43亿,756.11亿,,125.84亿,False,False,216.19亿,134.20亿,82.00亿,15.65亿,False,13.07亿,-11.14亿,12.04亿,8993.60万,1000.00万,11.04亿,37.08亿,1.71亿,413.29亿,,24.28亿,59.65亿,False,False,False,11.89亿,95.82亿,509.11亿,,23.54亿,70.40亿,False,False,18.20亿,105.69亿,216.18亿,30.82亿,247.00亿,756.11亿
2013-06-30,,246.31亿,719.96亿,473.65亿,215.93亿,,,48.93亿,False,106.49亿,38.79亿,67.70亿,4.10亿,3.66亿,False,3.66亿,85.93亿,9234.00万,6.24亿,48.93亿,256.28亿,,240.50万,9.07亿,False,False,False,268.30亿,268.30亿,82.75亿,69.66亿,13.09亿,66.51亿,6591.40万,False,8.25亿,7.65亿,463.68亿,719.96亿,,107.92亿,False,False,223.55亿,133.98亿,89.57亿,15.24亿,False,13.08亿,-11.17亿,11.96亿,2791.70万,1000.00万,11.58亿,47.65亿,1.81亿,412.79亿,,18.82亿,29.75亿,False,False,False,12.29亿,60.86亿,473.65亿,,23.54亿,70.20亿,False,False,18.20亿,105.50亿,215.93亿,30.39亿,246.31亿,719.96亿
2013-03-31,,243.33亿,693.39亿,450.06亿,213.33亿,,,38.55亿,False,100.67亿,43.17亿,57.50亿,5.23亿,2.39亿,False,2.39亿,79.63亿,7750.00万,False,38.55亿,227.24亿,,266.20万,9.44亿,False,False,False,261.98亿,261.98亿,87.61亿,73.67亿,13.94亿,64.15亿,6591.40万,False,8.50亿,13.97亿,466.14亿,693.39亿,,94.37亿,False,False,202.71亿,117.61亿,85.10亿,9.86亿,False,12.93亿,-8.52亿,12.09亿,1.58亿,1000.00万,10.41亿,34.00亿,10.85亿,370.97亿,,26.05亿,39.70亿,False,False,False,13.34亿,79.09亿,450.06亿,,23.54亿,70.20亿,False,False,18.20亿,102.39亿,213.33亿,30.00亿,243.33亿,693.39亿
2012-12-31,,241.44亿,687.10亿,445.66亿,211.97亿,,,36.84亿,False,99.92亿,37.31亿,62.60亿,5.28亿,3.06亿,False,3.06亿,73.45亿,7750.00万,False,36.84亿,219.32亿,,298.50万,9.49亿,False,False,False,257.77亿,257.77亿,92.79亿,78.83亿,13.96亿,62.95亿,6591.40万,False,7.86亿,18.84亿,467.78亿,687.10亿,,84.18亿,False,False,189.52亿,102.38亿,87.14亿,27.39亿,False,12.94亿,-8.74亿,12.05亿,1.11亿,1000.00万,10.85亿,28.70亿,10.99亿,359.31亿,,33.73亿,39.68亿,False,False,False,12.94亿,86.35亿,445.66亿,,23.54亿,70.16亿,False,False,18.20亿,101.28亿,211.97亿,29.47亿,241.44亿,687.10亿
2012-09-30,,240.92亿,676.09亿,435.17亿,211.55亿,,,40.81亿,False,94.33亿,35.22亿,59.11亿,5.14亿,3.16亿,False,3.16亿,72.82亿,1600.00万,False,40.81亿,216.42亿,,269.50万,7.41亿,False,False,False,245.80亿,245.80亿,103.79亿,85.07亿,18.72亿,57.33亿,6591.40万,False,6.57亿,16.84亿,459.66亿,676.09亿,,85.10亿,False,False,178.02亿,113.84亿,64.18亿,22.74亿,False,11.21亿,-9.41亿,15.30亿,6801.20万,1000.00万,14.52亿,29.95亿,8.39亿,343.30亿,,40.89亿,39.66亿,False,False,False,11.32亿,91.87亿,435.17亿,,23.54亿,70.14亿,False,False,17.17亿,101.86亿,211.55亿,29.37亿,240.92亿,676.09亿
2012-06-30,,240.02亿,669.03亿,429.01亿,211.10亿,,,51.02亿,False,82.53亿,31.12亿,51.42亿,5.46亿,3.51亿,False,3.51亿,72.05亿,3850.00万,False,51.02亿,214.97亿,,329.50万,5.55亿,False,False,False,240.52亿,240.52亿,110.51亿,92.26亿,18.24亿,53.12亿,6591.40万,269.80万,6.48亿,16.19亿,454.06亿,669.03亿,,68.18亿,False,False,196.21亿,125.42亿,70.78亿,14.20亿,False,11.61亿,-10.73亿,14.58亿,2126.30万,5128.00万,13.85亿,18.96亿,8.30亿,323.99亿,,53.63亿,39.64亿,False,False,False,11.75亿,105.02亿,429.01亿,,23.54亿,69.99亿,False,False,17.17亿,101.83亿,211.10亿,28.92亿,240.02亿,669.03亿
2012-03-31,,240.46亿,662.98亿,422.51亿,211.56亿,,,47.73亿,False,85.26亿,39.06亿,46.19亿,5.63亿,3.34亿,False,3.26亿,72.12亿,3550.00万,False,47.73亿,214.43亿,,369.70万,5.65亿,False,False,False,222.27亿,222.27亿,128.97亿,107.46亿,21.51亿,53.09亿,6591.40万,1079.20万,5.75亿,14.84亿,448.55亿,662.98亿,,86.45亿,False,False,192.08亿,112.65亿,79.43亿,16.80亿,False,13.05亿,-8.57亿,16.51亿,2434.00万,1000.00万,16.16亿,16.55亿,6.24亿,342.65亿,,58.25亿,9.95亿,False,False,False,11.67亿,79.86亿,422.51亿,,23.54亿,69.98亿,False,False,17.17亿,101.95亿,211.56亿,28.91亿,240.46亿,662.98亿
2011-12-31,,239.80亿,656.24亿,416.44亿,211.25亿,,,40.48亿,False,98.07亿,43.19亿,54.88亿,5.99亿,3.42亿,False,3.34亿,65.96亿,3250.00万,False,40.48亿,214.24亿,,1519.20万,5.72亿,False,False,False,215.33亿,215.33亿,134.99亿,91.91亿,43.08亿,53.25亿,6591.40万,1888.50万,5.86亿,11.71亿,442.00亿,656.24亿,,100.11亿,False,False,172.36亿,84.04亿,88.32亿,18.71亿,False,12.82亿,-8.02亿,16.53亿,1415.10万,1000.00万,16.29亿,13.31亿,4.51亿,333.71亿,,60.85亿,9.94亿,False,False,False,11.94亿,82.73亿,416.44亿,,23.54亿,70.08亿,False,False,17.17亿,101.69亿,211.25亿,28.56亿,239.80亿,656.24亿
2011-09-30,,229.44亿,626.21亿,396.78亿,201.22亿,,,35.63亿,False,76.13亿,24.79亿,51.34亿,7.12亿,7.84亿,False,7.76亿,71.64亿,False,False,35.63亿,198.36亿,,1573.20万,5.39亿,False,False,False,211.60亿,211.60亿,131.52亿,108.23亿,23.29亿,44.78亿,6591.40万,2697.90万,4.45亿,14.39亿,427.86亿,626.21亿,,97.71亿,False,False,158.22亿,83.08亿,75.15亿,20.81亿,False,11.54亿,-11.07亿,13.04亿,1953.30万,False,12.85亿,9.54亿,7.92亿,310.16亿,,67.18亿,9.94亿,False,False,False,9.50亿,86.61亿,396.78亿,,23.54亿,70.17亿,False,False,14.57亿,93.98亿,201.22亿,28.22亿,229.44亿,626.21亿
2011-06-30,,228.92亿,611.31亿,382.39亿,200.85亿,,,48.36亿,False,66.23亿,15.78亿,50.45亿,7.81亿,3.78亿,False,3.70亿,73.32亿,False,False,48.36亿,199.50亿,,False,4.32亿,False,False,False,212.19亿,212.19亿,120.28亿,73.94亿,46.33亿,45.72亿,6591.40万,3507.30万,4.14亿,13.59亿,411.81亿,611.31亿,,89.72亿,False,False,168.01亿,93.03亿,74.98亿,17.12亿,False,10.79亿,-12.05亿,12.19亿,775.00万,False,12.11亿,15.71亿,9.65亿,313.78亿,,49.02亿,9.93亿,False,False,False,9.67亿,68.62亿,382.39亿,,23.54亿,70.00亿,False,False,14.57亿,93.22亿,200.85亿,28.07亿,228.92亿,611.31亿
2011-03-31,,214.56亿,572.86亿,358.30亿,187.13亿,,,40.57亿,False,74.54亿,27.87亿,46.67亿,6.65亿,2.74亿,False,2.62亿,64.29亿,False,False,40.57亿,188.79亿,,False,2.72亿,False,False,False,190.20亿,190.20亿,121.70亿,83.40亿,38.30亿,49.27亿,6591.40万,4316.70万,3.90亿,4.34亿,384.07亿,572.86亿,,103.57亿,False,False,135.90亿,58.44亿,77.46亿,23.79亿,False,10.54亿,-7.09亿,11.43亿,False,33.00万,11.43亿,14.01亿,9.36亿,304.59亿,,44.12亿,False,False,False,False,9.59亿,53.71亿,358.30亿,,22.75亿,57.24亿,False,False,14.57亿,93.14亿,187.13亿,27.43亿,214.56亿,572.86亿
2010-12-31,,211.51亿,529.63亿,318.12亿,184.60亿,,,19.93亿,False,81.53亿,27.56亿,53.97亿,6.10亿,2.59亿,False,2.38亿,65.38亿,False,False,19.93亿,175.53亿,,False,5916.00万,False,False,False,174.76亿,174.76亿,112.40亿,74.01亿,38.38亿,48.97亿,6591.40万,5126.00万,3.71亿,4.49亿,354.11亿,529.63亿,,97.96亿,False,False,110.33亿,39.73亿,70.61亿,28.65亿,False,10.03亿,-6.06亿,12.47亿,False,33.00万,12.47亿,12.07亿,9.01亿,277.64亿,,30.49亿,False,False,False,False,9.99亿,40.48亿,318.12亿,,22.75亿,57.23亿,False,False,14.57亿,90.49亿,184.60亿,26.91亿,211.51亿,529.63亿
2009-12-31,,190.27亿,404.46亿,214.19亿,166.82亿,,,23.45亿,100.00万,97.83亿,57.16亿,40.67亿,2.11亿,1.08亿,False,9213.50万,44.05亿,False,False,23.46亿,168.52亿,,False,2986.00万,False,False,192.70万,143.18亿,143.18亿,58.80亿,45.81亿,13.00亿,21.17亿,5860.30万,8363.50万,1.86亿,5.70亿,235.94亿,404.46亿,,2.84亿,9.40万,False,115.21亿,35.77亿,79.44亿,33.40亿,False,7.38亿,1.72亿,7.34亿,False,34.40万,7.34亿,2.63亿,7.85亿,180.88亿,,31.07亿,False,False,False,False,2.25亿,33.31亿,214.19亿,,22.75亿,57.18亿,False,False,11.44亿,75.94亿,166.82亿,23.45亿,190.27亿,404.46亿
2008-12-31,,133.37亿,325.32亿,191.94亿,112.86亿,,,17.04亿,False,55.58亿,28.95亿,26.63亿,2.28亿,8915.40万,False,8685.80万,69.13亿,False,False,17.04亿,144.92亿,,False,2667.70万,False,False,198.50万,115.32亿,115.32亿,39.80亿,31.78亿,8.02亿,20.19亿,5860.30万,False,1.65亿,False,180.40亿,325.32亿,,41.34亿,False,False,68.48亿,26.82亿,41.66亿,12.71亿,False,5.91亿,-1.66亿,6.47亿,False,33.00万,6.47亿,2.37亿,3.81亿,140.36亿,,47.92亿,False,False,False,False,3.67亿,51.59亿,191.94亿,,20.50亿,43.63亿,False,False,5.76亿,43.69亿,112.86亿,20.52亿,133.37亿,325.32亿
