报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其中：应收利息,其他应收款,存货,一年内到期的非流动资产,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,在建工程合计,其中：在建工程,工程物资,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,以公允价值计量且其变动计入当期损益的金融负债,衍生金融负债,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,长期应付款合计,其中：长期应付款,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2020-03-31,,627.61亿,1913.63亿,1286.03亿,567.15亿,,,126.41亿,9456.50万,395.42亿,False,395.42亿,5.27亿,11.10亿,False,False,268.29亿,11.65亿,74.35亿,127.36亿,1015.28亿,,False,48.67亿,19.26亿,3889.30万,9623.00万,487.99亿,False,115.50亿,False,False,126.51亿,6591.40万,1.16亿,14.77亿,3.17亿,898.35亿,1913.63亿,,384.67亿,4458.10万,False,316.56亿,136.65亿,179.91亿,130.00万,48.71亿,38.62亿,5.84亿,60.64亿,6.30亿,1000.00万,False,85.38亿,52.05亿,1009.75亿,,145.34亿,99.70亿,False,False,1.06亿,24.59亿,276.27亿,1286.03亿,,27.28亿,245.31亿,False,-1.24亿,40.99亿,210.86亿,567.15亿,60.46亿,627.61亿,1913.63亿
2019-12-31,,626.01亿,1956.42亿,1330.40亿,567.62亿,,,126.50亿,3434.50万,439.34亿,False,439.34亿,3.63亿,15.61亿,False,15.61亿,255.72亿,10.61亿,77.96亿,126.84亿,1069.67亿,,False,40.60亿,19.22亿,4660.80万,9690.20万,494.43亿,494.43亿,106.75亿,57.21亿,49.54亿,126.50亿,6591.40万,1.32亿,15.15亿,3.49亿,886.75亿,1956.42亿,,403.32亿,3430.70万,False,361.68亿,136.48亿,225.21亿,200.00万,45.02亿,37.83亿,6.14亿,68.21亿,5.60亿,1000.00万,62.51亿,87.47亿,52.01亿,1080.29亿,,119.48亿,99.69亿,False,False,1.03亿,24.43亿,250.11亿,1330.40亿,,27.28亿,245.31亿,False,-4665.90万,40.99亿,210.56亿,567.62亿,58.39亿,626.01亿,1956.42亿
2019-09-30,,624.73亿,1982.26亿,1357.52亿,568.22亿,,,109.35亿,5445.90万,480.14亿,False,480.14亿,2.89亿,10.90亿,False,False,275.41亿,8.60亿,91.66亿,109.89亿,1116.21亿,,False,38.23亿,20.09亿,9473.00万,9757.30万,468.06亿,False,119.98亿,False,False,127.29亿,6591.40万,1.54亿,15.24亿,1.67亿,866.04亿,1982.26亿,,430.01亿,6576.00万,False,345.63亿,137.47亿,208.16亿,150.00万,44.45亿,41.48亿,5.74亿,64.18亿,4.31亿,1000.00万,False,66.87亿,71.96亿,1090.86亿,,129.61亿,99.67亿,False,False,1.07亿,33.04亿,266.66亿,1357.52亿,,27.28亿,245.32亿,False,-1199.90万,38.42亿,213.27亿,568.22亿,56.52亿,624.73亿,1982.26亿
2019-06-30,,622.29亿,1999.24亿,1376.95亿,566.89亿,,,111.23亿,1438.70万,511.14亿,False,511.14亿,3.00亿,12.11亿,False,11.98亿,280.48亿,23.68亿,94.81亿,111.38亿,1142.13亿,,False,38.19亿,19.15亿,9557.40万,9826.50万,451.96亿,451.96亿,120.85亿,64.00亿,56.85亿,121.91亿,6591.40万,1.66亿,16.10亿,3.48亿,857.11亿,1999.24亿,,456.47亿,2176.50万,False,366.18亿,184.60亿,181.58亿,250.00万,30.59亿,39.22亿,6.49亿,79.41亿,3.79亿,7.17亿,68.45亿,60.28亿,59.98亿,1119.50亿,,120.54亿,90.70亿,False,False,8661.50万,41.72亿,257.45亿,1376.95亿,,27.28亿,245.16亿,False,-5201.90万,38.42亿,212.60亿,566.89亿,55.40亿,622.29亿,1999.24亿
2019-03-31,,621.46亿,1988.26亿,1366.80亿,565.11亿,,,139.23亿,711.90万,454.71亿,False,454.71亿,2.98亿,12.80亿,False,False,287.14亿,30.22亿,139.59亿,139.30亿,1159.86亿,,False,37.23亿,24.31亿,9511.80万,9893.60万,439.63亿,False,111.07亿,False,False,119.49亿,6591.40万,1.74亿,15.29亿,1.55亿,828.40亿,1988.26亿,,435.27亿,1827.80万,False,419.30亿,False,False,250.00万,25.58亿,40.62亿,5.38亿,85.57亿,4.91亿,1000.00万,False,38.24亿,68.79亿,1138.87亿,,83.21亿,95.69亿,False,False,2.57亿,40.98亿,227.93亿,1366.80亿,,27.28亿,245.15亿,False,3.63亿,38.42亿,211.65亿,565.11亿,56.35亿,621.46亿,1988.26亿
2018-12-31,,606.94亿,1945.71亿,1338.77亿,551.98亿,,,130.52亿,45.10万,492.84亿,False,492.84亿,3.59亿,10.10亿,False,10.10亿,263.30亿,27.30亿,83.71亿,130.53亿,1152.11亿,,False,35.61亿,16.21亿,8350.90万,9006.60万,436.79亿,436.79亿,96.84亿,56.39亿,40.45亿,113.14亿,6591.40万,1.67亿,13.88亿,1.88亿,793.61亿,1945.71亿,,377.89亿,855.90万,False,462.83亿,211.41亿,251.42亿,230.00万,34.69亿,38.56亿,10.81亿,86.31亿,3.90亿,1000.00万,82.31亿,74.83亿,61.12亿,1165.69亿,,68.48亿,70.77亿,False,False,6630.80万,33.17亿,173.08亿,1338.77亿,,27.28亿,245.24亿,False,-2.91亿,38.42亿,204.98亿,551.98亿,54.96亿,606.94亿,1945.71亿
2018-09-30,,598.45亿,1921.08亿,1322.63亿,544.79亿,,,141.03亿,220.30万,605.86亿,59.84亿,546.02亿,3.54亿,9.25亿,False,False,281.67亿,18.25亿,86.41亿,141.05亿,1146.02亿,,False,35.83亿,20.10亿,6.08亿,9069.00万,430.63亿,430.63亿,90.77亿,90.77亿,False,108.20亿,6591.40万,1.46亿,16.33亿,1.79亿,775.06亿,1921.08亿,,412.62亿,7458.80万,False,452.82亿,False,False,False,54.02亿,38.02亿,5.34亿,60.23亿,False,False,False,90.04亿,63.03亿,1194.73亿,,49.53亿,60.79亿,False,False,9613.70万,16.62亿,127.91亿,1322.63亿,,27.28亿,244.86亿,False,1326.20万,33.98亿,199.57亿,544.79亿,53.66亿,598.45亿,1921.08亿
2018-06-30,,593.67亿,1912.97亿,1319.30亿,542.25亿,,,104.27亿,128.50万,618.27亿,False,False,3.26亿,9.80亿,False,9.80亿,249.89亿,18.16亿,115.63亿,104.29亿,1119.30亿,,False,33.81亿,29.56亿,5.94亿,7047.10万,452.63亿,452.63亿,83.20亿,83.20亿,False,104.24亿,6591.40万,9519.80万,18.31亿,1.98亿,793.67亿,1912.97亿,,401.47亿,1.33亿,False,393.34亿,False,False,False,68.25亿,34.79亿,4.89亿,75.52亿,False,False,75.52亿,139.66亿,54.96亿,1190.67亿,,62.81亿,44.84亿,False,False,4.10亿,16.87亿,128.63亿,1319.30亿,,27.28亿,244.86亿,False,7.55亿,33.98亿,189.61亿,542.25亿,51.42亿,593.67亿,1912.97亿
2018-03-31,,601.51亿,1820.96亿,1219.45亿,550.37亿,,,81.42亿,312.10万,563.97亿,41.02亿,522.95亿,6.05亿,8.39亿,False,8.39亿,247.62亿,12.26亿,126.46亿,81.45亿,1046.20亿,,False,32.48亿,False,False,6624.00万,442.05亿,442.05亿,81.81亿,46.88亿,34.93亿,99.36亿,8839.40万,8646.30万,16.86亿,1.52亿,774.76亿,1820.96亿,,374.61亿,1.60亿,False,389.84亿,173.36亿,216.48亿,58.72亿,False,32.20亿,5.04亿,72.40亿,2.96亿,1000.00万,69.34亿,140.39亿,26.74亿,1117.11亿,,64.58亿,14.95亿,False,False,5.58亿,17.22亿,102.34亿,1219.45亿,,27.28亿,244.74亿,False,-1.20亿,35.49亿,205.10亿,550.37亿,51.14亿,601.51亿,1820.96亿
2017-12-31,,599.57亿,1780.99亿,1181.42亿,550.04亿,,,99.03亿,109.50万,588.54亿,69.73亿,518.81亿,8.49亿,8.25亿,False,8.25亿,198.73亿,12.90亿,110.90亿,99.04亿,1026.84亿,,41.85亿,30.65亿,False,False,6670.70万,432.45亿,432.45亿,77.36亿,45.13亿,32.23亿,100.98亿,6591.40万,7304.70万,15.80亿,1.49亿,754.15亿,1780.99亿,,357.75亿,1.19亿,False,402.74亿,169.54亿,233.20亿,47.00亿,False,31.80亿,9.51亿,81.37亿,1.75亿,1000.00万,79.52亿,98.74亿,5.15亿,1049.97亿,,63.69亿,44.93亿,False,False,6.10亿,16.73亿,131.45亿,1181.42亿,,27.28亿,244.74亿,False,12.60亿,34.10亿,192.36亿,550.04亿,49.53亿,599.57亿,1780.99亿
2017-09-30,,588.76亿,1647.28亿,1058.52亿,541.03亿,,,87.80亿,False,572.61亿,55.84亿,516.77亿,3.81亿,5.58亿,False,5.58亿,201.32亿,6.96亿,40.89亿,87.80亿,918.97亿,,41.61亿,29.61亿,False,False,4625.00万,410.92亿,410.92亿,83.15亿,47.85亿,35.31亿,92.02亿,6591.40万,False,14.73亿,11.05亿,728.31亿,1647.28亿,,352.96亿,226.20万,False,364.92亿,148.36亿,216.56亿,23.44亿,False,29.20亿,7.45亿,25.64亿,9954.70万,1000.00万,24.54亿,86.70亿,9.34亿,913.79亿,,78.09亿,44.92亿,False,False,7.11亿,14.61亿,144.73亿,1058.52亿,,27.28亿,244.74亿,False,15.81亿,30.72亿,183.52亿,541.03亿,47.72亿,588.76亿,1647.28亿
2017-06-30,,571.69亿,1537.35亿,965.66亿,526.24亿,,,87.01亿,False,507.14亿,41.83亿,465.30亿,2.64亿,5.50亿,False,5.50亿,181.44亿,6.75亿,40.77亿,87.01亿,831.26亿,,36.75亿,24.77亿,False,False,3592.70万,397.00亿,397.00亿,87.25亿,48.08亿,39.17亿,92.34亿,6591.40万,False,14.84亿,11.03亿,706.09亿,1537.35亿,,340.32亿,147.20万,False,295.73亿,134.85亿,160.88亿,18.66亿,False,26.44亿,5.73亿,32.45亿,2.52亿,5.49亿,24.44亿,45.33亿,2.48亿,780.66亿,,73.16亿,89.85亿,False,False,6.03亿,15.95亿,185.00亿,965.66亿,,27.28亿,244.74亿,False,12.13亿,30.72亿,173.41亿,526.24亿,45.45亿,571.69亿,1537.35亿
2017-03-31,,563.33亿,1463.26亿,899.93亿,520.01亿,,,90.98亿,False,456.72亿,43.99亿,412.72亿,3.07亿,5.95亿,False,5.95亿,171.02亿,5.03亿,43.15亿,90.98亿,775.91亿,,35.08亿,24.98亿,False,False,False,382.14亿,382.14亿,91.88亿,48.80亿,43.08亿,89.90亿,6591.40万,False,13.70亿,9.29亿,687.35亿,1463.26亿,,279.77亿,46.00万,False,292.03亿,150.54亿,141.49亿,13.82亿,False,24.45亿,5.66亿,25.93亿,3.14亿,1000.00万,22.69亿,73.95亿,3.94亿,732.87亿,,71.92亿,74.92亿,False,False,6.06亿,14.17亿,167.06亿,899.93亿,,27.28亿,244.73亿,False,11.66亿,30.72亿,167.66亿,520.01亿,43.32亿,563.33亿,1463.26亿
2016-12-31,,554.09亿,1450.71亿,896.61亿,512.56亿,,,76.94亿,False,481.30亿,63.62亿,417.68亿,2.06亿,5.63亿,False,5.63亿,173.78亿,4.82亿,37.86亿,76.94亿,782.40亿,,32.25亿,22.45亿,False,False,False,374.83亿,374.83亿,89.57亿,45.65亿,43.92亿,89.46亿,6591.40万,False,14.48亿,10.97亿,668.31亿,1450.71亿,,250.10亿,False,False,352.44亿,157.42亿,195.01亿,18.51亿,False,29.79亿,10.75亿,25.26亿,1.94亿,1000.00万,23.22亿,79.19亿,4.23亿,783.18亿,,48.48亿,44.91亿,False,False,5.50亿,14.55亿,113.44亿,896.61亿,,27.28亿,244.72亿,False,9.50亿,30.72亿,162.38亿,512.56亿,41.53亿,554.09亿,1450.71亿
2016-09-30,,546.32亿,1339.24亿,792.93亿,505.68亿,,,75.89亿,222.00万,405.67亿,65.82亿,339.85亿,3.44亿,4.77亿,False,4.77亿,177.93亿,4.31亿,32.13亿,75.91亿,704.15亿,,27.74亿,18.30亿,False,False,False,354.31亿,354.31亿,92.00亿,47.55亿,44.45亿,90.54亿,6591.40万,False,12.13亿,14.01亿,635.10亿,1339.24亿,,191.70亿,False,False,321.97亿,140.49亿,181.48亿,15.89亿,False,22.53亿,8.28亿,20.19亿,8920.90万,1000.00万,19.19亿,72.88亿,1.96亿,666.32亿,,60.91亿,44.90亿,False,False,4.49亿,16.32亿,126.60亿,792.93亿,,27.28亿,244.50亿,False,6.06亿,23.84亿,166.04亿,505.68亿,40.64亿,546.32亿,1339.24亿
2016-06-30,,387.87亿,1217.35亿,829.48亿,348.29亿,,,54.69亿,504.50万,334.79亿,58.09亿,276.70亿,2.66亿,3.84亿,False,3.84亿,160.44亿,4.42亿,27.62亿,54.74亿,588.51亿,,27.76亿,18.04亿,False,False,False,349.72亿,349.72亿,91.66亿,54.79亿,36.87亿,89.50亿,6591.40万,False,11.28亿,9.45亿,628.84亿,1217.35亿,,252.77亿,False,False,291.25亿,138.67亿,152.58亿,16.30亿,False,20.06亿,5.05亿,21.49亿,2.51亿,1000.00万,18.88亿,112.98亿,1.99亿,732.20亿,,61.92亿,14.95亿,False,False,4.65亿,15.76亿,97.28亿,829.48亿,,24.76亿,103.13亿,False,5.97亿,23.84亿,152.64亿,348.29亿,39.58亿,387.87亿,1217.35亿
2016-03-31,,368.83亿,1122.06亿,753.22亿,331.01亿,,,39.10亿,False,266.25亿,39.54亿,226.71亿,3.41亿,3.99亿,False,3.99亿,164.90亿,6.07亿,26.93亿,39.10亿,510.66亿,,22.90亿,18.14亿,False,False,False,325.53亿,325.53亿,101.51亿,59.47亿,42.04亿,90.74亿,6591.40万,False,10.75亿,11.78亿,611.39亿,1122.06亿,,213.44亿,153.40万,False,277.17亿,142.34亿,134.83亿,19.86亿,False,18.40亿,3.97亿,19.45亿,2.99亿,1000.00万,16.37亿,71.17亿,1.59亿,632.29亿,,55.91亿,44.86亿,False,False,3.57亿,16.59亿,120.94亿,753.22亿,,24.76亿,103.12亿,False,2.28亿,23.84亿,139.05亿,331.01亿,37.83亿,368.83亿,1122.06亿
2015-12-31,,360.29亿,1154.86亿,794.57亿,322.94亿,,,65.96亿,1820.70万,283.18亿,67.99亿,215.19亿,2.27亿,5.09亿,False,5.09亿,157.51亿,5.00亿,24.92亿,66.15亿,544.12亿,,30.71亿,18.89亿,False,False,False,323.69亿,323.69亿,94.88亿,57.58亿,37.30亿,87.90亿,6591.40万,False,10.80亿,11.80亿,610.74亿,1154.86亿,,199.44亿,False,False,314.79亿,128.97亿,185.82亿,24.38亿,False,21.18亿,6.41亿,20.76亿,1.93亿,1000.00万,18.73亿,64.69亿,1.66亿,661.10亿,,67.46亿,44.84亿,False,False,5.68亿,15.48亿,133.46亿,794.57亿,,24.76亿,103.12亿,False,8.19亿,23.84亿,131.04亿,322.94亿,37.35亿,360.29亿,1154.86亿
