报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2025-09-30,,102.54亿,657.58亿,563.52亿,93.19亿,89.71亿,,657.58亿,657.58亿,563.52亿,359.26亿,5.81亿,88.49亿,22.28亿,87.38亿,-6.34亿,1.54亿,3.93亿,3.18亿,3.47亿,-2676.23万,1.42亿,1.72亿,1952.44万,20.77亿,116.18亿,5354.21万,False,1212.51万,False,116.60亿,14.06亿,102.54亿,102.54亿,93.19亿,9.35亿,89.71亿,,1.01,1.01,2.13亿,1.40亿,104.67亿,94.59亿,10.08亿
2025-06-30,,62.81亿,418.18亿,359.11亿,56.57亿,54.89亿,,418.18亿,418.18亿,359.11亿,229.19亿,3.79亿,57.09亿,13.86亿,56.70亿,-7.39亿,1.07亿,2.82亿,2.09亿,3.79亿,-4311.74万,-3663.15万,467.37万,738.64万,11.81亿,70.15亿,3295.72万,False,732.24万,False,70.41亿,7.59亿,62.81亿,62.81亿,56.57亿,6.24亿,54.89亿,,0.62,0.62,2.00亿,1.33亿,64.82亿,57.91亿,6.91亿
2025-03-31,,22.31亿,185.32亿,163.68亿,20.39亿,19.26亿,,185.32亿,185.32亿,163.68亿,102.07亿,1.81亿,26.01亿,6.52亿,26.72亿,-2.73亿,5377.09万,1.48亿,1.50亿,1.78亿,-4768.19万,-445.16万,-2441.53万,102.04万,5.29亿,26.42亿,1538.82万,False,394.60万,False,26.54亿,4.23亿,22.31亿,22.31亿,20.39亿,1.92亿,19.26亿,,0.22,0.22,5000.89万,4367.34万,22.81亿,20.82亿,1.99亿
2024-12-31,,131.41亿,924.96亿,810.57亿,119.77亿,118.15亿,,924.96亿,924.96亿,810.57亿,519.54亿,6.92亿,120.51亿,30.96亿,118.64亿,-1.15亿,3.91亿,8.78亿,4.46亿,10.69亿,4775.91万,1.87亿,3066.90万,-1454.00万,26.54亿,143.12亿,6373.76万,False,3249.06万,False,143.43亿,12.02亿,131.41亿,131.41亿,119.77亿,11.64亿,118.15亿,,1.30,1.30,-2.85亿,-1.56亿,128.56亿,118.21亿,10.35亿
2024-09-30,,89.08亿,649.91亿,568.43亿,81.08亿,81.51亿,,649.91亿,649.91亿,568.43亿,360.46亿,5.19亿,85.44亿,22.62亿,87.36亿,-1.33亿,3.17亿,7.12亿,2.69亿,6.00亿,751.99万,3778.39万,-8995.81万,-1380.95万,19.38亿,101.18亿,5189.19万,False,1989.44万,False,101.50亿,12.42亿,89.08亿,89.08亿,81.08亿,8.00亿,81.51亿,,0.88,0.88,-2.40亿,-1.26亿,86.68亿,79.81亿,6.86亿
2024-06-30,,56.41亿,412.09亿,361.01亿,50.64亿,52.43亿,,412.09亿,412.09亿,361.01亿,227.32亿,3.59亿,54.74亿,14.64亿,56.98亿,-2.50亿,2.52亿,6.17亿,2.04亿,4.19亿,5038.91万,-1.04亿,-7836.83万,-1177.29万,12.35亿,62.77亿,3680.37万,False,1224.70万,False,63.02亿,6.61亿,56.41亿,56.41亿,50.64亿,5.77亿,52.43亿,,0.54,0.54,-9780.47万,-4450.10万,55.43亿,50.20亿,5.23亿
2024-03-31,,22.22亿,178.18亿,157.84亿,19.16亿,17.60亿,,178.18亿,178.18亿,157.84亿,96.99亿,1.78亿,24.27亿,6.80亿,26.71亿,-3740.22万,1.36亿,3.00亿,6952.52万,9525.14万,7073.17万,-9023.77万,-6380.44万,-733.82万,5.59亿,25.66亿,1731.19万,False,630.16万,False,25.77亿,3.55亿,22.22亿,22.22亿,19.16亿,3.06亿,17.60亿,,0.21,0.21,3354.85万,1498.79万,22.55亿,19.31亿,3.25亿
2023-12-31,,151.56亿,893.41亿,759.41亿,141.08亿,136.66亿,,893.41亿,893.41亿,759.41亿,497.33亿,7.05亿,107.47亿,27.71亿,113.93亿,-7.50亿,4.58亿,10.67亿,4.63亿,8.80亿,2267.93万,6330.23万,-2996.65万,-567.45万,25.60亿,160.40亿,8757.31万,False,2793.30万,False,160.99亿,9.43亿,151.56亿,151.56亿,141.08亿,10.48亿,136.66亿,,1.52,1.52,1.84亿,8725.47万,153.40亿,141.95亿,11.45亿
2023-09-30,,94.98亿,612.76亿,526.11亿,88.51亿,84.62亿,,612.76亿,612.76亿,526.11亿,337.92亿,5.26亿,77.03亿,20.45亿,81.73亿,-4.38亿,3.28亿,7.06亿,2.69亿,5.41亿,8398.72万,3976.31万,-4231.19万,-1207.31万,16.95亿,104.72亿,7615.38万,False,1360.68万,False,105.34亿,10.36亿,94.98亿,94.98亿,88.51亿,6.47亿,84.62亿,,0.95,0.95,1.32亿,5481.54万,96.31亿,89.06亿,7.24亿
2023-06-30,,57.57亿,375.71亿,324.57亿,53.38亿,50.36亿,,375.71亿,375.71亿,324.57亿,205.95亿,3.51亿,48.87亿,12.75亿,52.85亿,-5.67亿,1.95亿,4.94亿,1.96亿,4.36亿,4658.90万,1076.66万,-4224.06万,-269.94万,10.29亿,61.98亿,5854.29万,False,963.46万,False,62.47亿,4.90亿,57.57亿,57.57亿,53.38亿,4.19亿,50.36亿,,0.57,0.57,2.10亿,9975.22万,59.67亿,54.38亿,5.29亿
2023-03-31,,19.48亿,162.01亿,145.00亿,18.11亿,15.54亿,,162.01亿,162.01亿,145.00亿,88.84亿,1.63亿,21.85亿,6.03亿,24.64亿,-5053.55万,9078.49万,2.31亿,1.42亿,1.10亿,7696.24万,5302.45万,853.92万,-226.36万,4.31亿,22.60亿,3286.19万,False,322.22万,False,22.90亿,3.42亿,19.48亿,19.48亿,18.11亿,1.37亿,15.54亿,,0.20,0.20,5443.00万,2150.66万,20.03亿,18.33亿,1.70亿
2022-12-31,,135.58亿,831.66亿,709.11亿,128.38亿,123.31亿,,831.66亿,831.66亿,709.11亿,479.96亿,5.82亿,97.73亿,26.42亿,98.14亿,-9.90亿,3.11亿,9.22亿,5.08亿,5.85亿,-1.56亿,2.18亿,1.06亿,-1757.89万,24.82亿,147.83亿,8736.60万,False,1507.41万,False,148.55亿,12.97亿,135.58亿,135.58亿,128.38亿,7.20亿,123.31亿,,1.37,1.37,8869.11万,3459.70万,136.47亿,128.72亿,7.75亿
2022-09-30,,93.74亿,597.22亿,510.08亿,88.41亿,85.26亿,,597.22亿,597.22亿,510.08亿,344.28亿,4.04亿,71.05亿,19.34亿,73.56亿,-9.37亿,2.22亿,6.55亿,2.38亿,4.79亿,-6955.81万,1.66亿,2085.20万,-1054.12万,16.48亿,104.48亿,7505.87万,False,1175.60万,False,105.11亿,11.37亿,93.74亿,93.74亿,88.41亿,5.33亿,85.26亿,,0.94,0.94,9344.85万,4020.30万,94.67亿,88.81亿,5.86亿
2022-06-30,,61.38亿,372.58亿,315.67亿,57.59亿,56.46亿,,372.58亿,372.58亿,315.67亿,211.83亿,2.60亿,45.37亿,12.00亿,46.75亿,-7.85亿,1.41亿,4.52亿,1.26亿,3.73亿,-1.18亿,1.85亿,4615.26万,-1063.89万,9.93亿,67.40亿,3615.56万,False,924.81万,False,67.67亿,6.29亿,61.38亿,61.38亿,57.59亿,3.79亿,56.46亿,,0.61,0.61,5262.49万,2779.25万,61.90亿,57.86亿,4.04亿
2022-03-31,,24.16亿,165.22亿,141.09亿,22.84亿,22.10亿,,165.22亿,165.22亿,141.09亿,92.98亿,1.04亿,19.74亿,5.29亿,20.68亿,510.72万,6095.82万,1.90亿,4007.58万,9084.12万,-3696.96万,1.32亿,6822.53万,-580.67万,3.46亿,28.47亿,2051.62万,False,206.59万,False,28.66亿,4.50亿,24.16亿,24.16亿,22.84亿,1.32亿,22.10亿,,0.25,0.25,-1256.31万,-1987.63万,24.03亿,22.64亿,1.39亿
2021-12-31,,175.11亿,814.20亿,657.45亿,168.00亿,164.45亿,,814.20亿,814.20亿,657.45亿,453.29亿,5.61亿,85.86亿,21.32亿,82.52亿,-1.33亿,2.30亿,8.86亿,4.48亿,5.70亿,-3820.00万,1.74亿,1.14亿,3422.56万,26.29亿,184.74亿,7574.44万,False,8155.41万,False,184.68亿,9.57亿,175.11亿,175.11亿,168.00亿,7.10亿,164.45亿,,1.81,1.81,463.11万,780.98万,175.15亿,168.08亿,7.07亿
2021-09-30,,114.97亿,556.29亿,448.54亿,109.66亿,106.94亿,,556.29亿,556.29亿,448.54亿,298.54亿,4.29亿,64.58亿,15.32亿,60.63亿,-2.18亿,1.61亿,6.36亿,2.96亿,4.41亿,-4633.28万,2.20亿,803.44万,1128.14万,17.67亿,127.27亿,5833.40万,False,7251.58万,False,127.13亿,12.16亿,114.97亿,114.97亿,109.66亿,5.31亿,106.94亿,,1.18,1.18,-2094.73万,-1968.01万,114.76亿,109.46亿,5.30亿
2021-06-30,,68.55亿,339.02亿,278.82亿,64.81亿,62.21亿,,339.02亿,339.02亿,278.82亿,182.05亿,2.80亿,41.91亿,8.81亿,38.78亿,-1.23亿,1.11亿,4.12亿,2.58亿,3.12亿,-954.95万,1.69亿,-182.11万,376.09万,10.76亿,72.59亿,4200.27万,False,1885.53万,False,72.82亿,4.28亿,68.55亿,68.55亿,64.81亿,3.73亿,62.21亿,,0.70,0.70,-826.04万,-723.32万,68.47亿,64.74亿,3.72亿
2021-03-31,,24.35亿,139.88亿,115.96亿,21.69亿,20.22亿,,139.88亿,139.88亿,115.96亿,74.39亿,1.01亿,17.87亿,4.05亿,16.88亿,-1.03亿,5212.19万,1.84亿,8141.19万,1.98亿,3457.48万,530.36万,-1130.16万,346.44万,4.65亿,29.00亿,1542.57万,False,565.37万,False,29.10亿,4.76亿,24.35亿,24.35亿,21.69亿,2.65亿,20.22亿,,0.24,0.23,-272.63万,-279.79万,24.32亿,21.67亿,2.65亿
2020-12-31,,136.78亿,635.03亿,508.66亿,133.86亿,128.06亿,,635.03亿,635.03亿,508.66亿,339.58亿,4.16亿,73.78亿,17.90亿,63.79亿,3.96亿,2.02亿,7.20亿,3.63亿,1.86亿,8545.82万,1.69亿,636.14万,62.85万,23.04亿,151.97亿,9927.33万,False,2297.70万,False,152.73亿,15.95亿,136.78亿,136.78亿,133.86亿,2.93亿,128.06亿,,1.45,1.44,-3414.52万,-3145.28万,136.44亿,133.54亿,2.90亿
2020-09-30,,85.77亿,420.21亿,341.89亿,84.39亿,80.40亿,,420.21亿,420.21亿,341.89亿,219.71亿,2.84亿,52.34亿,13.35亿,47.41亿,1.55亿,1.48亿,4.64亿,2.60亿,2.09亿,4045.87万,1.25亿,-2233.30万,30.46万,16.90亿,96.88亿,5150.19万,False,1288.89万,False,97.27亿,11.49亿,85.77亿,85.77亿,84.39亿,1.38亿,80.40亿,,0.91,0.91,-3639.13万,-3450.77万,85.41亿,84.04亿,1.36亿
2020-06-30,,46.67亿,242.71亿,198.01亿,46.24亿,44.63亿,,242.71亿,242.71亿,198.01亿,121.94亿,1.68亿,34.20亿,8.65亿,30.63亿,-2.28亿,9413.71万,3.07亿,1.65亿,1.53亿,-2043.64万,1.50亿,-894.27万,2.16万,9.95亿,55.95亿,3172.12万,False,737.88万,False,56.19亿,9.53亿,46.67亿,46.67亿,46.24亿,4289.87万,44.63亿,,0.49,0.49,-2679.62万,-2448.29万,46.40亿,45.99亿,4058.54万
2020-03-31,,15.53亿,94.29亿,78.48亿,14.96亿,14.69亿,,94.29亿,94.29亿,78.48亿,49.63亿,4951.72万,13.76亿,3.50亿,12.18亿,-2.09亿,4870.15万,1.54亿,1.04亿,-262.12万,-2807.27万,-271.74万,-993.54万,1400.00,3.02亿,18.52亿,2422.93万,False,482.00万,False,18.71亿,3.18亿,15.53亿,15.53亿,14.96亿,5713.09万,14.69亿,,0.16,0.16,-3724.30万,-3443.73万,15.16亿,14.62亿,5432.53万
2019-12-31,,124.65亿,576.58亿,459.00亿,124.15亿,120.38亿,,576.58亿,576.58亿,459.00亿,311.40亿,4.17亿,72.57亿,18.22亿,54.84亿,-6.40亿,1.93亿,7.00亿,1.98亿,2.22亿,1532.19万,3664.92万,774.35万,553.57万,18.92亿,137.08亿,6503.25万,False,1712.44万,False,137.55亿,12.90亿,124.65亿,124.65亿,124.15亿,5059.66万,120.38亿,,1.34,1.34,-465.90万,-396.48万,124.61亿,124.11亿,4990.24万
2019-09-30,,80.94亿,398.39亿,317.42亿,80.27亿,77.89亿,,398.39亿,398.39亿,317.42亿,213.37亿,2.65亿,51.53亿,11.78亿,40.07亿,-6.27亿,1.67亿,4.54亿,1.49亿,2.79亿,1121.49万,2955.20万,161.02万,119.96万,13.04亿,94.43亿,5846.04万,False,1205.84万,False,94.89亿,13.95亿,80.94亿,80.94亿,80.27亿,6675.77万,77.89亿,,0.86,0.86,22.41万,-23.94万,80.94亿,80.27亿,6722.12万
2019-06-30,,42.24亿,239.23亿,195.42亿,42.17亿,41.22亿,,239.23亿,239.23亿,195.42亿,128.41亿,1.68亿,32.13亿,7.31亿,25.05亿,-1.30亿,9300.24万,2.93亿,8014.37万,1.35亿,186.64万,2122.44万,-421.52万,81.00万,7.23亿,51.28亿,3830.71万,False,841.42万,False,51.58亿,9.34亿,42.24亿,42.24亿,42.17亿,700.61万,41.22亿,,0.44,0.44,549.17万,492.28万,42.29亿,42.22亿,757.49万
2019-03-31,,15.18亿,99.42亿,84.60亿,15.36亿,14.83亿,,99.42亿,99.42亿,84.60亿,54.86亿,7733.74万,13.18亿,3.40亿,10.59亿,1.40亿,5522.47万,1.52亿,254.14万,3691.00万,330.12万,1573.94万,-357.21万,40.85万,3.39亿,18.42亿,2051.97万,False,208.51万,False,18.60亿,3.42亿,15.18亿,15.18亿,15.36亿,-1819.32万,14.83亿,,0.17,0.17,342.14万,329.78万,15.21亿,15.39亿,-1806.96万
2018-12-31,,113.80亿,498.37亿,396.57亿,113.52亿,109.83亿,,498.37亿,498.37亿,396.57亿,274.83亿,4.18亿,58.93亿,13.77亿,44.83亿,-4.24亿,1.55亿,4.45亿,4.27亿,False,1340.69万,5192.96万,-907.29万,497.58万,20.84亿,123.34亿,1.11亿,False,859.35万,False,124.37亿,10.57亿,113.80亿,113.80亿,113.52亿,2833.23万,109.83亿,,1.24,1.23,-2406.30万,-2189.84万,113.56亿,113.30亿,2616.77万
