报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2018-09-30,,73.48亿,338.03亿,272.15亿,73.96亿,71.52亿,,338.03亿,338.03亿,272.15亿,186.22亿,2.82亿,41.76亿,9.60亿,30.78亿,-3.68亿,1.32亿,3.23亿,4.65亿,False,519.11万,6118.23万,-161.82万,397.25万,14.17亿,80.75亿,1.15亿,False,671.31万,False,81.84亿,8.36亿,73.48亿,73.48亿,73.96亿,-4811.30万,71.52亿,,0.81,0.80,-2727.86万,-2572.14万,73.20亿,73.70亿,-4967.02万
2018-06-30,,41.08亿,208.76亿,170.84亿,41.47亿,40.09亿,,208.76亿,208.76亿,170.84亿,115.86亿,1.78亿,26.49亿,5.91亿,19.13亿,-1.59亿,6255.43万,2.02亿,3.26亿,False,-610.25万,7826.71万,253.81万,376.36万,8.38亿,47.05亿,7315.04万,False,458.41万,False,47.73亿,6.66亿,41.08亿,41.08亿,41.47亿,-3980.94万,40.09亿,,0.45,0.45,-1428.48万,-1289.85万,40.93亿,41.34亿,-4119.57万
2018-03-31,,17.82亿,93.65亿,76.02亿,18.16亿,18.08亿,,93.65亿,93.65亿,76.02亿,51.45亿,7029.14万,10.85亿,2.60亿,7.35亿,2.57亿,6024.59万,1.29亿,4930.41万,False,-4225.36万,2190.47万,34.28万,343.06万,3.98亿,21.45亿,1302.28万,False,153.63万,False,21.56亿,3.74亿,17.82亿,17.82亿,18.16亿,-3367.64万,18.08亿,,0.20,0.20,1515.99万,1715.22万,17.97亿,18.33亿,-3566.87万
2017-12-31,,93.78亿,419.05亿,332.24亿,94.11亿,91.77亿,,419.05亿,419.05亿,332.24亿,234.67亿,3.71亿,44.30亿,10.11亿,31.94亿,2.65亿,9948.84万,2.17亿,4.85亿,False,4209.01万,4465.01万,-252.53万,158.52万,16.73亿,104.43亿,4672.93万,False,302.04万,False,104.87亿,11.09亿,93.78亿,93.78亿,94.11亿,-3335.34万,91.77亿,,1.03,1.02,1385.27万,1355.28万,93.91亿,94.24亿,-3305.36万
2017-09-30,,61.21亿,277.30亿,221.71亿,61.53亿,60.09亿,,277.30亿,277.30亿,221.71亿,154.78亿,2.77亿,29.60亿,5.70亿,22.92亿,2.18亿,9395.72万,1.71亿,3.75亿,False,3862.67万,4654.78万,350.25万,282.01万,10.40亿,66.87亿,9937.09万,False,278.73万,False,67.84亿,6.62亿,61.21亿,61.21亿,61.53亿,-3169.32万,60.09亿,,0.67,0.67,-542.35万,39.34万,61.16亿,61.53亿,-3751.01万
2017-06-30,,32.76亿,164.48亿,134.01亿,32.92亿,31.90亿,,164.48亿,164.48亿,134.01亿,94.21亿,1.74亿,17.27亿,17.62亿,False,6550.06万,False,False,2.52亿,False,3855.25万,4965.22万,-387.77万,222.70万,6.77亿,38.15亿,3171.76万,False,170.88万,False,38.45亿,5.69亿,32.76亿,32.76亿,32.92亿,-1561.44万,31.90亿,,0.36,0.36,2943.43万,2859.09万,33.05亿,33.20亿,-1477.10万
2017-03-31,,14.80亿,70.44亿,56.26亿,14.81亿,14.41亿,,70.44亿,70.44亿,56.26亿,40.31亿,6617.84万,7.01亿,7.48亿,False,2161.78万,False,False,5940.12万,False,430.45万,2661.67万,False,11.52万,3.40亿,17.88亿,1142.07万,False,89.65万,False,17.99亿,3.18亿,14.80亿,14.80亿,14.81亿,-43.12万,14.41亿,,0.16,0.16,276.79万,379.93万,14.83亿,14.85亿,-146.26万
2016-12-31,,74.24亿,319.35亿,251.01亿,74.24亿,72.71亿,,319.35亿,319.35亿,251.01亿,186.53亿,2.55亿,29.91亿,31.09亿,False,-2.25亿,False,False,3.18亿,False,-4017.16万,4049.33万,False,-73.61万,False,68.33亿,15.11亿,False,2991.12万,False,83.14亿,8.90亿,74.24亿,74.24亿,74.24亿,53.91万,72.71亿,,0.82,0.82,-1268.78万,-1357.08万,74.12亿,74.10亿,142.21万
2016-09-30,,48.51亿,211.44亿,167.61亿,48.52亿,47.18亿,,211.44亿,211.44亿,167.61亿,123.57亿,1.58亿,20.08亿,21.26亿,False,-1.26亿,False,False,2.39亿,False,-741.46万,4220.71万,False,False,False,44.18亿,9.67亿,174.80万,2701.38万,209.22万,53.59亿,5.07亿,48.51亿,False,48.52亿,-41.01万,47.18亿,,0.54,0.54,9672.98万,-1638.75万,49.48亿,48.35亿,1.13亿
2016-06-30,,26.12亿,125.53亿,101.61亿,26.08亿,25.74亿,,125.53亿,125.53亿,101.61亿,75.18亿,9742.17万,12.12亿,12.72亿,False,-9718.29万,False,False,1.59亿,False,-828.19万,2645.15万,False,False,False,24.10亿,6.52亿,132.05万,1804.84万,161.96万,30.44亿,4.33亿,26.12亿,False,26.08亿,400.55万,25.74亿,,0.29,0.29,-1128.16万,-1754.16万,26.01亿,25.90亿,1026.55万
2016-03-31,,11.41亿,52.00亿,41.41亿,11.44亿,11.34亿,,52.00亿,52.00亿,41.41亿,30.24亿,4752.26万,5.20亿,5.21亿,False,-1004.73万,False,False,3845.64万,False,-897.90万,1018.54万,False,False,False,10.60亿,3.32亿,3.75万,816.59万,2.26万,13.84亿,2.44亿,11.41亿,False,11.44亿,-309.72万,11.34亿,,0.19,0.19,-301.37万,-679.82万,11.38亿,11.37亿,68.73万
2015-12-31,,58.82亿,252.71亿,199.10亿,58.69亿,56.05亿,,252.71亿,252.71亿,199.10亿,151.37亿,1.97亿,21.79亿,22.11亿,False,-1.53亿,False,False,3.39亿,False,-1615.46万,1.49亿,False,False,False,54.94亿,12.94亿,282.91万,3793.07万,111.37万,67.50亿,8.68亿,58.82亿,False,58.69亿,1334.82万,56.05亿,,0.98,0.97,-1798.92万,-1882.26万,58.64亿,58.50亿,1418.16万
2015-09-30,,37.83亿,166.78亿,129.99亿,37.70亿,36.34亿,,166.78亿,166.78亿,129.99亿,97.26亿,1.20亿,14.46亿,16.00亿,False,-9696.43万,False,False,2.04亿,False,-1565.92万,9318.85万,False,False,False,37.56亿,7.06亿,10.44万,2463.09万,40.23万,44.37亿,6.54亿,37.83亿,False,37.70亿,1291.36万,36.34亿,,0.63,0.62,-1471.26万,-1267.21万,37.68亿,37.57亿,1087.30万
2015-06-30,,22.18亿,97.96亿,76.93亿,22.07亿,21.12亿,,97.96亿,97.96亿,76.93亿,55.89亿,7071.86万,9.14亿,9.95亿,False,-4218.53万,False,False,1.67亿,False,-1060.66万,7916.46万,False,False,False,21.72亿,4.61亿,9.59万,1473.33万,33.16万,26.18亿,4.00亿,22.18亿,False,22.07亿,1156.85万,21.12亿,,0.37,0.37,-1109.62万,-931.90万,22.07亿,21.97亿,979.12万
2015-03-31,,10.47亿,42.88亿,33.47亿,10.45亿,10.00亿,,42.88亿,42.88亿,33.47亿,23.91亿,3278.42万,4.28亿,4.22亿,False,-1012.76万,False,False,8288.46万,False,-455.24万,4474.09万,False,False,False,9.81亿,2.58亿,4.66万,666.45万,12.12万,12.32亿,1.86亿,10.47亿,False,10.45亿,189.74万,10.00亿,,0.26,0.26,-1189.43万,-853.17万,10.35亿,10.36亿,-146.52万
2014-12-31,,46.81亿,172.33亿,130.10亿,46.65亿,44.75亿,,172.33亿,172.33亿,130.10亿,95.78亿,1.52亿,15.33亿,16.46亿,False,-8202.94万,False,False,1.83亿,False,303.29万,1.51亿,False,False,False,43.78亿,8.56亿,37.51万,2769.18万,84.24万,52.06亿,5.26亿,46.81亿,False,46.65亿,1533.25万,44.75亿,,1.17,1.16,-1166.04万,-1075.69万,46.69亿,46.55亿,1442.91万
2014-09-30,,27.21亿,106.70亿,80.94亿,27.10亿,26.08亿,,106.70亿,106.70亿,80.94亿,56.78亿,1.00亿,10.47亿,11.82亿,False,-5744.94万,False,False,1.44亿,False,-107.86万,9710.55万,-35.27万,False,False,26.72亿,4.40亿,33.14万,1851.35万,47.15万,30.93亿,3.72亿,27.21亿,False,27.10亿,1149.63万,26.08亿,,0.68,0.68,-987.84万,-946.14万,27.11亿,27.00亿,1107.93万
2014-06-30,,15.29亿,60.16亿,46.22亿,15.20亿,14.55亿,,60.16亿,60.16亿,46.22亿,31.48亿,6218.87万,6.45亿,6.88亿,False,-3161.43万,False,False,1.10亿,False,-374.14万,6178.04万,-35.27万,False,False,14.53亿,2.67亿,5.14万,1133.41万,15.47万,17.08亿,1.79亿,15.29亿,False,15.20亿,963.66万,14.55亿,,0.38,0.38,-843.94万,-856.62万,15.21亿,15.11亿,976.33万
2014-03-31,,6.91亿,25.95亿,19.31亿,6.87亿,6.82亿,,25.95亿,25.95亿,19.31亿,13.75亿,2760.72万,2.62亿,2.84亿,False,-1849.94万,False,False,80.09万,False,False,237.35万,False,False,False,6.66亿,1.16亿,9.74万,462.63万,7.20万,7.78亿,8679.43万,6.91亿,False,6.87亿,462.20万,6.82亿,,0.17,0.17,20.14万,47.56万,6.91亿,6.87亿,434.78万
2013-12-31,,30.77亿,107.46亿,78.38亿,30.67亿,29.78亿,,107.46亿,107.46亿,78.38亿,56.29亿,1.15亿,9.27亿,10.96亿,False,-8655.79万,False,False,1.57亿,False,False,3867.43万,False,False,False,29.47亿,4.53亿,17.18万,1425.38万,37.75万,33.86亿,3.09亿,30.77亿,False,30.67亿,1040.44万,29.78亿,,0.77,0.77,-80.52万,70.51万,30.76亿,30.67亿,889.42万
2013-09-30,,17.65亿,68.60亿,50.99亿,17.60亿,17.25亿,,68.60亿,68.60亿,50.99亿,35.51亿,6376.79万,6.84亿,7.43亿,False,-5503.08万,False,False,1.12亿,False,False,1877.82万,-37.04万,False,False,17.80亿,2.65亿,False,848.01万,23.48万,20.37亿,2.72亿,17.65亿,False,17.60亿,504.40万,17.25亿,,0.44,0.44,-418.19万,False,17.61亿,17.58亿,276.53万
2013-06-30,,9.92亿,39.09亿,29.47亿,9.86亿,9.62亿,,39.09亿,39.09亿,29.47亿,20.34亿,3661.51万,4.19亿,4.19亿,False,-4286.37万,False,False,8166.92万,False,False,1311.63万,-21.46万,False,False,9.75亿,1.53亿,False,497.88万,13.36万,11.23亿,1.32亿,9.92亿,False,9.86亿,589.67万,9.62亿,,0.25,0.25,-150.50万,False,9.90亿,9.85亿,492.60万
2013-03-31,,4.52亿,16.97亿,12.28亿,4.50亿,4.43亿,,16.97亿,16.97亿,12.28亿,8.83亿,1308.02万,1.76亿,1.86亿,False,-2971.30万,False,False,False,False,False,480.67万,-9.42万,False,False,4.75亿,5737.09万,False,189.39万,-2.71万,5.30亿,7850.12万,4.52亿,False,4.50亿,115.79万,4.43亿,,0.11,0.11,-31.42万,False,4.51亿,4.50亿,144.78万
2012-12-31,,21.40亿,72.14亿,52.24亿,21.37亿,21.09亿,,72.14亿,72.14亿,52.24亿,36.65亿,7806.77万,7.32亿,7.71亿,False,-7172.42万,False,False,5032.53万,False,False,-29.51万,-29.51万,False,False,19.89亿,3.32亿,False,795.80万,24.10万,23.14亿,1.73亿,21.40亿,False,21.37亿,355.32万,21.09亿,,0.53,0.53,-66.72万,False,21.40亿,21.36亿,338.22万
2012-09-30,,12.43亿,47.98亿,35.31亿,12.38亿,12.16亿,,47.98亿,47.98亿,35.31亿,24.27亿,5008.26万,5.76亿,4.75亿,False,-5282.42万,False,False,5511.32万,False,False,-9.62万,-9.62万,False,False,12.67亿,1.90亿,False,583.73万,16.28万,14.51亿,2.09亿,12.43亿,False,12.38亿,461.66万,12.16亿,,0.31,0.31,4.69万,False,12.43亿,12.38亿,497.16万
2012-06-30,,7.32亿,28.19亿,20.78亿,7.30亿,7.11亿,,28.19亿,28.19亿,20.78亿,14.21亿,2912.41万,3.36亿,2.75亿,False,-3703.95万,False,False,5511.32万,False,False,-9.62万,-9.62万,False,False,7.40亿,1.09亿,False,308.45万,10.32万,8.47亿,1.14亿,7.32亿,False,7.30亿,252.10万,7.11亿,,0.18,0.18,-55.00万,False,7.32亿,7.29亿,243.29万
2012-03-31,,3.48亿,12.93亿,9.36亿,3.48亿,3.40亿,,12.93亿,12.93亿,9.36亿,6.61亿,1150.27万,1.50亿,1.23亿,False,-950.25万,False,False,False,False,False,False,False,False,False,3.56亿,5051.37万,False,130.49万,3.14万,4.06亿,5728.13万,3.48亿,False,3.48亿,85.72万,3.40亿,,0.17,0.17,69.09万,False,3.49亿,3.48亿,76.48万
