股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
300750,2025-06-30,,电气机械及器材制造业,175525013000.0,0.98121,131067097000.0,0.977211,44457916000.0,0.993192,0.253285
300750,2025-06-30,,采选冶炼行业,3361240000.0,0.01879,3056506000.0,0.022789,304734000.0,0.006808,0.090661
300750,2025-06-30,按产品分类,动力电池系统,131572512000.0,0.735509,102085255000.0,0.761128,29487257000.0,0.658747,0.224114
300750,2025-06-30,按产品分类,储能电池系统,28400044000.0,0.15876,21153269000.0,0.157715,7246775000.0,0.161893,0.255168
300750,2025-06-30,按产品分类,电池材料及回收,7887379000.0,0.044092,5803915000.0,0.043273,2083464000.0,0.046545,0.264152
300750,2025-06-30,按产品分类,其他(补充),7665079000.0,0.042849,2024658000.0,0.015095,5640421000.0,0.126007,0.735859
300750,2025-06-30,按产品分类,电池矿产资源,3361240000.0,0.01879,3056506000.0,0.022789,304734000.0,0.006808,0.090661
300750,2025-06-30,按地区分类,境内,117677899000.0,0.657836,90680806000.0,0.676099,26997093000.0,0.603117,0.229415
300750,2025-06-30,按地区分类,境外,61208354000.0,0.342164,43442797000.0,0.323901,17765557000.0,0.396883,0.290247
300750,2024-12-31,,电气机械及器材制造业,356519551000.0,0.984826,268494348000.0,0.98163,88025203000.0,0.994707,0.246901
300750,2024-12-31,,采选冶炼行业,5493003000.0,0.015174,5024611000.0,0.01837,468392000.0,0.005293,0.085271
300750,2024-12-31,按产品分类,动力电池系统,253041337000.0,0.698985,192461282000.0,0.703649,60580055000.0,0.68457,0.239408
300750,2024-12-31,按产品分类,储能电池系统,57290460000.0,0.158255,41914003000.0,0.15324,15376457000.0,0.173758,0.268395
300750,2024-12-31,按产品分类,电池材料及回收,28699935000.0,0.079279,25682916000.0,0.093898,3017019000.0,0.034093,0.105123
300750,2024-12-31,按产品分类,其他(补充),17487818000.0,0.048307,8436146000.0,0.030843,9051672000.0,0.102286,0.517599
300750,2024-12-31,按产品分类,电池矿产资源,5493003000.0,0.015174,5024611000.0,0.01837,468392000.0,0.005293,0.085271
300750,2024-12-31,按地区分类,境内,251677045000.0,0.695216,195678188000.0,0.71541,55998857000.0,0.632801,0.222503
300750,2024-12-31,按地区分类,境外,110335509000.0,0.304784,77840771000.0,0.28459,32494738000.0,0.367199,0.294508
300750,2024-06-30,,电气机械及器材制造业,164137974700.0,0.984236,120094358700.0,0.980219,44043616000.0,0.995359,0.268333
300750,2024-06-30,,采选冶炼行业,2628858900.0,0.015764,2423490100.0,0.019781,205368800.0,0.004641,0.078121
300750,2024-06-30,按产品分类,动力电池系统,112648720900.0,0.675486,82348937800.0,0.672138,30299783100.0,0.684757,0.268976
300750,2024-06-30,按产品分类,储能电池系统,28824714700.0,0.172844,20501765100.0,0.167337,8322949600.0,0.188094,0.288744
300750,2024-06-30,按产品分类,电池材料及回收,14333006600.0,0.085946,13156726400.0,0.107386,1176280200.0,0.026583,0.082068
300750,2024-06-30,按产品分类,其他(补充),8331532500.0,0.049959,4086929400.0,0.033358,4244603100.0,0.095925,0.509462
300750,2024-06-30,按产品分类,电池矿产资源,2628858900.0,0.015764,2423490100.0,0.019781,205368800.0,0.004641,0.078121
300750,2024-06-30,按地区分类,境内,116237916600.0,0.697009,86972391100.0,0.709875,29265525500.0,0.661383,0.251773
300750,2024-06-30,按地区分类,境外,50528917100.0,0.302991,35545457700.0,0.290125,14983459400.0,0.338617,0.296532
300750,2023-12-31,,电气机械及器材制造业,393182894000.0,0.980709,302872543800.0,0.979947,90310350200.0,0.983274,0.22969
300750,2023-12-31,,采选冶炼行业,7734150900.0,0.019291,6197890100.0,0.020053,1536260800.0,0.016726,0.198633
300750,2023-12-31,按产品分类,动力电池系统,285252917300.0,0.711501,221714193000.0,0.717358,63538724300.0,0.691792,0.222745
300750,2023-12-31,按产品分类,储能电池系统,59900521900.0,0.149409,45647782000.0,0.147694,14252739900.0,0.15518,0.23794
300750,2023-12-31,按产品分类,电池材料及回收,33602284100.0,0.083814,29777744900.0,0.096346,3824539200.0,0.041641,0.113818
300750,2023-12-31,按产品分类,其他(补充),14427170700.0,0.035985,5732824000.0,0.018549,8694346700.0,0.094662,0.602637
300750,2023-12-31,按产品分类,电池矿产资源,7734150900.0,0.019291,6197890100.0,0.020053,1536260800.0,0.016726,0.198633
300750,2023-12-31,按地区分类,境内,269924895000.0,0.673269,211078991800.0,0.682948,58845903200.0,0.640698,0.218008
300750,2023-12-31,按地区分类,境外,130992149900.0,0.326731,97991442200.0,0.317052,33000707700.0,0.359302,0.251929
300750,2023-06-30,,电气机械及器材制造业,186393668500.0,0.984928,145793807600.0,0.983061,40599860900.0,0.991689,0.217818
300750,2023-06-30,,采选冶炼行业,2852372800.0,0.015072,2512126500.0,0.016939,340246300.0,0.008311,0.119285
300750,2023-06-30,按产品分类,动力电池系统,139418216100.0,0.736703,111040111400.0,0.748723,28378104700.0,0.693161,0.203547
300750,2023-06-30,按产品分类,储能电池系统,27985137100.0,0.147877,22018031900.0,0.148464,5967105200.0,0.145752,0.213224
300750,2023-06-30,按产品分类,电池材料及回收,12682274800.0,0.067015,10532048900.0,0.071016,2150225900.0,0.052521,0.169546
300750,2023-06-30,按产品分类,其他(补充),6308040400.0,0.033332,2203615500.0,0.014859,4104424900.0,0.100254,0.650666
300750,2023-06-30,按产品分类,电池矿产资源,2852372800.0,0.015072,2512126500.0,0.016939,340246300.0,0.008311,0.119285
300750,2023-06-30,按地区分类,境内,114401719700.0,0.604513,91682315600.0,0.618197,22719404100.0,0.554942,0.198593
300750,2023-06-30,按地区分类,境外,65683880600.0,0.347082,51907864800.0,0.350005,13776015800.0,0.336492,0.209732
300750,2023-06-30,按地区分类,其他(补充),6308040400.0,0.033332,2203615500.0,0.014859,4104424900.0,0.100254,0.650666
300750,2023-06-30,按地区分类,其他主营业务,2852400600.0,0.015072,2512138200.0,0.016939,340262400.0,0.008311,0.11929
300750,2022-12-31,,电气机械及器材制造业,324085354900.0,0.986279,258092762800.0,0.9849,65992592100.0,0.991708,0.203627
300750,2022-12-31,,采选冶炼行业,4508632600.0,0.013721,3956846400.0,0.0151,551786200.0,0.008292,0.122384
300750,2022-12-31,按产品分类,动力电池系统,236593497300.0,0.720018,195965086700.0,0.747817,40628410600.0,0.610546,0.171722
300750,2022-12-31,按产品分类,储能电池系统,44980277300.0,0.136887,37327377200.0,0.142444,7652900100.0,0.115004,0.170139
300750,2022-12-31,按产品分类,电池材料及回收,26031514200.0,0.079221,20506030500.0,0.078252,5525483700.0,0.083035,0.212261
300750,2022-12-31,按产品分类,其他(补充),16480066100.0,0.050153,4294268300.0,0.016387,12185797800.0,0.183123,0.739427
300750,2022-12-31,按产品分类,电池矿产资源,4508632600.0,0.013721,3956846400.0,0.0151,551786200.0,0.008292,0.122384
300750,2022-12-31,按地区分类,境内,251670827300.0,0.765902,201634588500.0,0.769452,50036238800.0,0.751923,0.198816
300750,2022-12-31,按地区分类,境外,76923160300.0,0.234098,60415020700.0,0.230548,16508139600.0,0.248077,0.214606
300750,2022-06-30,,电气机械及器材制造业,112971257900.0,1.0,91873351200.0,1.0,21097906700.0,1.0,0.186755
300750,2022-06-30,按产品分类,动力电池系统,79142547100.0,0.700555,67243299400.0,0.731913,11899247700.0,0.564001,0.150352
300750,2022-06-30,按产品分类,锂电池材料,13669743900.0,0.121002,10846660000.0,0.118061,2823083900.0,0.133809,0.206521
300750,2022-06-30,按产品分类,储能系统,12736105800.0,0.112738,11917407300.0,0.129716,818698500.0,0.038805,0.064282
300750,2022-06-30,按产品分类,其他(补充),7422861100.0,0.065706,1865984600.0,0.02031,5556876500.0,0.263385,0.748617
300750,2022-06-30,按地区分类,境内,82763746400.0,0.732609,70769837500.0,0.770298,11993908900.0,0.568488,0.144917
300750,2022-06-30,按地区分类,境外,22254411800.0,0.196992,18882837700.0,0.205531,3371574100.0,0.159806,0.151501
300750,2022-06-30,按地区分类,其他(补充),7422861100.0,0.065706,1865984600.0,0.02031,5556876500.0,0.263385,0.748617
300750,2021-12-31,,电气机械及器材制造业,130355796400.0,1.0,96093722300.0,1.0,34262074100.0,1.0,0.262835
300750,2021-12-31,按产品分类,动力电池系统,91490774500.0,0.701854,71361781400.0,0.742627,20128993100.0,0.587501,0.220011
300750,2021-12-31,按产品分类,锂电池材料,15456612200.0,0.118572,11574470100.0,0.12045,3882142100.0,0.113307,0.251164
300750,2021-12-31,按产品分类,储能系统,13623834700.0,0.104513,9738645200.0,0.101345,3885189500.0,0.113396,0.285176
300750,2021-12-31,按产品分类,其他(补充),9784574900.0,0.075061,3418825600.0,0.035578,6365749300.0,0.185796,0.65059
300750,2021-12-31,按地区分类,境内,102483758600.0,0.786185,76716179200.0,0.798347,25767579400.0,0.752073,0.251431
300750,2021-12-31,按地区分类,境外,27872037800.0,0.213815,19377543100.0,0.201653,8494494700.0,0.247927,0.304768
300750,2021-06-30,,电气机械及器材制造业,44074560629.16,1.0,32061735306.82,1.0,12012825322.34,1.0,0.272557
300750,2021-06-30,按产品分类,动力电池系统,30450872062.04,0.690895,23447517202.81,0.731324,7003354859.23,0.58299,0.229989
300750,2021-06-30,按产品分类,锂电池材料,4986219194.78,0.113131,3931694144.68,0.122629,1054525050.1,0.087783,0.211488
300750,2021-06-30,按产品分类,储能系统,4692648040.18,0.106471,2975333848.44,0.0928,1717314191.74,0.142957,0.365958
300750,2021-06-30,按产品分类,其他(补充),3944821332.16,0.089503,1707190110.89,0.053247,2237631221.27,0.18627,0.567233
300750,2021-06-30,按地区分类,境内,33874088048.02,0.768563,25369656255.91,0.791275,8504431792.11,0.707946,0.25106
300750,2021-06-30,按地区分类,境外,10200472581.14,0.231437,6692079050.91,0.208725,3508393530.23,0.292054,0.343944
300750,2020-12-31,,电气机械及器材制造业,50319487697.2,1.0,36349153592.22,1.0,13970334104.98,1.0,0.277633
300750,2020-12-31,按产品分类,动力电池系统,39425820651.13,0.78351,28955599917.98,0.796596,10470220733.15,0.749461,0.265568
300750,2020-12-31,按产品分类,其他(补充),5521090192.62,0.109721,3422501366.22,0.094156,2098588826.4,0.150218,0.380104
300750,2020-12-31,按产品分类,锂电池材料,3429126665.71,0.068147,2727766641.1,0.075043,701360024.61,0.050204,0.20453
300750,2020-12-31,按产品分类,储能系统,1943450187.74,0.038622,1243285666.92,0.034204,700164520.82,0.050118,0.360269
300750,2020-12-31,按地区分类,境内,42411956314.25,0.842853,31026808057.38,0.853577,11385148256.87,0.814952,0.268442
300750,2020-12-31,按地区分类,境外,7907531382.95,0.157147,5322345534.84,0.146423,2585185848.11,0.185048,0.326927
300750,2020-06-30,,电气机械及器材制造业,18829453132.97,1.0,13717117142.14,1.0,5112335990.83,1.0,0.271507
300750,2020-06-30,按产品分类,动力电池系统,13477522878.75,0.715768,9905665076.62,0.722139,3571857802.13,0.698674,0.265023
300750,2020-06-30,按产品分类,其他主营业务,5351930254.22,0.284232,3811452065.52,0.277861,1540478188.7,0.301326,0.287836
300750,2020-06-30,按地区分类,境内,16589791787.13,0.881055,12131639720.31,0.884416,4458152066.82,0.872038,0.268729
300750,2020-06-30,按地区分类,其他主营业务,2239661345.84,0.118945,1585477421.83,0.115584,654183924.01,0.127962,0.292091
300750,2019-12-31,,电气机械及器材制造业,45788020642.41,1.0,32482760512.62,1.0,13305260129.79,1.0,0.290584
300750,2019-12-31,按产品分类,动力电池系统,38583525713.09,0.842655,27604672881.9,0.849825,10978852831.19,0.825151,0.284548
300750,2019-12-31,按产品分类,锂电池材料,4305172766.24,0.094024,3254774690.62,0.1002,1050398075.62,0.078946,0.243985
300750,2019-12-31,按产品分类,其他(补充),2289239736.06,0.049996,1244292781.35,0.038306,1044946954.71,0.078536,0.45646
300750,2019-12-31,按产品分类,储能系统,610082427.02,0.013324,379020158.75,0.011668,231062268.27,0.017366,0.378739
300750,2019-12-31,按地区分类,境内,43787620991.55,0.956312,31000204712.5,0.954359,12787416279.05,0.96108,0.292033
300750,2019-12-31,按地区分类,境外,2000399650.86,0.043688,1482555800.12,0.045641,517843850.74,0.03892,0.25887
300750,2019-06-30,按产品分类,动力电池系统,16891804780.88,0.833593,12013793255.64,0.844452,4878011525.24,0.808003,0.28878
300750,2019-06-30,按产品分类,锂电池材料,2308986151.75,0.113946,1736215422.7,0.122039,572770729.05,0.094875,0.248062
300750,2019-06-30,按产品分类,其他(补充),823140179.26,0.040621,311109506.24,0.021868,512030673.02,0.084814,0.622046
300750,2019-06-30,按产品分类,平衡项目,239913058.55,0.011839,165608812.84,0.011641,74304245.71,0.012308,0.309713
300750,2018-12-31,,电气机械及器材制造业,29611265434.22,1.0,19902284153.15,1.0,9708981281.07,1.0,0.327881
300750,2018-12-31,按产品分类,动力电池系统,24515429941.23,0.827909,16155468173.06,0.811739,8359961768.17,0.861054,0.341008
300750,2018-12-31,按产品分类,锂电池材料,3860762868.38,0.130382,2970717117.93,0.149265,890045750.45,0.091672,0.230536
300750,2018-12-31,按产品分类,其他(补充),1045576378.88,0.03531,622618436.58,0.031284,422957942.3,0.043564,0.404521
300750,2018-12-31,按产品分类,储能系统,189496245.73,0.006399,153480425.58,0.007712,36015820.15,0.00371,0.190061
300750,2018-12-31,按地区分类,境内,27778039484.2,0.93809,18683571163.51,0.938765,9094468320.69,0.936707,0.327398
300750,2018-12-31,按地区分类,其他(补充),1045576378.88,0.03531,622618436.58,0.031284,422957942.3,0.043564,0.404521
300750,2018-12-31,按地区分类,境外,787649571.14,0.0266,596094553.06,0.029951,191555018.08,0.01973,0.243198
300750,2018-06-30,按产品分类,动力电池系统,7187566661.49,0.767937,4839204034.43,0.752415,2348362627.06,0.802033,0.326726
300750,2018-06-30,按产品分类,锂电池材料,1747344712.0,0.18669,1363248978.91,0.211962,384095733.09,0.13118,0.219817
300750,2018-06-30,按产品分类,其他(补充),373575279.56,0.039914,176431956.52,0.027432,197143323.04,0.06733,0.52772
300750,2018-06-30,按产品分类,储能系统,51094015.07,0.005459,52681570.86,0.008191,-1587555.79,-0.000542,-0.031071
300750,2018-03-31,按产品分类,动力电池系统,2895054954.11,0.779993,1852628492.56,0.761219,1042426461.55,0.878649,0.360071
300750,2018-03-31,按产品分类,锂电池材料,697461144.79,0.187912,552998784.85,0.22722,144462359.94,0.121766,0.207126
300750,2018-03-31,按产品分类,其他(补充),91479641.12,0.024647,,,,,
300750,2018-03-31,按产品分类,储能系统,27645490.75,0.007448,28136953.42,0.011561,-491462.67,-0.000414,-0.017777
300750,2018-03-31,按地区分类,境内,3518075619.99,0.947849,2338026050.54,0.960663,1180049569.45,0.99465,0.335425
300750,2018-03-31,按地区分类,境外,102085969.66,0.027504,95738180.29,0.039337,6347789.37,0.00535,0.062181
300750,2018-03-31,按地区分类,其他(补充),91479641.12,0.024647,,,,,
300750,2017-12-31,按产品分类,动力电池系统,16656829935.16,0.832972,10784983032.76,0.855753,5871846902.4,0.897713,0.352519
300750,2017-12-31,按产品分类,锂电池材料,2470537812.99,0.123546,1803502009.65,0.143102,667035803.34,0.101979,0.269996
300750,2017-12-31,按产品分类,其他(补充),853042134.59,0.042659,,,,,
300750,2017-12-31,按产品分类,储能系统,16450923.59,0.000823,14434946.52,0.001145,2015977.07,0.000308,0.122545
300750,2017-12-31,按地区分类,境内,18840713186.4,0.942184,12334861913.81,0.97873,6505851272.59,0.994642,0.345308
300750,2017-12-31,按地区分类,其他(补充),853042134.59,0.042659,,,,,
300750,2017-12-31,按地区分类,境外,303105485.34,0.015158,268058075.12,0.02127,35047410.22,0.005358,0.115628
300750,2017-06-30,按产品分类,动力电池系统,5327265600.0,0.84631,3353607000.0,0.852337,1973658600.0,0.836263,0.370482
300750,2017-06-30,按产品分类,锂电池材料,781507500.0,0.124153,521421500.0,0.132522,260086000.0,0.110202,0.3328
300750,2017-06-30,按产品分类,其他业务,181378349.0,0.028814,56126621.36,0.014265,125251727.64,0.053071,0.690555
300750,2017-06-30,按产品分类,储能系统,4543700.0,0.000722,3447800.0,0.000876,1095900.0,0.000464,0.241191
300750,2017-06-30,按地区分类,境内地区,6043022200.0,0.960018,,,,,
300750,2017-06-30,按地区分类,其他业务(地区),181378349.0,0.028814,,,,,
300750,2017-06-30,按地区分类,境外地区,70294600.0,0.011167,,,,,
300750,2017-03-31,按产品分类,动力电池系统,1150551777.87,0.791091,724134661.01,0.827337,426417116.86,0.875012,0.37062
300750,2017-03-31,按产品分类,锂电池材料,211946325.24,0.145729,151077305.14,0.172609,60869020.1,0.124904,0.287191
300750,2017-03-31,按产品分类,其他(补充),91798528.9,0.063118,,,,,
300750,2017-03-31,按产品分类,储能系统,89059.83,6.1e-05,47859.14,5.5e-05,41200.69,8.5e-05,0.462618
300750,2017-03-31,按地区分类,境内,1337300495.64,0.919495,860033330.53,0.982603,477267165.11,0.979356,0.356888
300750,2017-03-31,按地区分类,其他(补充),91798528.9,0.063118,,,,,
300750,2017-03-31,按地区分类,境外,25286667.3,0.017386,15226494.76,0.017397,10060172.54,0.020644,0.397845
300750,2016-12-31,按产品分类,动力电池系统,13975594468.07,0.939284,7709443519.5,0.942163,6266150948.57,0.97249,0.448364
300750,2016-12-31,按产品分类,锂电池材料,611217278.07,0.041079,447439338.28,0.054681,163777939.79,0.025418,0.267954
300750,2016-12-31,按产品分类,其他(补充),252872811.74,0.016995,,,,,
300750,2016-12-31,按产品分类,储能系统,39300540.24,0.002641,25822799.14,0.003156,13477741.1,0.002092,0.34294
300750,2016-12-31,按地区分类,境内,14543399998.76,0.977446,8116934780.41,0.991962,6426465218.35,0.997371,0.441882
300750,2016-12-31,按地区分类,其他(补充),252872811.74,0.016995,,,,,
300750,2016-12-31,按地区分类,境外,82712287.62,0.005559,65770876.51,0.008038,16941411.11,0.002629,0.204823
300750,2015-12-31,按产品分类,动力电池系统,4980620622.45,0.873351,2918828387.38,0.841424,2061792235.07,0.940597,0.413963
300750,2015-12-31,按产品分类,锂电池材料,591252463.31,0.103676,495544725.54,0.142853,95707737.77,0.043662,0.161873
300750,2015-12-31,按产品分类,储能系统,89043348.74,0.015614,54540635.91,0.015723,34502712.83,0.01574,0.387482
300750,2015-12-31,按产品分类,其他(补充),41968439.84,0.007359,,,,,
300750,2015-12-31,按地区分类,境内,5627086095.71,0.986709,3435058234.31,0.99024,2192027861.4,1.000011,0.389549
300750,2015-12-31,按地区分类,其他(补充),41968439.84,0.007359,,,,,
300750,2015-12-31,按地区分类,境外,33830338.79,0.005932,33855514.52,0.00976,-25175.73,-1.1e-05,-0.000744
300750,2014-12-31,按产品分类,动力电池系统,715435200.0,0.825388,545654700.0,0.847646,169780500.0,0.761155,0.237311
300750,2014-12-31,按产品分类,其他业务,107061161.55,0.123515,62623907.47,0.097283,44437254.08,0.19922,0.415064
300750,2014-12-31,按产品分类,储能系统,44290000.0,0.051097,35451200.0,0.055072,8838800.0,0.039626,0.199566
300750,2014-12-31,按地区分类,境内地区,745003000.0,0.8595,,,,,
300750,2014-12-31,按地区分类,其他业务(地区),107061161.55,0.123515,,,,,
300750,2014-12-31,按地区分类,境外地区,14722200.0,0.016985,,,,,
