编号,股东名称,持股数量,持股比例,股本性质,截至日期,公告日期,股东说明,股东总数,平均持股数
31,渤海华美六期(上海)股权投资基金合伙企业(有限合伙),7843170.0,0.4,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
32,珠海广发信德环保产业投资基金合伙企业(有限合伙),7843170.0,0.4,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
33,宁波梅山保税港区汇发新源投资合伙企业(有限合伙),7843170.0,0.4,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
34,联想(北京)有限公司,6899871.0,0.35,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
35,广州明睿七号实业投资合伙企业(有限合伙),5519898.0,0.28,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
36,尹巍,4599915.0,0.24,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
37,珠海市盛博股权投资管理有限公司,4599915.0,0.24,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
38,国投创新(北京)投资基金有限公司,4599915.0,0.24,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
39,深圳市创新投资集团有限公司,4313745.0,0.22,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
40,林锦应,4164621.0,0.21,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
41,招银国际资本管理(深圳)有限公司,3921588.0,0.2,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
42,一村资本有限公司,3921588.0,0.2,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
43,平潭综合实验区天得投资合伙企业(有限合伙),3921588.0,0.2,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
44,厦门七匹狼节能环保产业创业投资基金合伙企业(有限合伙),3529428.0,0.18,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
45,宁波梅山保税港区赤星羲和股权投资合伙企业(有限合伙),2299956.0,0.12,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
46,郭汶钢,1795095.0,0.09,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
47,江苏恒义汽配股份有限公司,1507881.0,0.08,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
48,朱旭宏,1436076.0,0.07,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
49,万景照,622152.0,0.03,限售流通股,2018-05-30,2017-11-10,,49.0,39901903.0
