报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2011-12-31,,5.95亿,11.70亿,-2.29亿,-3.26亿,52.44亿,,,53.56亿,2.32亿,5520.38万,56.43亿,29.38亿,6.22亿,5.26亿,3.87亿,44.73亿,11.70亿,,False,False,186.96万,False,1.05亿,1.06亿,2.28亿,1953.96万,8756.55万,False,3.36亿,-2.29亿,,245.00万,245.00万,False,False,300.00万,545.00万,2964.64万,3.01亿,False,False,3.31亿,-3.26亿,-2061.89万,5.95亿,46.49亿,52.44亿,,,14.82亿,2606.33万,3460.21万,328.96万,False,-99.43万,False,False,-8194.14万,-152.13万,-538.52万,False,-1.22亿,-6.58亿,4.94亿,False,11.70亿,,,52.44亿,46.49亿,5.95亿
2011-09-30,,-5.21亿,-2531.37万,-1.87亿,-2.99亿,41.28亿,,,33.04亿,3660.25万,1126.89万,33.52亿,22.06亿,4.34亿,3.61亿,3.76亿,33.77亿,-2531.37万,,False,False,49.61万,False,6478.02万,6527.64万,1.49亿,False,1.04亿,False,2.53亿,-1.87亿,,245.00万,245.00万,False,False,False,292.36万,61.77万,3.01亿,False,False,3.02亿,-2.99亿,-982.59万,-5.21亿,46.49亿,41.28亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2011-06-30,,-4.58亿,-2334.03万,-1.32亿,-3.00亿,41.91亿,,,19.92亿,2475.87万,900.69万,20.26亿,12.79亿,3.33亿,2.07亿,2.30亿,20.49亿,-2334.03万,,False,False,54.49万,False,4084.37万,4138.86万,8612.81万,False,8756.55万,False,1.74亿,-1.32亿,,False,False,False,False,54.36万,54.36万,6.62万,3.01亿,False,False,3.01亿,-3.00亿,-232.29万,-4.58亿,46.49亿,41.91亿,,,5.30亿,2794.01万,1429.88万,164.79万,False,-23.98万,False,False,-3610.18万,-152.13万,-1346.72万,False,-7698.00万,-4.56亿,-1304.70万,False,-2334.03万,,,41.91亿,46.49亿,-4.58亿
2011-03-31,,-2.69亿,-1.90亿,-7776.29万,11.66万,43.80亿,,,8.48亿,2342.94万,523.43万,8.76亿,6.09亿,2.23亿,1.33亿,1.01亿,10.66亿,-1.90亿,,False,False,4.19万,False,1695.11万,1699.30万,3217.38万,False,6258.20万,False,9475.59万,-7776.29万,,False,False,False,False,54.36万,54.36万,False,42.70万,False,False,42.70万,11.66万,-131.33万,-2.69亿,46.49亿,43.80亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2010-12-31,,35.28亿,6.64亿,-2.19亿,30.90亿,46.49亿,,,37.48亿,2.01亿,2601.87万,39.76亿,23.44亿,3.71亿,3.26亿,2.71亿,33.12亿,6.64亿,,False,False,109.31万,False,3088.88万,3198.19万,2.51亿,False,False,False,2.51亿,-2.19亿,,33.48亿,False,False,False,2737.72万,33.75亿,2737.40万,2.52亿,False,597.90万,2.85亿,30.90亿,-685.97万,35.28亿,11.21亿,46.49亿,,,10.52亿,4933.71万,1791.63万,202.60万,False,19.51万,False,False,-2119.85万,-334.47万,-2615.96万,False,-2.60亿,-3.86亿,2.39亿,False,6.64亿,,,46.49亿,11.21亿,35.28亿
2010-09-30,,26.93亿,-2.20亿,-1.70亿,30.86亿,38.13亿,,,26.44亿,9117.63万,1116.54万,27.47亿,22.28亿,2.62亿,2.51亿,2.25亿,29.66亿,-2.20亿,,False,False,15.04万,False,1104.79万,1119.83万,1.81亿,False,False,False,1.81亿,-1.70亿,,33.38亿,False,False,False,2782.65万,33.65亿,2737.40万,2.52亿,False,65.06万,2.80亿,30.86亿,-364.53万,26.93亿,11.21亿,38.13亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2010-06-30,,30.23亿,-2.05亿,-1.06亿,33.36亿,41.43亿,,,15.36亿,5809.99万,500.19万,15.99亿,12.99亿,2.05亿,1.44亿,1.55亿,18.04亿,-2.05亿,,False,False,17.58万,False,834.59万,852.18万,1.14亿,False,False,False,1.14亿,-1.06亿,,33.38亿,False,False,False,2782.50万,33.65亿,2737.40万,86.35万,False,65.06万,2888.81万,33.36亿,-311.12万,30.23亿,11.21亿,41.43亿,,,3.74亿,1845.06万,703.28万,73.22万,False,18.47万,False,False,-352.54万,50.00万,-1029.07万,False,-3.12亿,-2.17亿,-6320.77万,False,-2.05亿,,,41.43亿,11.21亿,30.23亿
2010-03-31,,-3.87亿,-3.20亿,-6537.46万,-101.11万,7.34亿,,,5.73亿,2656.18万,271.37万,6.02亿,6.32亿,1.32亿,7695.00万,8018.95万,9.22亿,-3.20亿,,False,False,5.06万,False,206.49万,211.55万,6749.01万,False,False,False,6749.01万,-6537.46万,,False,False,False,False,44.78万,44.78万,False,37.19万,False,108.69万,145.88万,-101.11万,-48.12万,-3.87亿,11.21亿,7.34亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2009-12-31,,2.76亿,6.54亿,-2.28亿,-1.50亿,11.21亿,,,23.10亿,1.29亿,1302.57万,24.52亿,12.60亿,2.05亿,2.04亿,1.29亿,17.98亿,6.54亿,,450.00万,False,13.75万,False,1160.54万,1624.29万,2.23亿,False,2054.25万,False,2.44亿,-2.28亿,,114.83万,114.83万,5637.40万,False,False,5752.23万,False,1.80亿,False,2737.72万,2.08亿,-1.50亿,12.55万,2.76亿,8.44亿,11.21亿,,,7.06亿,1320.49万,822.22万,107.62万,19.23万,89.48万,False,False,-931.90万,103.33万,-691.49万,False,-1.71亿,-1.32亿,2.44亿,-219.72万,6.54亿,,,11.21亿,8.44亿,2.76亿
2009-09-30,,107.79万,2.43亿,-6219.69万,-1.79亿,8.45亿,,,16.22亿,1.03亿,980.57万,17.35亿,11.01亿,1.61亿,1.44亿,8674.92万,14.92亿,2.43亿,,450.00万,False,1.29万,False,687.78万,1139.08万,7358.77万,False,False,False,7358.77万,-6219.69万,,114.82万,114.82万,2737.40万,False,False,2852.22万,False,1.80亿,False,2737.72万,2.07亿,-1.79亿,-73.65万,107.79万,8.44亿,8.45亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2009-06-30,,-4814.31万,1.68亿,-3802.62万,-1.79亿,7.96亿,,,9.61亿,5362.47万,758.39万,10.22亿,5.87亿,1.26亿,8033.04万,6124.56万,8.54亿,1.68亿,,False,False,7100.00,False,530.14万,530.85万,4333.48万,False,False,False,4333.48万,-3802.62万,,114.82万,114.82万,2737.40万,False,False,2852.22万,False,1.80亿,False,2737.72万,2.07亿,-1.79亿,51.24万,-4814.31万,8.44亿,7.96亿,,,2.47亿,1367.32万,366.48万,60.13万,False,6800.00,False,False,-578.93万,155.25万,-822.98万,False,-1264.73万,-8654.73万,1469.35万,False,1.68亿,,,7.96亿,8.44亿,-4814.31万
2009-03-31,,-2.62亿,-1.37亿,-473.27万,-1.21亿,5.82亿,,,3.77亿,3394.41万,236.12万,4.13亿,3.50亿,7917.54万,6004.88万,6037.26万,5.50亿,-1.37亿,,False,False,False,False,239.72万,239.72万,712.99万,False,False,False,712.99万,-473.27万,,False,False,False,False,2.00万,2.00万,False,1.21亿,False,False,1.21亿,-1.21亿,65.25万,-2.62亿,8.44亿,5.82亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2008-12-31,,4.23亿,6.47亿,-4832.22万,-1.75亿,8.44亿,,,19.25亿,8498.55万,1054.31万,20.21亿,9.36亿,1.31亿,1.75亿,1.31亿,13.74亿,6.47亿,,False,False,4.64万,105.76万,718.02万,828.42万,4560.64万,1100.00万,False,False,5660.64万,-4832.22万,,2652.93万,False,False,False,2830.00万,5482.93万,4500.00万,1.83亿,False,130.00万,2.30亿,-1.75亿,-126.53万,4.23亿,4.22亿,8.44亿,,,5.49亿,1429.51万,765.13万,107.55万,False,1.23万,False,False,-599.84万,240.92万,56.45万,False,-328.64万,-8403.17万,1.65亿,50.00万,6.47亿,,,8.44亿,4.22亿,4.23亿
2007-12-31,,2.43亿,3.57亿,-724.89万,-1.07亿,4.22亿,,,13.19亿,4528.31万,667.46万,13.71亿,7.54亿,7777.20万,9918.09万,8371.91万,10.15亿,3.57亿,,False,False,11.98万,False,3333.88万,3345.86万,2570.75万,False,False,1500.00万,4070.75万,-724.89万,,False,False,4500.00万,False,False,4500.00万,False,1.25亿,False,2700.00万,1.52亿,-1.07亿,12.48万,2.43亿,1.79亿,4.22亿,,,3.65亿,1900.05万,474.84万,58.26万,False,1.20万,1.17万,False,-349.63万,False,-933.57万,False,-9620.67万,-7034.64万,1.46亿,80.00万,3.57亿,,,4.22亿,1.79亿,2.43亿
2006-12-31,,1.06亿,1.54亿,-3692.17万,-1081.47万,1.79亿,,,7.99亿,2402.85万,374.95万,8.27亿,5.49亿,4414.61万,5356.82万,2621.18万,6.73亿,1.54亿,,False,False,1.07万,False,6086.55万,6087.62万,1479.79万,False,False,8300.00万,9779.79万,-3692.17万,,False,False,False,False,False,False,False,1081.47万,False,False,1081.47万,-1081.47万,-37.11万,1.06亿,7310.66万,1.79亿,,,2.05亿,340.35万,272.46万,38.73万,15.56万,9000.00,False,False,-49.45万,False,-285.41万,False,-5014.66万,-2844.23万,2390.35万,False,1.54亿,,,False,False,False
